,mu,2914.T,3382.T,3407.T,4063.T,4307.T,4502.T,4519.T,4523.T,4543.T,4568.T,4661.T,4901.T,5108.T,5401.T,5713.T,6098.T,6301.T,6367.T,6501.T,6503.T,6645.T,6702.T,6758.T,6762.T,6857.T,6861.T,6902.T,6954.T,6971.T,7011.T,7203.T,7267.T,7733.T,7751.T,7832.T,7974.T,8031.T,8035.T,8058.T,8306.T,8316.T,8411.T,8766.T,8801.T,9022.T,9201.T,9202.T,9432.T,9433.T,9984.T
2914.T,0.34884912885581248,0.051434551015359167,0.02282098806536673,0.022529544361621807,0.028215654823477578,0.018887979526992574,0.018311395610565745,0.021678669605323032,0.020872918221481487,0.026982063864276106,0.024587103702851339,0.021280481841406781,0.028499293603036154,0.027020044261951617,0.021413933993340153,0.030794568425004987,0.02252668258625385,0.031080617094513385,0.023262432939112114,0.034861742797821366,0.036086395842485117,0.02730525491757636,0.025485684148613314,0.02829630247397559,0.033826133294232855,0.021127422305276641,0.023616089176996456,0.030141000855246281,0.023863623608903459,0.024198680135270902,0.043978977174010891,0.03538281719023556,0.034237227778382326,0.026216259564202659,0.0264785108257008,0.023742197115937055,0.025241916436026267,0.04162389166125393,0.02354448937630688,0.035486188068821402,0.035591178567057048,0.030550915621477583,0.036509270884286987,0.048355639119583231,0.035944663872821546,0.022064633555084114,0.019533658858984435,0.016906748000383078,0.0142191955813483,0.015914529012433946,0.025273075932041828
3382.T,0.087381838762641842,0.02282098806536673,0.1060114997470418,0.023958863322610383,0.021949091679677356,0.026216890528070257,0.019875868361751342,0.021180220037038108,0.022540052207988336,0.029432107755085063,0.023857742266169608,0.017185823000269947,0.028948585581128207,0.022336376856085364,0.020090751804665199,0.024490908133869529,0.024242433022406053,0.024182911849768885,0.021648712431171325,0.031616552273029411,0.017369200037377089,0.019908344540434435,0.024976663401145616,0.032783539195450108,0.020919959734561899,0.02049621800480329,0.020750460740573632,0.02979448748117218,0.017837003726898299,0.021303019530717372,0.034186498357622282,0.029281749217307477,0.031135074945976757,0.030930890042634343,0.026110449010799491,0.024342409037336244,0.02975119398858405,0.029568496171892306,0.018398765079593534,0.02719130054241321,0.033482499956217722,0.028437307096971121,0.030697960165810619,0.038147482746204123,0.030041600839505193,0.020726079612206509,0.024439161673730069,0.0210693782009229,0.017269642098227598,0.018240463730819105,0.012080943611658703
3407.T,0.25914444723574276,0.022529544361621807,0.023958863322610383,0.075172487393488585,0.045757745108371169,0.016230842536405984,0.022895965797165969,0.021084757792102227,0.026509789637417597,0.028301491467711524,0.027176504625345186,0.018100527464177969,0.038384802865496274,0.033976959426558928,0.031243582913685404,0.066436919673544384,0.03002752793534947,0.046756145958775482,0.039910752887655103,0.046669310501450761,0.06028150122821041,0.04817440778844722,0.027408181715023551,0.039611736947413351,0.054286300440562527,0.048969383457402982,0.035559429511995033,0.042621324634369878,0.05322729815755993,0.036835550120937574,0.050717792569434615,0.049819606319797607,0.044586225174378387,0.037606682453521147,0.033525926610891529,0.027472317255851409,0.02603694582905252,0.050093874066774402,0.049138840883211389,0.043098506113421357,0.045101864719147747,0.042088349833631487,0.049819195940121005,0.049980919632214987,0.043367427702111661,0.028123362372011951,0.028290404167126693,0.020651743000862473,0.013406623148784417,0.013470939858559594,0.048420741303593376
4063.T,0.18151590818423508,0.028215654823477578,0.021949091679677356,0.045757745108371169,0.13928287564601025,0.024740784490757221,0.01747510379325172,0.034953599484181176,0.025274179595089232,0.042880145332895817,0.038809591188055381,0.024859393274239895,0.05256042881633631,0.039515795554118972,0.039282038524310767,0.082482580198756261,0.061158920714609807,0.062319413134490298,0.05463896437588843,0.079782106241884518,0.078046870782768854,0.071394638052347636,0.044810393811615196,0.049275398046498275,0.09332315466115236,0.10023574501838652,0.069326003257216801,0.055243514869502963,0.083769507358383719,0.056054181972430304,0.080397649808243765,0.062032500765617823,0.054106487822906349,0.040300213479836026,0.043064174063025297,0.029878515871138066,0.041011741507538259,0.060681165979850203,0.10357126392822071,0.057778172751251661,0.060775795512873682,0.055082613271063424,0.067164055636962788,0.065954579210643571,0.049460169705083414,0.024020423688476209,0.027548043238217943,0.021896518919372446,0.011527114687195425,0.010442243615927726,0.095629327913904077
4307.T,0.13065172113788873,0.018887979526992574,0.026216890528070257,0.016230842536405984,0.024740784490757221,0.13395311326578568,0.015828117918895431,0.037901755890349109,0.025944275397048328,0.043706894437366889,0.037864474083821695,0.025512916509952136,0.03736604827553705,0.021015430363628469,0.019446762773789355,0.02524601749393373,0.066650213449692783,0.028202250120134803,0.021789605423623445,0.052011854633406747,0.016039596310822059,0.024878212177538699,0.06750445442595282,0.047801894183181461,0.032825873139490744,0.016569881432104031,0.029931237996015832,0.033804019837938043,0.016129300784855471,0.028181164784701524,0.041264030987146656,0.029406869789805792,0.029022589842884867,0.040843203601185769,0.030245558075573331,0.04034579583600327,0.0455069808136025,0.027728318777830819,0.024731406910891512,0.026055593062256476,0.03177432633731931,0.029594432455073521,0.029713351006284004,0.043655610180102195,0.03522362807856258,0.024950810581485877,0.021288972981237188,0.018389227274540194,0.019059597895237899,0.020504998259780197,0.037362021400319786
4502.T,0.12944085051340581,0.018311395610565745,0.019875868361751342,0.022895965797165969,0.01747510379325172,0.015828117918895431,0.040416801545255725,0.029161903242445376,0.031692335912103624,0.020236728037265565,0.033268434781316789,0.01630666408795254,0.019659785131693627,0.019954719328005445,0.018883952191153557,0.02389653219520195,0.018133273365328186,0.026830039290164451,0.016196177118492801,0.016965485397551796,0.023316508029241657,0.017833349304261094,0.014876732787641863,0.021271002339528583,0.016065632766743127,0.0047773111953314604,0.014341772783982368,0.025696521728281865,0.016445307643749803,0.018158593141521281,0.02757556699707053,0.029399485788223847,0.027009552747974501,0.021427744217197366,0.022618163691056636,0.020801928813832526,0.018264618412844973,0.0278585420265034,0.010234436400492401,0.026512808295953101,0.026890488150127314,0.02599963477695081,0.027416362029121052,0.032363230793742252,0.024559327392863078,0.022115451920437991,0.017454309565004204,0.014806493185898438,0.01248043658468969,0.013692792434841297,0.0098195112881537244
4519.T,0.26605220632007354,0.021678669605323032,0.021180220037038108,0.021084757792102227,0.034953599484181176,0.037901755890349109,0.029161903242445376,0.16114848549174077,0.043644780345559443,0.032256582515950386,0.050153912352069355,0.017681819916035259,0.025042209023862793,0.019345762727564154,0.01668398829008623,0.02928427934277222,0.041908708203353573,0.032102119588295307,0.023278498256016116,0.038008238314884889,0.040313356836331277,0.034774168203637643,0.031409069667464116,0.033603988659521564,0.039350452525687543,0.027211625686020473,0.027664660387929085,0.027101444203874902,0.030000535234418216,0.02863850662044989,0.045561809368660978,0.035318421985098651,0.029627809700286948,0.024492577952634563,0.025787123411173962,0.029613675524051409,0.031475761765238433,0.032343212554044043,0.037362754453377882,0.030653207645242157,0.025910963033338723,0.028276520620873252,0.028233427764999895,0.044333180969418538,0.032160343005895743,0.023606165222161513,0.018097023556598885,0.014839145454003694,0.011598907579164049,0.017225257354825312,0.027345743170730782
4523.T,-0.15905060747009406,0.020872918221481487,0.022540052207988336,0.026509789637417597,0.025274179595089232,0.025944275397048328,0.031692335912103624,0.043644780345559443,0.091673584523656024,0.030193188392695067,0.049282800152192871,0.0211473223563606,0.029739835413973934,0.02762151459168254,0.021484989418624142,0.035000718553464545,0.031441781845774015,0.035542941475165422,0.026765060420881046,0.028714680515206058,0.03171522105624533,0.039353240200018923,0.022441416520137994,0.034056509850319112,0.032950387525133421,0.019643305616028076,0.032113622367301864,0.036229146463066908,0.030804568622616605,0.032887975551834391,0.028458177329015386,0.038337513455424688,0.036057937980069968,0.035978450399507311,0.026590954350180225,0.031489616471521722,0.032066507632791508,0.03612943839038802,0.025753843672078815,0.032608132319102312,0.032079442011961841,0.030968817104340077,0.034805468249887256,0.039108008037555243,0.03259957927296827,0.023741907996987544,0.02178327023455261,0.019458719144681412,0.0149807955748645,0.018059984661189191,0.026452993997551338
4543.T,0.078014433862477833,0.026982063864276106,0.029432107755085063,0.028301491467711524,0.042880145332895817,0.043706894437366889,0.020236728037265565,0.032256582515950386,0.030193188392695067,0.10567723612227578,0.048522027538107894,0.033181917990493852,0.050646321264712101,0.038741031699945971,0.023932914188142008,0.029023458571498403,0.063106149295431485,0.039561927222112686,0.03495630350134709,0.055081802094527725,0.04099558884278947,0.043922368932413788,0.048610741677448083,0.049024828731060149,0.054747467969653171,0.043923386913984258,0.049710624823301179,0.044186259320701034,0.042245748674271826,0.036433192271753366,0.054480509430429751,0.047264487044493958,0.042678172193510562,0.05792534386686108,0.036617226692584229,0.042161937939390312,0.049811527741113831,0.039036033206866383,0.04440147874208162,0.031975767235848336,0.036811700501063499,0.030600963850892268,0.03228895332687251,0.052320010959031965,0.044401499203234697,0.026404984087603663,0.025202939982413554,0.02354795450323844,0.014512914682491612,0.017396195208188213,0.044965873692046597
4568.T,-0.092880247504642882,0.024587103702851339,0.023857742266169608,0.027176504625345186,0.038809591188055381,0.037864474083821695,0.033268434781316789,0.050153912352069355,0.049282800152192871,0.048522027538107894,0.15079104638923985,0.027283065202618365,0.043883910441984635,0.033189751285071775,0.026994651505097885,0.032097808846053601,0.050485552057601926,0.039913332022977442,0.031755469109176045,0.047443123543228508,0.045162647688097406,0.039400216009100208,0.04189221489838011,0.046505277533000093,0.051680526815187457,0.026569864783514065,0.048243116815140638,0.053924499745185692,0.041984399932902802,0.033998243606568272,0.050963444764515697,0.051395306440326693,0.045317707323912375,0.035125314685035401,0.03336176282388266,0.030945086417065632,0.044535289059934736,0.043891242111976564,0.04055498137446073,0.037116034104759305,0.037900474296975101,0.034401554932776648,0.038631696583910503,0.052586351379754523,0.047363971889360146,0.029203249116591914,0.023197215319853061,0.019835572445728842,0.016570874524375702,0.015821524276167204,0.038995983010995328
