n_assets,backend,p_layers,step,expectation
8,lightning_gpu,2,0,1.609327793121338
8,lightning_gpu,2,1,0.06594341993331909
8,lightning_gpu,2,2,-1.1925946474075317
8,lightning_gpu,2,3,-0.9304555058479309
8,lightning_gpu,2,4,-0.7905516624450684
8,lightning_gpu,2,5,-0.9541875720024109
8,lightning_gpu,2,6,-1.1759936809539795
8,lightning_gpu,2,7,-1.3814010620117188
8,lightning_gpu,2,8,-1.4565621614456177
8,lightning_gpu,2,9,-1.39515221118927
8,lightning_gpu,2,10,-1.328439712524414
8,lightning_gpu,2,11,-1.3773438930511475
8,lightning_gpu,2,12,-1.6112490892410278
8,lightning_gpu,2,13,-1.8988327980041504
8,lightning_gpu,2,14,-1.9200559854507446
8,lightning_gpu,2,15,-1.7467775344848633
8,lightning_gpu,2,16,-1.700118899345398
8,lightning_gpu,2,17,-1.7488855123519897
8,lightning_gpu,2,18,-1.8374875783920288
8,lightning_gpu,2,19,-1.9522932767868042
8,lightning_gpu,2,20,-1.9771043062210083
8,lightning_gpu,2,21,-1.9072144031524658
8,lightning_gpu,2,22,-1.8343641757965088
8,lightning_gpu,2,23,-1.8472061157226562
8,lightning_gpu,2,24,-1.9361685514450073
8,lightning_gpu,2,25,-1.9866979122161865
8,lightning_gpu,2,26,-1.9598255157470703
8,lightning_gpu,2,27,-1.9192229509353638
8,lightning_gpu,2,28,-1.9151867628097534
8,lightning_gpu,2,29,-1.9504687786102295
8,lightning_gpu,2,30,-2.001919984817505
8,lightning_gpu,2,31,-2.016428232192993
8,lightning_gpu,2,32,-1.9814486503601074
8,lightning_gpu,2,33,-1.9595484733581543
8,lightning_gpu,2,34,-1.9771630764007568
8,lightning_gpu,2,35,-2.0031886100769043
8,lightning_gpu,2,36,-2.0143401622772217
8,lightning_gpu,2,37,-2.0062246322631836
8,lightning_gpu,2,38,-1.9879837036132812
8,lightning_gpu,2,39,-1.9845013618469238
8,lightning_gpu,2,40,-2.000858783721924
8,lightning_gpu,2,41,-2.013396978378296
8,lightning_gpu,2,42,-2.010040760040283
8,lightning_gpu,2,43,-2.0037448406219482
8,lightning_gpu,2,44,-2.005542278289795
8,lightning_gpu,2,45,-2.0139782428741455
8,lightning_gpu,2,46,-2.02082896232605
8,lightning_gpu,2,47,-2.018324613571167
8,lightning_gpu,2,48,-2.010986566543579
8,lightning_gpu,2,49,-2.0110907554626465
12,lightning_gpu,2,0,-0.3600282073020935
12,lightning_gpu,2,1,-1.3411736488342285
12,lightning_gpu,2,2,-1.0187140703201294
12,lightning_gpu,2,3,-0.8943194150924683
12,lightning_gpu,2,4,-1.0470836162567139
12,lightning_gpu,2,5,-1.3305881023406982
12,lightning_gpu,2,6,-1.4956103563308716
12,lightning_gpu,2,7,-1.3399525880813599
12,lightning_gpu,2,8,-1.2734808921813965
12,lightning_gpu,2,9,-1.3609803915023804
12,lightning_gpu,2,10,-1.3725225925445557
12,lightning_gpu,2,11,-1.3761755228042603
12,lightning_gpu,2,12,-1.4487980604171753
12,lightning_gpu,2,13,-1.443785548210144
12,lightning_gpu,2,14,-1.4063572883605957
12,lightning_gpu,2,15,-1.4478119611740112
