n_assets,backend,p_layers,step,expectation
8,lightning_gpu,2,0,1.6093311965180213
8,lightning_gpu,2,1,0.06594434979367184
8,lightning_gpu,2,2,-1.1925957483173986
8,lightning_gpu,2,3,-0.9304571906924444
8,lightning_gpu,2,4,-0.790552085178359
8,lightning_gpu,2,5,-0.95418598633947
8,lightning_gpu,2,6,-1.1759927348838226
8,lightning_gpu,2,7,-1.3814018358962952
8,lightning_gpu,2,8,-1.4565627011670426
8,lightning_gpu,2,9,-1.395153461048399
8,lightning_gpu,2,10,-1.3284412153222858
8,lightning_gpu,2,11,-1.3773448185223538
8,lightning_gpu,2,12,-1.611248578514426
8,lightning_gpu,2,13,-1.8988335253177768
8,lightning_gpu,2,14,-1.920059406973979
8,lightning_gpu,2,15,-1.7467816926051731
8,lightning_gpu,2,16,-1.7001199940307807
8,lightning_gpu,2,17,-1.748886672523518
8,lightning_gpu,2,18,-1.8374863835722142
8,lightning_gpu,2,19,-1.9522948188665006
8,lightning_gpu,2,20,-1.9771082347839182
8,lightning_gpu,2,21,-1.9072200118633513
8,lightning_gpu,2,22,-1.8343648136387363
8,lightning_gpu,2,23,-1.8472082930688047
8,lightning_gpu,2,24,-1.9361689226755683
8,lightning_gpu,2,25,-1.986700473148838
8,lightning_gpu,2,26,-1.9598299279530838
8,lightning_gpu,2,27,-1.9192264376909889
8,lightning_gpu,2,28,-1.915189617180823
8,lightning_gpu,2,29,-1.9504706546383765
8,lightning_gpu,2,30,-2.0019224842411822
8,lightning_gpu,2,31,-2.016431487456116
8,lightning_gpu,2,32,-1.9814518497025957
8,lightning_gpu,2,33,-1.9595509357776155
8,lightning_gpu,2,34,-1.9771637004868166
8,lightning_gpu,2,35,-2.0031910631768213
8,lightning_gpu,2,36,-2.0143427793974182
8,lightning_gpu,2,37,-2.006226925767315
8,lightning_gpu,2,38,-1.9879865117945643
8,lightning_gpu,2,39,-1.984504184042909
8,lightning_gpu,2,40,-2.000862170825758
8,lightning_gpu,2,41,-2.013398823761884
8,lightning_gpu,2,42,-2.0100458155925023
8,lightning_gpu,2,43,-2.0037471490223364
8,lightning_gpu,2,44,-2.005544026540121
8,lightning_gpu,2,45,-2.0139782193395535
8,lightning_gpu,2,46,-2.020833107762151
8,lightning_gpu,2,47,-2.018328655121793
8,lightning_gpu,2,48,-2.0109896518457546
8,lightning_gpu,2,49,-2.011094949043245
12,lightning_gpu,2,0,-0.3600299821033427
12,lightning_gpu,2,1,-1.3411782397020735
12,lightning_gpu,2,2,-1.0187157132562474
12,lightning_gpu,2,3,-0.8943191389197356
12,lightning_gpu,2,4,-1.0470816421379643
12,lightning_gpu,2,5,-1.3305876438096456
