n_assets,backend,p_layers,step,expectation
8,braket_sv1,2,0,1.6093311965180206
8,braket_sv1,2,1,0.06594434979367175
8,braket_sv1,2,2,-1.1925957483173988
8,braket_sv1,2,3,-0.9304571906924411
8,braket_sv1,2,4,-0.790552085178355
8,braket_sv1,2,5,-0.9541859863394675
8,braket_sv1,2,6,-1.1759927348838213
8,braket_sv1,2,7,-1.3814018358962956
8,braket_sv1,2,8,-1.4565627011670383
8,braket_sv1,2,9,-1.3951534610483998
8,braket_sv1,2,10,-1.328441215322282
8,braket_sv1,2,11,-1.3773448185223507
8,braket_sv1,2,12,-1.6112485785144215
8,braket_sv1,2,13,-1.8988335253177733
8,braket_sv1,2,14,-1.920059406973981
8,braket_sv1,2,15,-1.7467816926051796
8,braket_sv1,2,16,-1.7001199940307798
8,braket_sv1,2,17,-1.748886672523517
8,braket_sv1,2,18,-1.837486383572214
8,braket_sv1,2,19,-1.952294818866499
8,braket_sv1,2,20,-1.9771082347839162
8,braket_sv1,2,21,-1.9072200118633493
8,braket_sv1,2,22,-1.8343648136387363
8,braket_sv1,2,23,-1.8472082930687996
8,braket_sv1,2,24,-1.9361689226755696
8,braket_sv1,2,25,-1.9867004731488407
8,braket_sv1,2,26,-1.9598299279530886
8,braket_sv1,2,27,-1.919226437690988
8,braket_sv1,2,28,-1.9151896171808225
8,braket_sv1,2,29,-1.9504706546383752
8,braket_sv1,2,30,-2.00192248424118
8,braket_sv1,2,31,-2.016431487456115
8,braket_sv1,2,32,-1.981451849702598
8,braket_sv1,2,33,-1.9595509357776133
8,braket_sv1,2,34,-1.9771637004868154
8,braket_sv1,2,35,-2.0031910631768186
8,braket_sv1,2,36,-2.0143427793974205
8,braket_sv1,2,37,-2.006226925767314
8,braket_sv1,2,38,-1.9879865117945645
8,braket_sv1,2,39,-1.9845041840429118
8,braket_sv1,2,40,-2.000862170825758
8,braket_sv1,2,41,-2.0133988237618814
8,braket_sv1,2,42,-2.0100458155925005
8,braket_sv1,2,43,-2.0037471490223324
8,braket_sv1,2,44,-2.0055440265401194
8,braket_sv1,2,45,-2.0139782193395512
8,braket_sv1,2,46,-2.020833107762152
8,braket_sv1,2,47,-2.018328655121792
8,braket_sv1,2,48,-2.010989651845754
