n_assets,backend,p_layers,step,expectation
8,braket_sv1,2,0,1.6093311965180201
8,braket_sv1,2,1,0.06594434979367152
8,braket_sv1,2,2,-1.1925957483173983
8,braket_sv1,2,3,-0.930457190692441
8,braket_sv1,2,4,-0.7905520851783551
8,braket_sv1,2,5,-0.9541859863394676
8,braket_sv1,2,6,-1.175992734883823
8,braket_sv1,2,7,-1.3814018358962954
8,braket_sv1,2,8,-1.4565627011670395
8,braket_sv1,2,9,-1.395153461048398
8,braket_sv1,2,10,-1.3284412153222827
8,braket_sv1,2,11,-1.377344818522351
8,braket_sv1,2,12,-1.6112485785144224
8,braket_sv1,2,13,-1.8988335253177728
8,braket_sv1,2,14,-1.9200594069739807
8,braket_sv1,2,15,-1.7467816926051796
8,braket_sv1,2,16,-1.7001199940307796
8,braket_sv1,2,17,-1.7488866725235175
8,braket_sv1,2,18,-1.8374863835722153
8,braket_sv1,2,19,-1.952294818866497
8,braket_sv1,2,20,-1.9771082347839155
8,braket_sv1,2,21,-1.9072200118633496
8,braket_sv1,2,22,-1.8343648136387363
8,braket_sv1,2,23,-1.8472082930688014
8,braket_sv1,2,24,-1.9361689226755714
8,braket_sv1,2,25,-1.9867004731488402
8,braket_sv1,2,26,-1.9598299279530895
8,braket_sv1,2,27,-1.9192264376909896
8,braket_sv1,2,28,-1.9151896171808238
8,braket_sv1,2,29,-1.9504706546383757
8,braket_sv1,2,30,-2.001922484241181
8,braket_sv1,2,31,-2.0164314874561153
8,braket_sv1,2,32,-1.9814518497026012
8,braket_sv1,2,33,-1.9595509357776155
8,braket_sv1,2,34,-1.9771637004868146
8,braket_sv1,2,35,-2.003191063176821
8,braket_sv1,2,36,-2.0143427793974147
8,braket_sv1,2,37,-2.0062269257673133
8,braket_sv1,2,38,-1.9879865117945643
8,braket_sv1,2,39,-1.984504184042914
8,braket_sv1,2,40,-2.0008621708257595
8,braket_sv1,2,41,-2.0133988237618805
8,braket_sv1,2,42,-2.0100458155925014
8,braket_sv1,2,43,-2.0037471490223338
8,braket_sv1,2,44,-2.005544026540118
8,braket_sv1,2,45,-2.0139782193395543
8,braket_sv1,2,46,-2.020833107762149
8,braket_sv1,2,47,-2.018328655121792
8,braket_sv1,2,48,-2.0109896518457564
8,braket_sv1,2,49,-2.011094949043242
12,braket_sv1,2,0,-0.3600299821033444
12,braket_sv1,2,1,-1.3411782397020733
12,braket_sv1,2,2,-1.0187157132562483
12,braket_sv1,2,3,-0.8943191389197351
12,braket_sv1,2,4,-1.047081642137964
12,braket_sv1,2,5,-1.3305876438096456
12,braket_sv1,2,6,-1.4956121307156627
12,braket_sv1,2,7,-1.339956002762092
12,braket_sv1,2,8,-1.2734818341712466
12,braket_sv1,2,9,-1.3609801716718966
12,braket_sv1,2,10,-1.3725257596999119
12,braket_sv1,2,11,-1.3761770960147202
12,braket_sv1,2,12,-1.448799002816326
12,braket_sv1,2,13,-1.4437881329409417
12,braket_sv1,2,14,-1.406359990463503
12,braket_sv1,2,15,-1.4478119580753557
12,braket_sv1,2,16,-1.4957886319012539
12,braket_sv1,2,17,-1.4778181566471573
12,braket_sv1,2,18,-1.4403841862369617
12,braket_sv1,2,19,-1.4409516117214813
12,braket_sv1,2,20,-1.458390865131134
12,braket_sv1,2,21,-1.4638227870532772
12,braket_sv1,2,22,-1.4717293246807022
12,braket_sv1,2,23,-1.4919326723025184
12,braket_sv1,2,24,-1.4996445759515122
12,braket_sv1,2,25,-1.4831991309557755
12,braket_sv1,2,26,-1.4730957792447987
12,braket_sv1,2,27,-1.4823026455896362
12,braket_sv1,2,28,-1.4872328250278006
12,braket_sv1,2,29,-1.4852015199624053
12,braket_sv1,2,30,-1.4916254564993296
12,braket_sv1,2,31,-1.4989478460197467
12,braket_sv1,2,32,-1.497195008848507
12,braket_sv1,2,33,-1.49875723284856
12,braket_sv1,2,34,-1.5071563634915428
12,braket_sv1,2,35,-1.5080786619589608
12,braket_sv1,2,36,-1.502883983414123
12,braket_sv1,2,37,-1.504867077508184
12,braket_sv1,2,38,-1.5104237727951075
12,braket_sv1,2,39,-1.5115490445382107
12,braket_sv1,2,40,-1.5133063382840568
12,braket_sv1,2,41,-1.514707359904963
12,braket_sv1,2,42,-1.5098095410003713
12,braket_sv1,2,43,-1.5071284434175665
12,braket_sv1,2,44,-1.511156534921403
12,braket_sv1,2,45,-1.513061557296057
12,braket_sv1,2,46,-1.5126504496319984
12,braket_sv1,2,47,-1.5137590484263965
12,braket_sv1,2,48,-1.513180273060566
12,braket_sv1,2,49,-1.5123869624160304
