sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
depth,12,2,42,1,-52.15076860299848,-52.25261168074922,0.19490523913517033,5.609832371585071,True,1.337964475552203,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,12,2,42,2,-52.25261168074922,-52.25261168074922,0.0,10.002822573296726,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,12,2,42,3,-52.25261168074922,-52.25261168074922,0.0,14.282513676211238,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,12,2,42,4,-52.25261168074922,-52.25261168074922,0.0,18.579724739305675,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,20,4,42,1,-335.2610753366906,-336.15232144200877,0.2651316229187187,16.931204835884273,True,0.5859832765106143,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,20,4,42,2,-335.9747295240489,-336.15232144200877,0.05283078730441684,29.53053744789213,True,1.5323130382754206,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,20,4,42,3,-336.1222593946752,-336.15232144200877,0.008942983705898515,42.012027371674776,True,1.4638129909258697,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,20,4,42,4,-335.9630197958589,-336.15232144200877,0.056314246273186395,54.6650771163404,True,1.1324411165443187,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,16,3,42,1,-152.93043355841212,-153.26711059662722,0.2196668527934715,9.251330654136837,True,0.6697549326483023,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,16.022327977232635,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,16,3,42,3,-153.18810094770805,-153.26711059662722,0.05155029582772533,23.107816074974835,True,1.4577015575052372,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
depth,16,3,42,4,-153.20173150091648,-153.26711059662722,0.0426569636866226,29.98405622690916,True,1.236091263851482,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
