run_id,n_assets,instance,penalty_label,qaoa_seed,feasible_set_size,final_P_F,final_D_cond,initial_P_F,initial_D_cond,point_mass_D_cond
N12_i00_1.1xAcrit_s42,12,0,1.1xAcrit,42,66,0.1836296192068403,0.6306726449961292,0.08681691013134696,0.5342773093858385,0.9848484848484849
N12_i00_1.1xAcrit_s43,12,0,1.1xAcrit,43,66,0.24714895636498113,0.5403057824154014,0.0038766444717879267,0.49161910812264087,0.9848484848484849
N12_i00_1.1xAcrit_s44,12,0,1.1xAcrit,44,66,0.3172862778274066,0.547444219147904,0.11635905934963375,0.25971081380800703,0.9848484848484849
N12_i00_1.1xAcrit_s45,12,0,1.1xAcrit,45,66,0.14152875589206815,0.5090429796823004,0.09892490936090326,0.688042576725965,0.9848484848484849
N12_i00_1.1xAcrit_s46,12,0,1.1xAcrit,46,66,0.29725148336729035,0.43953176047868053,0.039459819523472106,0.5329896773861094,0.9848484848484849
N12_i00_10xAcrit_s42,12,0,10xAcrit,42,66,0.29838573723100126,0.18191539517365338,0.14624762509629363,0.3170455880088295,0.9848484848484849
N12_i00_10xAcrit_s43,12,0,10xAcrit,43,66,0.27050230117311,0.40740427824235026,0.04248724253557157,0.3476820953011742,0.9848484848484849
N12_i00_10xAcrit_s44,12,0,10xAcrit,44,66,0.3940695300116204,0.28089285169642325,0.1228469698689878,0.14697501829525525,0.9848484848484849
N12_i00_10xAcrit_s45,12,0,10xAcrit,45,66,0.5142360182944685,0.2132872923763812,0.1265604589693794,0.45557835586607154,0.9848484848484849
N12_i00_10xAcrit_s46,12,0,10xAcrit,46,66,0.4281723874391332,0.8444645264757754,0.12176210680627264,0.40635198684434914,0.9848484848484849
N12_i00_2xAcrit_s42,12,0,2xAcrit,42,66,0.19803815014165593,0.5396316816967098,0.09732927773166011,0.4816923730805485,0.9848484848484849
N12_i00_2xAcrit_s43,12,0,2xAcrit,43,66,0.323920627910411,0.398960181016401,0.003743702062195098,0.5238089085637998,0.9848484848484849
N12_i00_2xAcrit_s44,12,0,2xAcrit,44,66,0.32952829933856265,0.5083710365884532,0.11793114786269143,0.24150610341677883,0.9848484848484849
N12_i00_2xAcrit_s45,12,0,2xAcrit,45,66,0.1894521466354604,0.5549139935910967,0.10640413529381476,0.6696376904598055,0.9848484848484849
N12_i00_2xAcrit_s46,12,0,2xAcrit,46,66,0.2743593228848006,0.9690086305354326,0.04505034967587562,0.55893794734702,0.9848484848484849
N12_i00_5xAcrit_s42,12,0,5xAcrit,42,66,0.21972652591648512,0.4100189069103885,0.1262321222166065,0.36252500401566273,0.9848484848484849
N12_i00_5xAcrit_s43,12,0,5xAcrit,43,66,0.1970271605096059,0.4371489580023997,0.010098730297613656,0.5248772326641421,0.9848484848484849
N12_i00_5xAcrit_s44,12,0,5xAcrit,44,66,0.3628147391573293,0.40143135765554583,0.12100224121240899,0.19493088054117058,0.9848484848484849
N12_i00_5xAcrit_s45,12,0,5xAcrit,45,66,0.3809573098551482,0.2826774937485319,0.11963611074770597,0.5834452921805494,0.9848484848484849
N12_i00_5xAcrit_s46,12,0,5xAcrit,46,66,0.42644288950649667,0.8907306931404687,0.07906769181863638,0.5189545495173574,0.9848484848484849
N12_i00_Aheur_s42,12,0,Aheur,42,66,0.17169158207252622,0.013612583077960212,0.11304889840539545,0.005904365134451278,0.9848484848484849
N12_i00_Aheur_s43,12,0,Aheur,43,66,0.00991729661473073,0.0013530260554259835,0.2215427365154028,0.000366925437111751,0.9848484848484849
N12_i00_Aheur_s44,12,0,Aheur,44,66,0.5021392581984401,0.001873533866806768,0.11896329908631742,0.0025155657365595043,0.9848484848484849
N12_i00_Aheur_s45,12,0,Aheur,45,66,0.13664852338843048,0.028159118993653334,0.06755057454574853,0.0015354430713255653,0.9848484848484849
N12_i00_Aheur_s46,12,0,Aheur,46,66,0.2918998636305332,0.0008071800125593305,0.011615844035986811,0.009179406634297364,0.9848484848484849
N12_i00_Amargin_s42,12,0,Amargin,42,66,0.3713930014055222,0.10408739042844525,0.19428754411637783,0.3924834079248394,0.9848484848484849
