n_assets,penalty_label,runs,runs_undefined,feasible_set_size_median,final_P_F_median,final_D_cond_median,final_D_cond_p25,final_D_cond_p75,final_D_cond_min,final_D_cond_max,initial_D_cond_median,uniform_F_1000_shot_D_cond,point_mass_D_cond_median
12,A0,45,0,66.0,0.1987067385634873,0.5538019094072719,0.48049666193905594,0.6031637301998022,0.3027164886879831,0.6900363203959444,0.4558775495069503,0.10172500000000001,0.9848484848484849
12,1.1xAcrit,105,0,66.0,0.257418918190524,0.38174312634935165,0.20841403422315113,0.4978713100762635,0.05339127713858863,0.7471035992371672,0.3015417798277118,0.10172500000000001,0.9848484848484849
12,2xAcrit,105,0,66.0,0.2768135280985007,0.30770292868846993,0.1477769288580183,0.45565959614518026,0.035643113742770974,0.9690086305354326,0.23843322830200117,0.10172500000000001,0.9848484848484849
12,5xAcrit,105,0,66.0,0.24370194114635524,0.2067914691662937,0.06992873041167567,0.38884385861751636,0.012143512037607707,0.8907306931404687,0.1717936822633529,0.10172500000000001,0.9848484848484849
12,10xAcrit,105,0,66.0,0.1900712714996189,0.1084289935055524,0.030342855276189327,0.2670231595052252,0.007905742000791095,0.8444645264757754,0.09018199976195267,0.10172500000000001,0.9848484848484849
12,Amargin,150,0,66.0,0.3278395322849974,0.17336924750195704,0.0893865025577805,0.39326337366255526,0.026562437376492783,0.7009948584942204,0.19542652071062425,0.10172500000000001,0.9848484848484849
12,Aheur,150,0,66.0,0.17894412658642977,0.0022251112299294545,0.0014617681327855525,0.012592102627166342,0.0001249970497119498,0.03806973183878818,0.0025023718318499723,0.10172500000000001,0.9848484848484849
16,1.1xAcrit,150,0,560.0,0.24500366982323385,0.369290925144507,0.20063096540428982,0.5454390554231457,0.07248017367335033,0.8437807902589262,0.35360256043485455,0.300765,0.9982142857142857
16,2xAcrit,150,0,560.0,0.275322192661406,0.19236051645628427,0.11748650767751752,0.3213582105698155,0.03549743889920251,0.8883346721736596,0.3694248057490507,0.300765,0.9982142857142857
16,5xAcrit,150,0,560.0,0.358763086842373,0.10632343489553844,0.050310998930893316,0.20941169944579968,0.019602042089373772,0.7490515207433808,0.3417169501940194,0.300765,0.9982142857142857
16,10xAcrit,150,0,560.0,0.30875639014993794,0.07994264526422991,0.022475546527657438,0.13600347831157988,0.0034749899423508644,0.4651860232887599,0.12238033240079652,0.300765,0.9982142857142857
16,Amargin,150,0,560.0,0.3006080320919864,0.13898176475319637,0.08698125830693511,0.2141619018621264,0.013697126438687483,0.4640950477746044,0.37668939859705275,0.300765,0.9982142857142857
16,Aheur,150,0,560.0,0.22930728540814016,0.0013593598389022396,0.0007838613820187379,0.0027396928040892914,0.0003411390277499191,0.00909849746584196,0.002435594727812074,0.300765,0.9982142857142857
20,1.1xAcrit,150,0,4845.0,0.23772236672732006,0.49392580712919043,0.23940960343224232,0.6138464990231219,0.050783424207678333,0.8667324630438149,0.3539877721136645,0.8133952528379774,0.9997936016511868
20,2xAcrit,150,0,4845.0,0.2237195011279658,0.19827613746002792,0.07983447256059661,0.4012161307929965,0.00776086598589981,0.8267525986945844,0.2275584398244547,0.8133952528379774,0.9997936016511868
20,5xAcrit,150,0,4845.0,0.23284351457914454,0.06120323078652021,0.022180449863142992,0.11432027366519235,0.004958525048268152,0.47853370754666613,0.09462987775454533,0.8133952528379774,0.9997936016511868
20,10xAcrit,150,0,4845.0,0.21905061280813243,0.03602555636519063,0.013732513627050916,0.06728322052530823,0.002649987367616077,0.3655557479294106,0.05365675677441606,0.8133952528379774,0.9997936016511868
20,Amargin,150,0,4845.0,0.30267274139850997,0.09047238203506355,0.02195857025859749,0.14783569287553555,0.005862741032286593,0.38709017388818556,0.1446563974073645,0.8133952528379774,0.9997936016511868
20,Aheur,150,0,4845.0,0.1672784861711989,0.0018828294495159968,0.001395681937401776,0.0025416107369812036,0.0007324869177069856,0.004707004447975697,0.0037270912741795476,0.8133952528379774,0.9997936016511868
