n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
12,Amargin,Aheur,final_P_F,150,0,30,0.006227616082469467,0.005271008412819356,0.011953917866776465,28,0,better
12,Amargin,Aheur,final_P_tau_main,150,0,30,0.002146604470908642,0.001272643101401627,0.003294911639932228,27,0,better
12,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.011405863566494034,0.005225945484859051,0.03408274816478701,27,0,better
12,Amargin,Aheur,final_P_opt,150,0,30,0.002146604470908642,0.0012639546766877174,0.003986200783401728,27,0,better
12,Amargin,Aheur,g_F,150,0,30,0.0,0.0,0.0,1,28,equal
12,Amargin,Aheur,g_off,150,0,30,0.0,0.0,0.0,0,29,equal
12,Amargin,Aheur,rank_best_feasible,150,0,30,0.0,0.0,0.0,1,28,equal
12,Amargin,Aheur,feasible_shot_fraction,150,0,30,0.012499999999999997,0.008,0.019,27,0,better
12,Amargin,Aheur,runtime_s,150,0,30,0.00805550767108798,-0.006817788816988468,0.041477511171251535,13,0,worse
12,5xAcrit,Aheur,final_P_F,105,0,21,0.005013941874494776,0.004372066905489191,0.02334836422232911,17,0,better
12,5xAcrit,Aheur,final_P_tau_main,105,0,21,7.517263293266296e-05,5.602581950370222e-05,0.0017980277334572747,18,0,better
12,5xAcrit,Aheur,final_Q_tau_main_1000,105,0,21,0.00036988601236587204,0.00019322011183842136,0.010170805283245987,18,0,better
12,5xAcrit,Aheur,final_P_opt,105,0,21,7.517263293266296e-05,5.602581950370222e-05,0.0017980277334572747,18,0,better
12,5xAcrit,Aheur,g_F,105,0,21,0.0,0.0,0.0,1,20,equal
12,5xAcrit,Aheur,g_off,105,0,21,0.0,0.0,0.0,0,18,equal
12,5xAcrit,Aheur,rank_best_feasible,105,0,21,0.0,0.0,0.0,1,20,equal
12,5xAcrit,Aheur,feasible_shot_fraction,105,0,21,0.009000000000000001,0.005,0.02899999999999997,16,0,better
12,5xAcrit,Aheur,runtime_s,105,0,21,0.031662833876907825,0.0004111435264348984,0.0586932310834527,6,0,worse
12,10xAcrit,Aheur,final_P_F,105,0,21,0.002136251801857725,0.0008823694079183042,0.003151332028210163,15,0,better
12,10xAcrit,Aheur,final_P_tau_main,105,0,21,8.16678220871836e-05,3.960293543059379e-05,0.0002435964997857809,19,0,better
12,10xAcrit,Aheur,final_Q_tau_main_1000,105,0,21,0.00035573665696519985,0.00014408328472348408,0.004977895164616886,19,0,better
12,10xAcrit,Aheur,final_P_opt,105,0,21,8.16678220871836e-05,2.323175431229174e-05,0.0002435964997857809,19,0,better
12,10xAcrit,Aheur,g_F,105,0,21,0.0,0.0,0.0,0,20,equal
12,10xAcrit,Aheur,g_off,105,0,21,0.0,0.0,0.0,0,17,equal
12,10xAcrit,Aheur,rank_best_feasible,105,0,21,0.0,0.0,0.0,0,20,equal
12,10xAcrit,Aheur,feasible_shot_fraction,105,0,21,0.002999999999999999,-0.0010000000000000009,0.009,13,1,better
12,10xAcrit,Aheur,runtime_s,105,0,21,0.023728501051664352,0.004324611276388168,0.04121334105730057,6,0,worse
12,1.1xAcrit,Aheur,final_P_F,105,0,21,0.009403932141140103,-0.037075786634432006,0.030469315155073673,12,0,better
12,1.1xAcrit,Aheur,final_P_tau_main,105,0,21,0.003739162813872099,0.002006405033171177,0.005164586938917637,20,0,better
12,1.1xAcrit,Aheur,final_Q_tau_main_1000,105,0,21,0.04720994733556161,0.009806442402916726,0.06762344796754016,20,0,better
12,1.1xAcrit,Aheur,final_P_opt,105,0,21,0.0031077712774276733,0.0019507172983139753,0.005164586938917637,20,0,better
12,1.1xAcrit,Aheur,g_F,105,0,21,0.0,0.0,0.0,0,21,equal
12,1.1xAcrit,Aheur,g_off,105,0,21,0.0,0.0,0.0,0,21,equal
12,1.1xAcrit,Aheur,rank_best_feasible,105,0,21,0.0,0.0,0.0,0,21,equal
12,1.1xAcrit,Aheur,feasible_shot_fraction,105,0,21,0.0,-0.05000000000000002,0.018000000000000002,10,1,equal
12,1.1xAcrit,Aheur,runtime_s,105,0,21,0.03925344441086054,0.01614698115736246,0.05203300341963768,6,0,worse
16,Amargin,Aheur,final_P_F,150,0,30,0.0007037751720488927,0.0003704765441767677,0.0010305162129782275,27,0,better
16,Amargin,Aheur,final_P_tau_main,150,0,30,8.168590915147433e-05,6.89246429828927e-05,0.00014073814963921905,30,0,better
16,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.039688058641371315,0.030867578972930076,0.06124463030307081,30,0,better
16,Amargin,Aheur,final_P_opt,150,0,30,8.095260903928647e-05,6.285999552346766e-05,0.00012951111420989037,30,0,better
16,Amargin,Aheur,g_F,129,21,30,0.0,-0.004283951170309428,0.0,13,8,equal
16,Amargin,Aheur,g_off,129,21,30,0.004417460669782417,0.001794042667449721,0.007483208563073946,4,3,worse
16,Amargin,Aheur,rank_best_feasible,129,21,30,0.0,-0.5,0.0,11,10,equal
16,Amargin,Aheur,feasible_shot_fraction,150,0,30,0.001,0.0,0.004000000000000002,18,5,better
16,Amargin,Aheur,runtime_s,150,0,30,0.010815311223268509,-0.04509309213608503,0.02319542970508337,13,0,worse
16,5xAcrit,Aheur,final_P_F,150,0,30,0.08069736357720103,0.07091711217799457,0.09551842042128555,26,0,better
16,5xAcrit,Aheur,final_P_tau_main,150,0,30,0.00020809832494705915,0.00014588513295166194,0.0002965042201765287,29,0,better
16,5xAcrit,Aheur,final_Q_tau_main_1000,150,0,30,0.09371993525221656,0.06944475480338291,0.11304654038564538,29,0,better
16,5xAcrit,Aheur,final_P_opt,150,0,30,0.00020424884860403836,0.00014588513295166194,0.00024947203064584755,29,0,better
16,5xAcrit,Aheur,g_F,126,24,30,0.004695375493743843,-0.0031778507147081493,0.00925409063400108,11,2,worse
16,5xAcrit,Aheur,g_off,126,24,30,0.0020558490022010473,0.0013276642845714004,0.0048129368025052865,5,1,worse
16,5xAcrit,Aheur,rank_best_feasible,126,24,30,0.5,-0.5,0.5,11,3,worse
