n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
12,Amargin,Aheur,final_P_F,50,0,10,0.00894986257480923,0.002441906268359162,0.0546176751377061,8,0,better
12,Amargin,Aheur,final_P_tau_main,50,0,10,0.0005648837541230023,0.0001315325644100085,0.001960900262929499,9,0,better
12,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.0036108792498963926,0.00014166096204926149,0.06566059774307931,9,0,better
12,Amargin,Aheur,final_P_opt,50,0,10,0.0005648837541230023,0.0001315325644100085,0.0019200905226171017,9,0,better
12,Amargin,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,g_off,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.0035000000000000005,-0.0010000000000000009,0.04400000000000001,6,2,better
12,Amargin,Aheur,runtime_s,50,0,10,0.02128427755087614,-0.6573358247987926,0.04726235382258892,4,0,worse
16,Amargin,Aheur,final_P_F,50,0,10,0.12499269809632096,0.06299027992967475,0.13033491160604171,9,0,better
16,Amargin,Aheur,final_P_tau_main,50,0,10,6.946300828758467e-06,4.678328707541368e-06,1.4563113609256106e-05,9,0,better
16,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.006915604021040078,0.0046621399218805815,0.015143555758626581,9,0,better
16,Amargin,Aheur,final_P_opt,50,0,10,6.224106840591048e-06,4.270228572522683e-06,8.80521383805899e-06,9,0,better
16,Amargin,Aheur,g_F,44,6,10,0.00572731864517978,-0.007800421727836713,0.027802606873563677,4,1,worse
16,Amargin,Aheur,g_off,44,6,10,0.012684387017526525,0.0046701663065144075,0.019302488972536783,0,1,worse
16,Amargin,Aheur,rank_best_feasible,44,6,10,0.25,-0.5,1.5,3,2,worse
16,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.11500000000000002,0.05645000000000003,0.121,9,0,better
16,Amargin,Aheur,runtime_s,50,0,10,0.015301816165447235,-0.07611179072409868,0.08226233187597154,4,0,worse
20,Amargin,Aheur,final_P_F,50,0,10,0.004696392761360357,0.003709607211618504,0.0050167296722349874,10,0,better
20,Amargin,Aheur,final_P_tau_main,50,0,10,-1.1987194625362463e-05,-1.6006642226784606e-05,-5.466642505780328e-06,0,0,worse
20,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,-0.011479829699179878,-0.015613324743131929,-0.005430256266472533,0,0,worse
20,Amargin,Aheur,final_P_opt,50,0,10,-5.106530011289578e-06,-5.804727152280975e-06,-4.009308213426266e-06,0,0,worse
20,Amargin,Aheur,g_F,50,0,10,-0.002805779784946772,-0.028337763863804086,0.015965396828829165,6,0,better
20,Amargin,Aheur,g_off,50,0,10,0.014105753457465476,0.010546716353075787,0.017180062262830073,0,0,worse
20,Amargin,Aheur,rank_best_feasible,50,0,10,-2.5,-29.5,17.0,6,0,better
20,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.007500000000000001,0.002999999999999999,0.01500000000000001,8,1,better
20,Amargin,Aheur,runtime_s,50,0,10,-0.008559850044548512,-0.19789524769876146,0.6264831298030913,5,0,better
