n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
12,Amargin,Aheur,final_P_F,50,0,10,-0.023271860643092168,-0.07635888496006374,0.06206862010731129,4,0,worse
12,Amargin,Aheur,final_P_tau_main,50,0,10,0.0007294638053281233,-0.00028707448655040935,0.00263550307136029,8,0,better
12,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.0004954311851820825,-6.893358752529943e-05,0.0027552291707123033,8,0,better
12,Amargin,Aheur,final_P_opt,50,0,10,0.0006841852955403738,-0.00028745746822096403,0.00263550307136029,8,0,better
12,Amargin,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,g_off,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,9,equal
12,Amargin,Aheur,feasible_shot_fraction,50,0,10,-0.02850000000000001,-0.078,0.0335,3,1,worse
12,Amargin,Aheur,runtime_s,50,0,10,-1.6373144928365946,-3.760986404493451,2.83451212849468,6,0,better
16,Amargin,Aheur,final_P_F,50,0,10,0.0015143822287200237,0.0009400182998149376,0.024835424905049308,10,0,better
16,Amargin,Aheur,final_P_tau_main,50,0,10,0.00011494858699734323,6.916219945196644e-06,0.0002601416199468076,10,0,better
16,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.05881660852335596,0.006884677836407959,0.09864843248365907,10,0,better
16,Amargin,Aheur,final_P_opt,50,0,10,0.00011494858699734323,6.916219945196644e-06,0.0002139073912985623,10,0,better
16,Amargin,Aheur,g_F,42,8,10,0.0,-0.01966186731324151,0.006239757576758269,3,4,equal
16,Amargin,Aheur,g_off,42,8,10,0.008107054150523402,0.0035107406980685782,0.018794184457846842,0,1,worse
16,Amargin,Aheur,rank_best_feasible,42,8,10,0.0,-2.0,0.5,3,4,equal
16,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.004,0.0005,0.019500000000000003,8,2,better
16,Amargin,Aheur,runtime_s,50,0,10,1.7633157577365637,-0.39554720651358366,10.35856360848993,3,0,worse
20,Amargin,Aheur,final_P_F,50,0,10,0.004993141034617565,0.003716760197789881,0.006169632772980549,9,0,better
20,Amargin,Aheur,final_P_tau_main,50,0,10,4.720448646367004e-05,2.2980150816920286e-05,0.00012609257282747421,10,0,better
20,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.0435871457107457,0.02068915356926583,0.09201911873904388,10,0,better
20,Amargin,Aheur,final_P_opt,50,0,10,4.172141052549705e-05,7.74425780036836e-06,4.8572012019576505e-05,10,0,better
20,Amargin,Aheur,g_F,50,0,10,-0.014797511881863571,-0.028391229653546835,-0.0004332268764263847,8,0,better
20,Amargin,Aheur,g_off,50,0,10,0.010991336983967663,0.0066493433741968665,0.012394116314768508,0,0,worse
20,Amargin,Aheur,rank_best_feasible,50,0,10,-8.0,-20.0,1.5,8,0,better
20,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.0035000000000000014,0.001,0.009000000000000008,9,0,better
20,Amargin,Aheur,runtime_s,50,0,10,9.00017350539565,0.8651093365624547,19.07619372010231,2,0,worse
