n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
12,Amargin,Aheur,final_P_F,50,0,10,0.046403128289966844,0.008784396341070533,0.08625803743598226,10,0,better
12,Amargin,Aheur,final_P_tau_main,50,0,10,0.003768317328649573,0.0001629740436328575,0.006968208748730831,9,0,better
12,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.010493059930050286,0.0002976109387203829,0.06074679370687475,9,0,better
12,Amargin,Aheur,final_P_opt,50,0,10,0.003768317328649573,0.0001629740436328575,0.005173204466700554,9,0,better
12,Amargin,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,10,equal
12,Amargin,Aheur,g_off,50,0,10,0.0,0.0,0.0,0,10,equal
12,Amargin,Aheur,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,10,equal
12,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.0385,0.0005000000000000004,0.08700000000000002,8,0,better
12,Amargin,Aheur,runtime_s,50,0,10,0.014702457934617996,-0.06830282928422093,0.03706753719598055,4,0,worse
16,Amargin,Aheur,final_P_F,50,0,10,0.00043523932951394784,-0.00048038148513995793,0.04645713698118925,7,0,better
16,Amargin,Aheur,final_P_tau_main,50,0,10,0.0001401380868628621,0.00010559690417721868,0.0002523772418498993,10,0,better
16,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.05691417572749402,0.029258424928456872,0.07419524273938344,10,0,better
16,Amargin,Aheur,final_P_opt,50,0,10,0.00011670056846924126,4.479696508497e-05,0.00019066617605858474,10,0,better
16,Amargin,Aheur,g_F,42,8,10,-0.002180460154314698,-0.02054857942420057,0.0013163269846922726,5,3,better
16,Amargin,Aheur,g_off,42,8,10,0.001932000494209083,-0.00011972315848874382,0.007560799411679964,4,0,worse
16,Amargin,Aheur,rank_best_feasible,42,8,10,-0.25,-1.75,0.25,5,3,better
16,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.0005,0.0,0.035500000000000004,5,4,better
16,Amargin,Aheur,runtime_s,50,0,10,0.05458062933757901,-0.009697970002889633,0.10301391407847404,3,0,worse
20,Amargin,Aheur,final_P_F,50,0,10,0.03193767227821809,0.004657565461798185,0.04893968379110447,10,0,better
20,Amargin,Aheur,final_P_tau_main,50,0,10,0.00014394362551684026,7.184601372500765e-05,0.0003134951170977729,10,0,better
20,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.12199177307861747,0.0618759151218603,0.2194532292167024,10,0,better
20,Amargin,Aheur,final_P_opt,50,0,10,5.5227596021723e-05,3.606141049203871e-05,5.948994294158183e-05,10,0,better
20,Amargin,Aheur,g_F,50,0,10,-0.01931302074824285,-0.037961332223302516,0.0,7,2,better
20,Amargin,Aheur,g_off,50,0,10,0.005217792877469064,0.0019925749766510257,0.008987455261443723,0,0,worse
20,Amargin,Aheur,rank_best_feasible,50,0,10,-10.5,-20.5,0.0,7,2,better
20,Amargin,Aheur,feasible_shot_fraction,50,0,10,0.025000000000000022,0.007,0.06,9,1,better
20,Amargin,Aheur,runtime_s,50,0,10,0.011959336698055267,-0.7542228968814015,0.11264556646347046,5,0,worse
