n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
12,Amargin,Aheur,final_P_F,2,0,2,0.19951326528098434,0.19932511122897267,0.199701419332996,2,0,better
12,Amargin,Aheur,final_P_tau_main,2,0,2,0.005534489871934056,0.0050939267966896296,0.005975052947178483,2,0,better
12,Amargin,Aheur,final_Q_tau_main_1000,2,0,2,0.08287162620163879,0.07826173714886786,0.08748151525440973,2,0,better
12,Amargin,Aheur,final_P_opt,2,0,2,0.005534489871934056,0.0050939267966896296,0.005975052947178483,2,0,better
12,Amargin,Aheur,g_F,2,0,2,-0.03080683254888415,-0.0616136650977683,0.0,1,1,better
12,Amargin,Aheur,g_off,2,0,2,-0.00040530510187779825,-0.0008106102037555965,0.0,1,1,better
12,Amargin,Aheur,rank_best_feasible,2,0,2,-0.5,-1.0,0.0,1,1,better
12,Amargin,Aheur,feasible_shot_fraction,2,0,2,0.14900000000000002,0.13600000000000004,0.16199999999999998,2,0,better
12,Amargin,Aheur,runtime_s,2,0,2,0.08842659136280417,0.03642767854034901,0.14042550418525934,0,0,worse
12,5xAcrit,Aheur,final_P_F,2,0,2,0.030428889956965577,0.012822836069972254,0.0480349438439589,2,0,better
12,5xAcrit,Aheur,final_P_tau_main,2,0,2,0.003318652554298751,-0.002207339886808768,0.00884464499540627,1,0,better
12,5xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,-0.2758255850552211,-0.6393365218389857,0.08768535172854353,1,0,worse
12,5xAcrit,Aheur,final_P_opt,2,0,2,0.003318652554298751,-0.002207339886808768,0.00884464499540627,1,0,better
12,5xAcrit,Aheur,g_F,2,0,2,0.008378392778220046,0.0,0.01675678555644009,0,1,worse
12,5xAcrit,Aheur,g_off,2,0,2,0.007547650047712713,0.0,0.015095300095425425,0,1,worse
12,5xAcrit,Aheur,rank_best_feasible,2,0,2,0.5,0.0,1.0,0,1,worse
12,5xAcrit,Aheur,feasible_shot_fraction,2,0,2,-0.00399999999999999,-0.017999999999999988,0.010000000000000009,1,0,worse
12,5xAcrit,Aheur,runtime_s,2,0,2,-0.009030729532241821,-0.11270607728511095,0.09464461822062731,1,0,better
12,10xAcrit,Aheur,final_P_F,2,0,2,0.05566707666730508,-0.015360001823864877,0.12669415515847504,1,0,better
