spec_version,run_id,n_assets,n_select,instance,instance_digest,penalty_label,penalty,a_crit,a_over_crit,a_margin,a_heur,qaoa_seed,backend,precision,p_layers,steps,optimizer,stepsize,f_star,delta_F,feasible_set_size,data_start,data_end,status,error,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal,sharpe_optimum,deflation_D,abs_E_star,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000,initial_probs_sum,initial_P_F,initial_P_opt,initial_P_tau_main,initial_P_tau_alt,initial_expected_f,initial_expected_violation,initial_Q_tau_main_10,initial_Q_opt_10,initial_Q_tau_main_100,initial_Q_opt_100,initial_Q_tau_main_1000,initial_Q_opt_1000,initial_Q_tau_main_10000,initial_Q_opt_10000,hamiltonian_scale,final_expectation,expectation_at_final_angles,best_expectation,best_expectation_step,best_expectation_by_50,best_expectation_by_100,objective_evaluations,gradient_evaluations,initial_angles,final_angles,optimisation_seconds,sampling_seconds,state_seconds,runtime_s,evaluation_seconds
e1-v2,N12_i00_Aheur_s42,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,183,630,12,2,True,-52.1507686029985,-0.15076860308166284,-52.15076860299848,True,0.183,12,-0.15076860308166284,0.1569195145444973,0.0019490523913516286,3,1,False,False,False,1.337964475552203,0.49124459998426784,0.36641077468214145,0,0,1.3218756853432454,80.51067033435503,52.252611680749226,1.0000012254358808,0.18375721666961908,0.002612411044538021,0.002612411044538021,0.002612411044538021,1.5154868565912012,12.926628258039273,0.02581912904689939,0.02581912904689939,0.2301679728502366,0.2301679728502366,0.9268928674809175,0.9268928674809175,0.9999999999956389,0.9999999999956389,0.9999987254332154,0.11304889840539545,0.0016602466348558664,0.0016602466348558664,0.0016602466348558664,1.9290688999262837,17.57221278230645,0.01647897506642292,0.01647897506642292,0.15309151580657682,0.15309151580657682,0.8101700052141562,0.8101700052141562,0.9999999392357197,0.9999999392357197,52.55393699499583,-1.5170623064041138,-1.5170623064041138,-1.517063021659851,24,-1.517063021659851,-1.517063021659851,35,35,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.243748352546552 1.3932321764233848 2.7954883204329564 2.0888006064765259,8.936997684650123,0.03545618709176779,0.09046138264238834,8.972453871741891,0.001695532351732254
e1-v2,N12_i00_Aheur_s43,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,43,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,6,860,1032,2,True,-52.110616873275504,-0.1106168733586747,-52.110616873275504,True,0.006,1032,-0.1106168733586747,0.2187851815628711,0.002717468139990289,6,1,False,False,False,1.088869188485919,0.3163022861826948,0.2895685629796588,0,0,1.3218756853432454,80.51067033435503,52.252611680749226,1.0000008896922736,0.010599945613648742,0.0001598601375008002,0.0001598601375008002,0.0001598601375008002,1.9676789908790153,15.577752917502949,0.001597451878242757,0.001597451878242757,0.015860173230276137,0.015860173230276137,0.1477479107324519,0.1477479107324519,0.7978467417300777,0.7978467417300777,1.0000005665060598,0.2215427365154028,0.0033561328891664743,0.0033561328891664743,0.0033561328891664743,2.3450475490473313,21.8980077522574,0.03305897536534337,0.03305897536534337,0.28550389541308757,0.28550389541308757,0.9653264224404678,0.9653264224404678,0.9999999999999974,0.9999999999999974,52.55393699499583,-0.8526623249053955,-0.8526623249053955,-0.8526623249053955,13,-0.8526623249053955,-0.8526623249053955,34,34,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,1.8714461018218378 -0.018429645132979035 0.15435475131975787 2.7748203717067503,8.716057796031237,0.03183203376829624,0.08076759148389101,8.747889829799533,0.0016843723133206367
e1-v2,N12_i00_Aheur_s44,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,44,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,539,201,1028,2,True,-52.252611680749226,-0.25261168083239516,-52.25261168074922,True,0.539,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,10,10,1.3218756853432454,80.51067033435503,52.252611680749226,1.0000008693939328,0.5275763478130102,0.008079824969172478,0.008079824969172478,0.008079824969172478,0.14223815033931558,0.5841929569311155,0.07792290016378876,0.07792290016378876,0.5557040414928756,0.5557040414928756,0.9997002745454963,0.9997002745454963,1.0,1.0,1.0000004935645848,0.11896329908631742,0.001821970334276557,0.001821970334276557,0.001821970334276557,1.3455117267230983,11.752967032582092,0.018071045898507686,0.018071045898507686,0.16670138036876278,0.16670138036876278,0.8385616819804185,0.8385616819804185,0.9999999879755217,0.9999999879755217,52.55393699499583,-4.596272945404053,-4.596273899078369,-4.596273899078369,52,-4.596273422241211,-4.596273899078369,100,100,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.31495067097641727 0.96668034572081518 0.45239347425578935 3.3295196886424261,25.739933595061302,0.031176691874861717,0.08566484414041042,25.771110286936164,0.0016851499676704407
e1-v2,N12_i00_Aheur_s45,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,45,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,522,209,1028,2,True,-52.252611680749226,-0.25261168083239516,-52.25261168074922,True,0.522,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,5,5,1.3218756853432454,80.51067033435503,52.252611680749226,1.0000009218711874,0.5277453530579805,0.00808237586170435,0.00808237586170435,0.00808237586170435,0.1422540592865476,0.5841903442088956,0.07794661268045316,0.07794661268045316,0.5558182852606816,0.5558182852606816,0.9997010443515326,0.9997010443515326,1.0,1.0,1.000000907136382,0.06755057454574853,0.001034809509292245,0.001034809509292245,0.001034809509292245,2.5986586865560186,24.629574968536872,0.01030004044269276,0.01030004044269276,0.0983551110804577,0.0983551110804577,0.6448962555483828,0.6448962555483828,0.9999681174890016,0.9999681174890016,52.55393699499583,-4.5962724685668945,-4.5962724685668945,-4.5962724685668945,48,-4.5962724685668945,-4.5962724685668945,89,89,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,0.31545995466029492 0.96813255821310973 3.5938188634274293 3.3291451318699585,22.873444453813136,0.030374376103281975,0.08145296666771173,22.903818829916418,0.001507471315562725
e1-v2,N12_i00_Aheur_s46,12,2,0,941157873a8b,Aheur,12.999999999979208,0.01071663840056869,1213.066963170965,0.19822334062316602,12.999999999979208,46,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,448,244,1028,2,True,-52.252611680749226,-0.25261168083239516,-52.25261168074922,True,0.448,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,8,8,1.3218756853432454,80.51067033435503,52.252611680749226,1.0000006718595529,0.4414446116425097,0.006178307346999645,0.006178307346999645,0.006178307346999645,0.1711531061705192,0.822746592284588,0.06009335328603471,0.06009335328603471,0.4619195563918866,0.4619195563918866,0.9979654326062841,0.9979654326062841,1.0,1.0,1.0000004891253411,0.011615844035986811,0.0001726314949337393,0.0001726314949337393,0.0001726314949337393,2.9484879453256134,28.414050952081197,0.0017249744930280407,0.0017249744930280407,0.017116459836801105,0.017116459836801105,0.15856490417089064,0.15856490417089064,0.8220875982198487,0.8220875982198487,52.55393699499583,-4.536712169647217,-4.536712169647217,-4.536712169647217,39,-4.536712169647217,-4.536712169647217,55,55,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,1.946936358254358 -2.2547600222340671 1.5791146982324045 2.0438437733752446,14.12605960574001,0.03017289750277996,0.08375336229801178,14.15623250324279,0.001505252905189991
e1-v2,N12_i00_Amargin_s42,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,42,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,446,162,1028,2,True,-1.0455050433250592,-0.25261168083239516,-1.0455050433250592,True,0.446,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,10,10,1.3218756853432454,1.6109110945560774,1.0455050433250592,0.9999999607920578,0.44295258121564984,0.006967807654291391,0.006967807654291391,0.006967807654291391,0.0832688649257775,0.7968459942005861,0.06753341493610185,0.06753341493610185,0.5030270188161504,0.5030270188161504,0.999080974034369,0.999080974034369,1.0,1.0,0.999998708334541,0.19428754411637783,0.0001988208678085357,0.0001988208678085357,0.0001988208678085357,1.6294665068892236,12.765428231552175,0.001986430782691268,0.001986430782691268,0.019687679331102517,0.019687679331102517,0.18031948893444147,0.18031948893444147,0.8630865566206324,0.8630865566206324,1.3468303575716642,-4.316870212554932,-4.316870212554932,-4.316870212554932,48,-4.316870212554932,-4.316870212554932,66,66,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.34009822885544433 0.85871937865928949 2.0187714653800586 1.3298035331019911,17.010162433609366,0.030810036696493626,0.08140384219586849,17.04097247030586,0.0015207184478640556
e1-v2,N12_i00_Amargin_s43,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,43,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,11,820,260,2,True,-0.9100028390465092,-0.11710947655384518,-0.9100028390465091,True,0.011,260,-0.11710947655384518,0.20878139766299897,0.12960454389354947,5,1,False,False,False,1.1121478218618994,0.3282008230161339,0.2942062346247745,0,0,1.3218756853432454,1.6109110945560774,1.0455050433250592,0.9999997705429138,0.012867974262917414,0.00023066751600708812,0.00023066751600708812,0.00023066751600708812,1.8376113750344838,15.085864317172081,0.0023042822946332925,0.0023042822946332925,0.022805347992317045,0.022805347992317045,0.20601771085805373,0.20601771085805373,0.9004346671269626,0.9004346671269626,0.9999993937294747,0.10368476493749768,0.003290303749963641,0.003290303749963641,0.003290303749963641,1.9491955232879932,17.083975530642824,0.03242011307751257,0.03242011307751257,0.2807691272599747,0.2807691272599747,0.9629589566884877,0.9629589566884877,0.9999999999999951,0.9999999999999951,1.3468303575716642,-0.9112797975540161,-0.9112797975540161,-0.9112797975540161,19,-0.9112797975540161,-0.9112797975540161,28,28,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,2.1982678523463335 -0.035502495365703428 0.19479311381584191 2.6793744082195268,7.208765482529998,0.030093125998973846,0.08069659397006035,7.238858608528972,0.0014251228421926498
e1-v2,N12_i00_Amargin_s44,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,44,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,463,146,1028,2,True,-1.0455050433250592,-0.25261168083239516,-1.0455050433250592,True,0.463,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,20,20,1.3218756853432454,1.6109110945560774,1.0455050433250592,1.0000004975578847,0.4491604526992887,0.013481716625392437,0.013481716625392437,0.013481716625392437,0.05067379549009516,0.7799952768715315,0.12692533609303808,0.12692533609303808,0.742656114163667,0.742656114163667,0.999998726090594,0.999998726090594,1.0,1.0,1.000001264430466,0.12332593882456422,0.002728606341406703,0.002728606341406703,0.002728606341406703,1.4383779077460996,12.447065051215759,0.026953451478511,0.026953451478511,0.2390849656346325,0.2390849656346325,0.9349328700351905,0.9349328700351905,0.9999999999986398,0.9999999999986398,1.3468303575716642,-4.3435564041137695,-4.3435564041137695,-4.3435564041137695,23,-4.3435564041137695,-4.3435564041137695,63,63,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.36215987229713265 1.0852947110699398 0.48824200932021866 3.3661336191872024,16.2968774382025,0.03150404989719391,0.0813221912831068,16.328381488099694,0.0015169894322752953
e1-v2,N12_i00_Amargin_s45,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,45,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,528,175,1028,2,True,-1.0455050433250592,-0.25261168083239516,-1.0455050433250592,True,0.528,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,14,14,1.3218756853432454,1.6109110945560774,1.0455050433250592,1.0000009851355571,0.5573748275637627,0.009316937066614628,0.009316937066614628,0.009316937066614628,0.13690913994670256,0.8481813809821546,0.08935861776350638,0.08935861776350638,0.607830494602519,0.607830494602519,0.9999139525103824,0.9999139525103824,1.0,1.0,1.000000941915399,0.13479332547285594,0.004262568429112434,0.004262568429112434,0.004262568429112434,3.1121062671157205,28.969783817941774,0.04181728212766554,0.04181728212766554,0.34764599196631585,0.34764599196631585,0.9860416735824582,0.9860416735824582,1.0,1.0,1.3468303575716642,-4.269491672515869,-4.269491672515869,-4.269491672515869,97,-4.2671427726745605,-4.269491672515869,100,100,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,0.52789755280469997 2.7884075554908576 2.0594814797385532 1.4415042936020714,25.708027886226773,0.030303072184324265,0.08109304029494524,25.738330958411098,0.001441657543182373
e1-v2,N12_i00_Amargin_s46,12,2,0,941157873a8b,Amargin,0.19822334062316602,0.01071663840056869,18.49678352613326,0.19822334062316602,12.999999999979208,46,lightning_gpu,single,2,100,lbfgs_100grad,,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,,1000,351,117,1028,2,True,-1.0455050433250592,-0.25261168083239516,-1.0455050433250592,True,0.351,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,45,45,1.3218756853432454,1.6109110945560774,1.0455050433250592,1.0000000884209996,0.3710523281333735,0.037315890192985535,0.037315890192985535,0.037315890192985535,-0.008044288686560668,1.0383099365233004,0.316343364278764,0.316343364278764,0.9776961243489661,0.9776961243489661,1.0,1.0,1.0,1.0,0.9999999284692507,0.11947683713515289,0.0054632145911455154,0.0054632145911455154,0.0054632145911455154,2.745484234859372,22.068894265423125,0.05330842502388277,0.05330842502388277,0.42179063485726376,0.42179063485726376,0.9958231275268664,0.9958231275268664,1.0,1.0,1.3468303575716642,-4.34913444519043,-4.34913444519043,-4.34913444519043,69,-4.3491339683532715,-4.34913444519043,87,87,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,1.2984380919800003 -1.1035137738482046 1.5636455929232951 0.93659860663102068,22.373936981894076,0.03043239563703537,0.08122907299548388,22.40436937753111,0.0013608718290925026
