spec_version,run_id,n_assets,n_select,instance,instance_digest,penalty_label,penalty,a_crit,a_over_crit,a_margin,a_heur,qaoa_seed,backend,precision,p_layers,steps,optimizer,stepsize,f_star,delta_F,feasible_set_size,data_start,data_end,status,error,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal,sharpe_optimum,deflation_D,abs_E_star,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000,initial_probs_sum,initial_P_F,initial_P_opt,initial_P_tau_main,initial_P_tau_alt,initial_expected_f,initial_expected_violation,initial_Q_tau_main_10,initial_Q_opt_10,initial_Q_tau_main_100,initial_Q_opt_100,initial_Q_tau_main_1000,initial_Q_opt_1000,initial_Q_tau_main_10000,initial_Q_opt_10000,hamiltonian_scale,final_expectation,expectation_at_final_angles,best_expectation,best_expectation_step,best_expectation_by_50,best_expectation_by_100,objective_evaluations,gradient_evaluations,initial_angles,final_angles,optimisation_seconds,sampling_seconds,state_seconds,runtime_s,evaluation_seconds
e1-v2,N12_i00_Aheur_s42,12,2,0,941157873a8b,Aheur,12.999999999971976,0.0,,0.20555792108109197,12.999999999971976,42,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,207,635,6,2,True,-52.35489656494232,-0.3548965650544149,-52.35489656494232,True,0.207,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,4,4,1.760716408795367,45.93851747260685,52.35489656494232,0.9999989308817021,0.18482168158516288,0.0025509577244520187,0.0025509577244520187,0.0025509577244520187,2.019676249496413,12.920025722349237,0.025218728047752825,0.025218728047752825,0.22541021241835535,0.22541021241835535,0.9222469080658029,0.9222469080658029,0.9999999999919243,0.9999999999919243,0.9999993361470843,0.11443603516090661,0.0016403807094320655,0.0016403807094320655,0.0016403807094320655,2.555319013755314,17.41623457895912,0.016283247059524775,0.016283247059524775,0.15140459472210188,0.15140459472210188,0.8063547896794852,0.8063547896794852,0.999999925857437,0.999999925857437,52.84184913432561,-1.5147019624710083,-1.5152530670166016,-1.515040397644043,48,-1.515040397644043,-1.515040397644043,50,50,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.260136787339992 1.3979701311829245 2.797489724593798 2.0853986253470822,10.571719579398632,0.033639946952462196,0.08459448907524347,10.605359526351094,0.0015437882393598557
e1-v2,N12_i00_Aheur_s43,12,2,0,941157873a8b,Aheur,12.999999999971976,0.0,,0.20555792108109197,12.999999999971976,43,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,6,836,12,2,True,-52.24835122023153,-0.248351220343624,-52.24835122023153,True,0.006,12,-0.248351220343624,0.09348762963460894,0.002035059788125632,5,1,False,False,False,1.6584039262496015,0.39419419953848867,0.23709193720234242,0,0,1.760716408795367,45.93851747260685,52.35489656494232,1.000000774194632,0.009896412637317553,0.00014947801537346095,0.00014947801537346095,0.00014947801537346095,2.6244706217305174,15.58708475518506,0.0014937750889477686,0.0014937750889477686,0.014837738443744697,0.014837738443744697,0.13885225158141,0.13885225158141,0.7757271489293813,0.7757271489293813,0.9999989910571685,0.2205490842461586,0.0033397129736840725,0.0033397129736840725,0.0033397129736840725,3.116710099931444,21.78990317690659,0.03289965800455574,0.03289965800455574,0.2843257876782901,0.2843257876782901,0.9647504410881625,0.9647504410881625,0.999999999999997,0.999999999999997,52.84184913432561,-0.8476840853691101,-0.847674548625946,-0.8495908379554749,44,-0.8495908379554749,-0.8495908379554749,50,50,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,1.8357395962915077 0.001142233777503175 -0.04560367591723493 2.9846517591695512,10.198489487171173,0.028980051167309284,0.07648345548659563,10.227469538338482,0.001445060595870018
e1-v2,N12_i00_Aheur_s44,12,2,0,941157873a8b,Aheur,12.999999999971976,0.0,,0.20555792108109197,12.999999999971976,44,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,513,247,6,2,True,-52.35489656494232,-0.3548965650544149,-52.35489656494232,True,0.513,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,11,11,1.760716408795367,45.93851747260685,52.35489656494232,0.9999986596950843,0.5042230244725943,0.007742720656096935,0.007742720656096935,0.007742720656096935,0.21719644464174748,0.6072277175994749,0.07478442212785108,0.07478442212785108,0.5403477780327192,0.5403477780327192,0.9995789888105728,0.9995789888105728,1.0,1.0,1.0000014593388187,0.11908310430590063,0.0018416058737784624,0.0018416058737784624,0.0018416058737784624,1.7931829572681923,11.775300581371994,0.018264187778328278,0.018264187778328278,0.16833899863170454,0.16833899863170454,0.841706395602889,0.841706395602889,0.9999999901228037,0.9999999901228037,52.84184913432561,-4.581949710845947,-4.578514575958252,-4.581949710845947,49,-4.581949710845947,-4.581949710845947,50,50,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.28683925167194035 0.84965269902883334 0.43928352125418763 3.3391921474951798,10.019613948650658,0.028678865171968937,0.0792641518637538,10.048292813822627,0.0013897484168410301
e1-v2,N12_i00_Aheur_s45,12,2,0,941157873a8b,Aheur,12.999999999971976,0.0,,0.20555792108109197,12.999999999971976,45,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,130,544,6,2,True,-52.35489656494232,-0.3548965650544149,-52.35489656494232,True,0.13,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,1,1,1.760716408795367,45.93851747260685,52.35489656494232,1.0000006595082027,0.13790830376092345,0.002584324683994055,0.002584324683994055,0.002584324683994055,1.63498698093079,10.593155064582788,0.02554476567059971,0.02554476567059971,0.22799710699947728,0.22799710699947728,0.9248049455546817,0.9248049455546817,0.9999999999942205,0.9999999999942205,1.000000475136403,0.06467064225580543,0.0010094873141497374,0.0010094873141497374,0.0010094873141497374,3.477709863843618,24.76076112597184,0.010049138462932428,0.010049138462932428,0.09606671307630643,0.09606671307630643,0.6357799968403051,0.6357799968403051,0.9999589192902748,0.9999589192902748,52.84184913432561,-2.0959701538085938,-2.094989538192749,-2.1127355098724365,46,-2.1127355098724365,-2.1127355098724365,50,50,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,1.6068241694087615 2.5077033279417269 2.6626082810942959 2.4421764679936606,10.200403288938105,0.02860981971025467,0.08026817720383406,10.22901310864836,0.0013864841312170029
e1-v2,N12_i00_Aheur_s46,12,2,0,941157873a8b,Aheur,12.999999999971976,0.0,,0.20555792108109197,12.999999999971976,46,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,318,296,6,2,True,-52.35489656494232,-0.3548965650544149,-52.35489656494232,True,0.318,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,5,5,1.760716408795367,45.93851747260685,52.35489656494232,0.9999995664621792,0.3170041972771287,0.0046900417655706406,0.0046900417655706406,0.0046900417655706406,0.261946730132132,1.559972840262276,0.04592285422422526,0.04592285422422526,0.3750648859170429,0.3750648859170429,0.9909144907159675,0.9909144907159675,1.0,1.0,1.0000001686112228,0.011746741802198812,0.00018072208331432194,0.00018072208331432194,0.00018072208331432194,3.9388452438538213,28.397068925552958,0.0018057518200025324,0.0018057518200025324,0.0179114892588369,0.0179114892588369,0.16534633741174676,0.16534633741174676,0.8359172089688591,0.8359172089688591,52.84184913432561,-4.294651508331299,-4.3432817459106445,-4.294651508331299,49,-4.294651508331299,-4.294651508331299,50,50,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,1.8695995410686026 -2.097445971162549 1.5640321159624986 1.9590087312393711,10.189940936863422,0.02859424240887165,0.07533667609095573,10.218535179272294,0.0013807620853185654
e1-v2,N12_i00_Amargin_s42,12,2,0,941157873a8b,Amargin,0.20555792108109197,0.0,,0.20555792108109197,12.999999999971976,42,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,254,149,6,2,True,-1.1771282493787827,-0.3548965650544149,-1.1771282493787827,True,0.254,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,8,8,1.760716408795367,1.0328647404452358,1.1771282493787827,1.000000373512855,0.26639930391684175,0.00817553699016571,0.00817553699016571,0.00817553699016571,0.04675794448853582,1.4192764173193932,0.07881224140202381,0.07881224140202381,0.5599707146310048,0.5599707146310048,0.9997278453171277,0.9997278453171277,1.0,1.0,0.999999004417468,0.18842985720038996,0.004621531348675489,0.004621531348675489,0.004621531348675489,2.148804236201435,11.680595536946655,0.04526592848238986,0.04526592848238986,0.3707485648398581,0.3707485648398581,0.990267102553004,0.990267102553004,1.0,1.0,1.6640808187620773,-3.971714973449707,-3.9759058952331543,-3.9962940216064453,43,-3.9962940216064453,-3.9962940216064453,50,50,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,0.30027447969214666 0.73043897116563528 2.0671238268698042 1.2920807732044568,10.223749672994018,0.028825070708990097,0.08000521454960108,10.252574743703008,0.0013213204219937325
e1-v2,N12_i00_Amargin_s43,12,2,0,941157873a8b,Amargin,0.20555792108109197,0.0,,0.20555792108109197,12.999999999971976,43,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,180,567,6,2,True,-1.1771282493787827,-0.3548965650544149,-1.1771282493787827,True,0.18,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,16,16,1.760716408795367,1.0328647404452358,1.1771282493787827,1.0000000600430212,0.18856108124600723,0.019464727491140366,0.019464727491140366,0.019464727491140366,1.4575496584091219,10.012457208100216,0.1784533854564636,0.1784533854564636,0.8599374260004579,0.8599374260004579,0.9999999970944989,0.9999999970944989,1.0,1.0,0.9999997695236984,0.04672662614029832,0.0027369754388928413,0.0027369754388928413,0.0027369754388928413,2.5454879593125606,17.698139785506456,0.027035106421688937,0.027035106421688937,0.23972326003512512,0.23972326003512512,0.9354766305978217,0.9354766305978217,0.9999999999987492,0.9999999999987492,1.6640808187620773,-1.6895157098770142,-2.0666322708129883,-1.6895157098770142,49,-1.6895157098770142,-1.6895157098770142,50,50,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,2.044602196197546 0.78958934909147205 -0.34473939343639365 2.8371970224579277,10.059350491501391,0.028396177105605602,0.0760167483240366,10.087746668606997,0.0013135764747858047
e1-v2,N12_i00_Amargin_s44,12,2,0,941157873a8b,Amargin,0.20555792108109197,0.0,,0.20555792108109197,12.999999999971976,44,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,445,160,6,2,True,-1.1771282493787827,-0.3548965650544149,-1.1771282493787827,True,0.445,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,22,22,1.760716408795367,1.0328647404452358,1.1771282493787827,0.9999980783886215,0.44243546086363494,0.017178120091557503,0.017178120091557503,0.017178120091557503,0.03307630218527146,0.8325034695753146,0.15909262140223768,0.15909262140223768,0.8232002557593509,0.8232002557593509,0.9999999701587972,0.9999999701587972,1.0,1.0,1.0000007473718142,0.12034541007597,0.0033689578995108604,0.0033689578995108604,0.0033689578995108604,1.9885397046336473,12.958567591143947,0.03318339604330267,0.03318339604330267,0.28642273772083193,0.28642273772083193,0.9657697531932826,0.9657697531932826,0.9999999999999978,0.9999999999999978,1.6640808187620773,-4.054803371429443,-4.056600093841553,-4.057791233062744,45,-4.057791233062744,-4.057791233062744,50,50,0.38505090477492371 0.8108861395016167 1.274766337564649 3.0447811714676671,0.32735279543047147 1.1487341243814639 0.5675657259100978 3.399303910939504,10.250231665559113,0.02914226707071066,0.08057568781077862,10.279373932629824,0.0014939187094569206
e1-v2,N12_i00_Amargin_s45,12,2,0,941157873a8b,Amargin,0.20555792108109197,0.0,,0.20555792108109197,12.999999999971976,45,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,407,209,6,2,True,-1.1771282493787827,-0.3548965650544149,-1.1771282493787827,True,0.407,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,8,8,1.760716408795367,1.0328647404452358,1.1771282493787827,1.0000000363369281,0.40718413214199245,0.011309261433780193,0.011309261433780193,0.011309261433780193,0.15586771677610095,1.2582134301860748,0.10750732627197945,0.10750732627197945,0.679338663960882,0.679338663960882,0.9999885061380321,0.9999885061380321,1.0,1.0,1.000000471486608,0.1116514183813706,0.006391134113073349,0.006391134113073349,0.006391134113073349,4.639010217644888,31.615624706716112,0.0621042233721909,0.0621042233721909,0.4733212426317178,0.4733212426317178,0.9983576790901408,0.9983576790901408,1.0,1.0,1.6640808187620773,-3.9302008152008057,-3.930232524871826,-3.9302008152008057,49,-3.9302008152008057,-3.9302008152008057,50,50,1.8005430614133757 1.660303899153966 2.3990779832738145 2.5500080338093531,0.68963842415885135 3.0031335003737052 2.0987683213149171 1.5786637484677233,10.18782779108733,0.03118909802287817,0.07991603016853333,10.219016889110208,0.001249217428267002
e1-v2,N12_i00_Amargin_s46,12,2,0,941157873a8b,Amargin,0.20555792108109197,0.0,,0.20555792108109197,12.999999999971976,46,lightning_gpu,single,2,50,adam_0.1,0.1,-0.3548965650544149,1.139673185930773,66,2020-08-05,2023-08-05,ok,,1000,393,192,6,2,True,-1.1771282493787827,-0.3548965650544149,-1.1771282493787827,True,0.393,6,-0.3548965650544149,0.0,0.0,1,1,True,True,True,1.760716408795367,0.3189832742587254,0.18059880209572232,83,83,1.760716408795367,1.0328647404452358,1.1771282493787827,0.9999984119908186,0.3823631797567941,0.0707123875617981,0.0707123875617981,0.0707123875617981,-0.012555663266911599,1.0975005640134037,0.5197122833655881,0.5197122833655881,0.9993468471940369,0.9993468471940369,1.0,1.0,1.0,1.0,1.000000255745924,0.1255848010769114,0.009308460168540478,0.009308460168540478,0.009308460168540478,3.2309502895050777,18.885486289435192,0.0892806946445055,0.0892806946445055,0.6074947879074573,0.6074947879074573,0.9999132130789078,0.9999132130789078,1.0,1.0,1.6640808187620773,-4.0408244132995605,-4.0512871742248535,-4.0408244132995605,49,-4.0408244132995605,-4.0408244132995605,50,50,2.8450397427097829 0.24261512621431053 0.85630314278475539 1.9536009066557216,1.0802360588625735 -1.4280266863948787 1.5975962589673596 0.62002826377594389,10.049714040011168,0.028708984144032,0.07539560832083225,10.0784230241552,0.0013470826670527458
e1-v2,N12_i01_Aheur_s42,12,2,1,3798cace2ea7,Aheur,12.999999999973573,0.19749556519681472,65.82426287404677,0.39399708493223695,12.999999999973573,42,lightning_gpu,single,2,50,adam_0.1,0.1,0.09217873609211846,0.87035666778487,66,2020-08-05,2023-08-05,ok,,1000,194,631,130,2,True,-51.90782126380218,0.09217873609211846,-51.90782126380218,True,0.194,130,0.09217873609211846,0.0,0.0,1,1,True,True,True,1.5040082686149032,0.3594980781783996,0.2383617734419464,4,4,1.5040082686149032,59.63971229853606,51.90782126380218,0.9999993684123183,0.17846607486717403,0.002600359031930566,0.002600359031930566,0.010385957080870867,3.17449747252469,12.882296639272681,0.02570140672199317,0.02570140672199317,0.22923718354395728,0.22923718354395728,0.9260041181518083,0.9260041181518083,0.9999999999950787,0.9999999999950787,0.9999992892153386,0.11479730240534991,0.0016766171902418137,0.0016766171902418137,0.006749513442628086,3.9292219095732115,17.541265243067755,0.016640238777824834,0.016640238777824834,0.15447913106088051,0.15447913106088051,0.8132574382663922,0.8132574382663922,0.9999999484257261,0.9999999484257261,52.89683061126275,-1.5336122512817383,-1.5328444242477417,-1.5342402458190918,48,-1.5342402458190918,-1.5342402458190918,50,50,2.4314546363447995 1.3787772821439981 2.6973649175810768 2.1908462769412909,2.2546066582693198 1.3962636375019561 2.7960530422055094 2.0871389312272957,10.155299134552479,0.028417857363820076,0.08008126448839903,10.183716991916299,0.0012711873278021812
e1-v2,N12_i01_Aheur_s43,12,2,1,3798cace2ea7,Aheur,12.999999999973573,0.19749556519681472,65.82426287404677,0.39399708493223695,12.999999999973573,43,lightning_gpu,single,2,50,adam_0.1,0.1,0.09217873609211846,0.87035666778487,66,2020-08-05,2023-08-05,ok,,1000,11,841,136,2,True,-51.83821737627291,0.1617826236213875,-51.838217376272894,True,0.011,136,0.1617826236213875,0.0799716829956812,0.001340913292729687,5,1,False,False,False,1.6098281186715862,0.4313414951133403,0.26732139296240753,0,0,1.5040082686149032,59.63971229853606,51.90782126380218,1.0000007811831892,0.009940286123310216,0.00014950153126847,0.00014950153126847,0.0005984551680739969,4.1358191634469375,15.562383604235947,0.0014940099317023448,0.0014940099317023448,0.014840055484625192,0.014840055484625192,0.1388725050309928,0.1388725050309928,0.7757798903803251,0.7757798903803251,1.0000000510822247,0.22307666158303618,0.003383749397471547,0.003383749397471547,0.013529985910281539,4.704603785379953,21.82860700470519,0.03332687653071109,0.03332687653071109,0.28748101563394135,0.28748101563394135,0.9662740336911066,0.9662740336911066,0.9999999999999981,0.9999999999999981,52.89683061126275,-0.8560882806777954,-0.8560165166854858,-0.8579030632972717,44,-0.8579030632972717,-0.8579030632972717,50,50,2.0492585716432195 0.13752423515278736 0.062924802978478217 2.6364640840167701,1.8319534693550179 0.00060277326631909831 -0.045136793886437175 2.9832595118646763,10.258429606445134,0.02885371446609497,0.07504481356590986,10.287283320911229,0.001345270313322544
