n_assets,treatment,control,pairs,skipped_zero_gap,skipped_no_feasible_shot,g_off_ratio_median,g_off_ratio_geomean,solution_part_geomean,denominator_part_geomean,solution_part_median,solution_part_p25,solution_part_p75,denominator_part_median,solution_part_below_1_rate
12,Amargin,Aheur,16,134,0,29.408997692682576,34.694371778265285,0.7061756541321793,49.12994603432098,0.536583942038511,0.4185362136162074,0.9116181488567081,46.81060056905278,0.75
12,5xAcrit,Aheur,15,90,0,15.325688593830932,10.146329145135084,0.371490848879639,27.31246052422261,0.47745399458705917,0.2668583497984369,0.7473385140585573,32.08716504941574,0.8
12,10xAcrit,Aheur,17,88,0,15.262544274436802,12.74215798010008,0.737074575820746,17.28747456240972,0.7123295884835699,0.5651280260284574,1.0,17.01558913826076,0.5882352941176471
12,1.1xAcrit,Aheur,4,101,0,289.70333313785966,184.23944733161963,2.293421197233263,80.33389050117893,4.231047384811989,0.8693634986467648,7.5378279485983315,70.003383535608,0.25
16,Amargin,Aheur,49,80,21,58.12965524933326,45.76427216069107,1.0045950654770839,45.5549442092447,1.0,0.4930183163049598,2.181134587163756,48.248275596211194,0.42857142857142855
16,5xAcrit,Aheur,41,85,24,43.934438883485726,46.36926235337225,1.5878880009615606,29.20184693460301,1.3996425395958332,0.7808255202318242,2.9847059774681255,27.828634495218022,0.3170731707317073
16,10xAcrit,Aheur,47,83,20,21.11622860929602,22.25520824007342,1.517432469854105,14.666358261210231,1.176603127567639,0.7853664125125813,2.487822418749828,13.23531553556862,0.2978723404255319
16,1.1xAcrit,Aheur,33,103,14,74.19717922932719,63.117182557046476,0.4978910603118437,126.76906172509756,0.5801392637427252,0.18540899429505392,1.0,116.33265568554602,0.6363636363636364
20,Amargin,Aheur,128,21,1,28.959862829293712,27.780701510994998,0.7593915854680032,36.582840846036135,0.8085750215065419,0.3927002838685838,1.3368131791651776,39.95154782470623,0.5859375
20,5xAcrit,Aheur,138,11,1,17.70044789175826,17.87910378749647,0.7455066454911919,23.98248747429537,0.7711850077627032,0.42215336762324784,1.2462091677672547,23.676578312292555,0.644927536231884
20,10xAcrit,Aheur,129,20,1,9.731195010754856,10.98122857555913,0.9222025452263547,11.907610353497544,0.9331371182315642,0.5659545213629497,1.3648907667223722,11.827095792064641,0.5271317829457365
20,1.1xAcrit,Aheur,121,28,1,44.121802811555014,44.74655795895561,0.4137889093943338,108.138611120466,0.4161666010476651,0.202119428614173,0.7096618642218592,108.34792876317805,0.8264462809917356
