n_assets,penalty_label,field,runs,runs_undefined,instances,initial_median,final_median,paired_diff_median,paired_diff_ci95_low,paired_diff_ci95_high,paired_diff_p25,paired_diff_p75,instances_increased,instances_decreased
12,A0,P_F,45,0,9,0.08363993398120328,0.18777115972534375,0.13820599121390842,0.07540617537779326,0.24658945398641663,0.08659583387634484,0.21668629824125674,9,0
12,A0,P_tau_main,45,0,9,0.001018575974740088,0.015998613089323044,0.015814157377462834,0.003898410592228174,0.024245281354524195,0.004201402218313888,0.01954149955417961,9,0
12,A0,Q_tau_main_1000,45,0,9,0.6390786010418602,0.9999999009828202,0.29035809600474294,0.04889263792922871,0.74862627692049,0.07273454278681557,0.4617255496725414,9,0
12,A0,expected_violation,45,0,9,15.859990462470542,2.080098342573756,-14.08414507341582,-17.49215086928487,-12.499044159123443,-15.410714297872266,-13.059991872245458,0,9
12,A0,R_tau,45,0,9,1.594032143974363,3.921633952003377,2.2796639416277555,1.4047061252406552,5.1917053051154465,2.1754051757799573,4.596177538730999,9,0
12,A0,D_cond,45,0,9,0.4502749031533904,0.5538019094072719,0.06416136342390832,-0.08578518032004062,0.1581443514079916,0.022747632290194497,0.1293712540325586,7,2
12,1.1xAcrit,P_F,105,0,21,0.12177654076367617,0.257418918190524,0.14067012154555414,0.12711032456718385,0.19045179484282926,0.12485967882093973,0.19161147408158286,21,0
12,1.1xAcrit,P_tau_main,105,0,21,0.001837114687077701,0.006809388753026724,0.006028994219377637,0.004528177036263514,0.007461226137820631,0.0032494913320988417,0.007618967545568012,20,1
12,1.1xAcrit,Q_tau_main_1000,105,0,21,0.8409925546669843,0.998922033007818,0.13888161304437396,0.07779232612066045,0.20089711460000603,0.023474333014873894,0.20258220047097164,20,1
12,1.1xAcrit,expected_violation,105,0,21,15.765359528955194,1.648210332395763,-12.96154725501951,-13.332468715899203,-12.157071913064001,-13.45111410558558,-11.93768674740582,0,21
12,1.1xAcrit,R_tau,105,0,21,1.2472040042777957,1.7389567032971516,0.6549892098786363,0.4145057657252853,1.342237702077605,0.4075188928382567,1.342237702077605,18,3
12,1.1xAcrit,D_cond,105,0,21,0.2800560988756346,0.31398651684489515,0.05201328028920993,0.03585320476905918,0.06737014704122407,-0.0008765491172531004,0.0731578010559113,15,6
12,2xAcrit,P_F,105,0,21,0.12777760907192715,0.2779290673752257,0.1601142512226943,0.11930265162072828,0.17271612114063828,0.09621503140897403,0.21159715147587121,19,2
12,2xAcrit,P_tau_main,105,0,21,0.002279263688251376,0.006502453703433275,0.006195064879648271,0.002546869684010744,0.006755517330020666,0.0013772452948614955,0.007367454469203949,20,1
12,2xAcrit,Q_tau_main_1000,105,0,21,0.8979063922438466,0.9985317539446048,0.06918375737202298,0.028287736159548826,0.10615465563338367,0.02516162923969778,0.126867167055579,20,1
12,2xAcrit,expected_violation,105,0,21,16.249957269370945,1.5432023722673538,-11.973040574489183,-13.26145431561414,-11.332255033001166,-13.626084154752254,-11.318003224632367,0,21
12,2xAcrit,R_tau,105,0,21,1.3555260718185074,1.399904101698819,0.4753300686878772,0.05954465581272482,0.8957174167116044,0.030002753420093856,0.9679856134983931,16,5
12,2xAcrit,D_cond,105,0,21,0.22678010825939185,0.2558253240316194,0.06330696619384868,0.03040463982254768,0.07838190769275687,0.030286164192619397,0.08038307209930999,18,3
12,5xAcrit,P_F,105,0,21,0.12249112338759005,0.23866237202418006,0.09185266086569754,0.07390743514406495,0.21747096001462296,0.06640361729665045,0.2190080646541901,19,2
12,5xAcrit,P_tau_main,105,0,21,0.0020254971459507942,0.0027518949937075377,0.00039317090704571456,6.200313873705454e-05,0.0037862099707126617,-2.0615800167433918e-05,0.0065139655489474535,15,6
12,5xAcrit,Q_tau_main_1000,105,0,21,0.8683424755175951,0.9364347548393055,0.044625032621596894,0.0007547483155900814,0.10906273276603962,-0.01905422824842473,0.11109669188729088,15,6
12,5xAcrit,expected_violation,105,0,21,17.522538793424246,10.714904312296644,-11.305034221749551,-11.55489086326904,-11.261050659384054,-11.713138121604414,-11.259965883890906,0,21
12,5xAcrit,R_tau,105,0,21,1.195586111170422,1.225657015125207,0.12681458653863698,0.05778961751438083,0.30437283427321327,0.016714049384051854,0.3118337450159867,17,4
12,5xAcrit,D_cond,105,0,21,0.18679318622579816,0.1886378536104107,0.03608081471924131,0.019529947063265954,0.04773229423258865,0.018490281269668896,0.05702955640929312,21,0
12,10xAcrit,P_F,105,0,21,0.11953140737023205,0.18279172832262702,0.06309614365454763,0.04949810425750911,0.07733509730314836,0.04640035249758512,0.07789555404451676,21,0
12,10xAcrit,P_tau_main,105,0,21,0.0019166566198691726,0.002542003057897091,0.0002742449287325144,-3.2697804272174835e-05,0.0012324807466939092,-3.2697804272174835e-05,0.0013802691828459501,15,6
12,10xAcrit,Q_tau_main_1000,105,0,21,0.8531723393551116,0.9215457348411482,0.0300271377387602,0.00016489971635447187,0.09690768941072658,-0.004832981247085977,0.12961882195789454,15,6
12,10xAcrit,expected_violation,105,0,21,19.139865645361795,12.018814665211146,-11.306990325316981,-11.41667999391981,-11.279186852853123,-11.418671388700698,-11.26949298896131,0,21
12,10xAcrit,R_tau,105,0,21,1.082915937786106,1.1441047733696825,0.0669396119895187,-8.426388403637297e-05,0.15318992708958534,-0.02955298271690454,0.17793070356748975,14,7
12,10xAcrit,D_cond,105,0,21,0.11950089971279591,0.12539619069352684,0.01031991258669528,0.00659745877126125,0.01651944389160373,0.006554092504246517,0.019800564016008854,21,0
12,Amargin,P_F,150,0,30,0.13377165514975786,0.3572504661278799,0.17662846100211027,0.088825253134587,0.2063822857926425,0.008999442572019234,0.22601081798347877,23,7
12,Amargin,P_tau_main,150,0,30,0.0025347672635689378,0.007903417106717825,0.006737706949934363,0.0030967098573455587,0.007659563998458907,0.0002977789890792337,0.008050030926824547,25,5
12,Amargin,Q_tau_main_1000,150,0,30,0.9209709391713332,0.9996413150718809,0.05466241876824951,0.010307297046302288,0.07771306229287989,0.004842406762907064,0.08267811701980768,25,5
12,Amargin,expected_violation,150,0,30,16.706823311441752,1.452152531111445,-11.486924922791328,-11.68021243476049,-11.30055745670888,-11.815331070542404,-11.271052804330958,0,30
12,Amargin,R_tau,150,0,30,1.384383932373978,1.4324197098680371,0.44637600069965766,0.20061530423658192,0.542662805106186,0.12141137612525121,0.5860167149729043,26,4
12,Amargin,D_cond,150,0,30,0.22263626934516517,0.17532805227386233,0.0425004413159268,0.027743377108382858,0.05570120992997438,0.02312769683856933,0.062263315878409616,28,2
12,Aheur,P_F,150,0,30,0.11360042518936098,0.17886329733300954,0.06991869810735807,0.06904031953308731,0.07030238170409575,0.06812885613180697,0.07083015076932497,30,0
12,Aheur,P_tau_main,150,0,30,0.0016923266230151057,0.0026107728481292725,0.001262047269847244,0.0012090062955394387,0.0013211833429522812,0.0011818143539130688,0.0013333176611922681,30,0
12,Aheur,Q_tau_main_1000,150,0,30,0.8161729970648637,0.92677255495655,0.16283302536889244,0.1617912211423806,0.16348036866005872,0.16101602910923582,0.1637107981451774,30,0
12,Aheur,expected_violation,150,0,30,21.863838895892513,10.586180192453867,-11.142350935586663,-11.147426419274709,-11.138649446983255,-11.151870106869927,-11.13685180270019,0,30
12,Aheur,R_tau,150,0,30,1.0007414984597336,0.9968871355150988,0.004037235852551113,0.0015225701638420964,0.00492619235372016,5.072287223573113e-05,0.005230306742195878,22,8
12,Aheur,D_cond,150,0,30,0.0023627340257098076,0.0020295558979765427,0.0012352864224097933,0.000988033708328105,0.0013482717082819976,0.0008636999770133952,0.0014728349559700483,28,2
16,1.1xAcrit,P_F,150,0,30,0.1066736427612085,0.25433218663226853,0.1419540883581656,0.13037939627189132,0.1584970498605287,0.12914342191155193,0.16322418560395136,30,0
16,1.1xAcrit,P_tau_main,150,0,30,0.0004380153986858204,0.0011429238657001406,0.0009732934777275659,0.0006739867239957675,0.0010879633746299078,0.0005571091933234129,0.0012851631322519097,29,1
16,1.1xAcrit,Q_tau_main_1000,150,0,30,0.3547360953501934,0.6813050500862996,0.38958606594321926,0.3556277069016053,0.44741465025660454,0.31997912678609974,0.46027894275283227,29,1
16,1.1xAcrit,expected_violation,150,0,30,23.66069171216803,2.2071991829498248,-19.028067627234325,-19.941597398499724,-18.544882612894774,-20.417793287309447,-18.431586210653897,0,30
16,1.1xAcrit,R_tau,150,0,30,2.3395815887527243,2.3100095624181507,0.861302069791352,0.6575159573702527,1.3468689817962476,0.5624123576643074,1.5698072469723119,28,2
16,1.1xAcrit,D_cond,150,0,30,0.34915431475577224,0.33848590874269757,0.096716609662163,0.07636454456094004,0.16256508338387582,0.045943555580851544,0.1730675515617599,24,6
16,2xAcrit,P_F,150,0,30,0.10235548504624603,0.27942286583391507,0.17079732447450624,0.15293664633855042,0.1818601740140089,0.14471387205458086,0.18570278069637425,30,0
16,2xAcrit,P_tau_main,150,0,30,0.0004239755362505093,0.0007599106756970286,0.0005054434877820313,0.0004043944354634732,0.0005434297054307535,0.00038059161306591704,0.0006906050448378664,30,0
16,2xAcrit,Q_tau_main_1000,150,0,30,0.3455153747891275,0.5324257645846091,0.3041909187192573,0.2548583921172814,0.34910059338394184,0.23716539022261215,0.36527767547419393,30,0
16,2xAcrit,expected_violation,150,0,30,24.691300699670276,2.0087707088612206,-19.398185257824963,-19.862892435557534,-18.96286934641467,-20.186820628869373,-18.79863278807909,0,30
16,2xAcrit,R_tau,150,0,30,2.007124277402734,1.7086981335946256,0.3120778693080111,0.19061759276645496,0.4847171697475182,0.0708526154869954,0.6439449300148201,25,5
16,2xAcrit,D_cond,150,0,30,0.36681771279505626,0.15544911277641021,-0.021607047087789544,-0.08820421756334224,-0.0028519936994447215,-0.09439854084240691,0.028487099755322168,10,20
16,5xAcrit,P_F,150,0,30,0.06173682943516212,0.3611561429715948,0.32023109649162507,0.2855094636217612,0.3436581687396938,0.22865535419522143,0.3451781097322595,30,0
16,5xAcrit,P_tau_main,150,0,30,0.000291092466795817,0.0008466338040307164,0.0006126994558144361,0.0005262141576167778,0.0007360617455560714,0.00044594369319383986,0.0007576920179417357,29,1
16,5xAcrit,Q_tau_main_1000,150,0,30,0.25254942855683543,0.5712953426648961,0.3519176039871357,0.3148281397508223,0.43112970737299017,0.21647150988956043,0.4345624962700201,29,1
16,5xAcrit,expected_violation,150,0,30,27.390028346155418,1.498868069449568,-24.82087848553011,-25.298913914649575,-22.22334113951696,-25.43929405674175,-21.531036045997947,0,30
16,5xAcrit,R_tau,150,0,30,1.4280503000651277,1.2613025156356263,0.0373922554595979,-0.21088941121450527,0.08688145712383566,-0.36033044280102555,0.14511816416460194,17,13
16,5xAcrit,D_cond,150,0,30,0.3417169501940194,0.09248139199649055,-0.20188742317953484,-0.23419856901751943,-0.17088310423422992,-0.24263078441622735,-0.15416789021033442,2,28
16,10xAcrit,P_F,150,0,30,0.032785566674078837,0.3146911932126386,0.28240221363876117,0.27581548907880915,0.2952074589647964,0.2520979115832471,0.3005347197404262,30,0
16,10xAcrit,P_tau_main,150,0,30,0.00019675456132972613,0.0007300637371372432,0.0006110890826676041,0.0005263435400593153,0.0006890118675073609,0.0004966096753378224,0.0007347959244725644,30,0
16,10xAcrit,Q_tau_main_1000,150,0,30,0.17862331924421476,0.5182223106114165,0.38923918234495797,0.3654267011464541,0.41990351841621437,0.33841520399334,0.4314864003538637,30,0
16,10xAcrit,expected_violation,150,0,30,30.406515367168822,3.5568087483613056,-24.061610424023648,-24.290281864057597,-23.86407964295131,-24.38193580924336,-23.71096834926985,0,30
16,10xAcrit,R_tau,150,0,30,1.1314924099246713,1.095915157266715,0.012441964820576024,-0.0040788535885676325,0.03146847605442793,-0.011285303207406117,0.0420178616303003,18,12
16,10xAcrit,D_cond,150,0,30,0.12069062286775319,0.06414451790827791,-0.030011699899500678,-0.044346006694218336,-0.023398555839021784,-0.04913095293671395,-0.02123725974622084,1,29
16,Amargin,P_F,150,0,30,0.09276230082332404,0.31283903057919815,0.2211076174439306,0.1992053157390501,0.2787309647675329,0.18540612010701807,0.306544430279061,30,0
16,Amargin,P_tau_main,150,0,30,0.0003918176007573493,0.0007634474604856223,0.00044947506103198975,0.00038478701026178896,0.0005753200530307367,0.00033831122709671035,0.0005826327433169354,28,2
