n_assets,penalty_label,runs,runs_with_feasible_shot,optimum_hits,share_of_runs_with_feasible_shot,share_of_runs
12,A0,45,45,41,0.9111111111111111,0.9111111111111111
12,1.1xAcrit,105,105,99,0.9428571428571428,0.9428571428571428
12,2xAcrit,105,105,89,0.8476190476190476,0.8476190476190476
12,5xAcrit,105,105,76,0.7238095238095238,0.7238095238095238
12,10xAcrit,105,105,73,0.6952380952380952,0.6952380952380952
12,Amargin,150,150,118,0.7866666666666666,0.7866666666666666
12,Aheur,150,150,115,0.7666666666666667,0.7666666666666667
16,1.1xAcrit,150,150,89,0.5933333333333334,0.5933333333333334
16,2xAcrit,150,150,72,0.48,0.48
16,5xAcrit,150,134,59,0.44029850746268656,0.3933333333333333
16,10xAcrit,150,135,54,0.4,0.36
16,Amargin,150,139,56,0.4028776978417266,0.37333333333333335
16,Aheur,150,136,51,0.375,0.34
20,1.1xAcrit,150,150,25,0.16666666666666666,0.16666666666666666
20,2xAcrit,150,150,23,0.15333333333333332,0.15333333333333332
20,5xAcrit,150,150,8,0.05333333333333334,0.05333333333333334
20,10xAcrit,150,150,17,0.11333333333333333,0.11333333333333333
20,Amargin,150,150,18,0.12,0.12
20,Aheur,150,149,4,0.026845637583892617,0.02666666666666667
