subset,n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
all,12,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.011405863566494034,0.005225945484859051,0.03408274816478701,27,0,better
all,12,Amargin,Aheur,g_F,150,0,30,0.0,0.0,0.0,1,28,equal
all,12,Amargin,Aheur,g_off,150,0,30,0.0,0.0,0.0,0,29,equal
all,16,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.039688058641371315,0.030867578972930076,0.06124463030307081,30,0,better
all,16,Amargin,Aheur,g_F,129,21,30,0.0,-0.004283951170309428,0.0,13,8,equal
all,16,Amargin,Aheur,g_off,129,21,30,0.004417460669782417,0.001794042667449721,0.007483208563073946,4,3,worse
all,20,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.08568693118958387,0.0710255704054839,0.1163231000794459,30,0,better
all,20,Amargin,Aheur,g_F,149,1,30,-0.016114138674683885,-0.031118450065029345,-0.006741711746584073,24,1,better
all,20,Amargin,Aheur,g_off,149,1,30,0.008082578202029005,0.006430698388199989,0.01105896427592891,1,0,worse
without instance 0,12,Amargin,Aheur,final_Q_tau_main_1000,145,0,29,0.011078125562434704,0.006873447668433563,0.02577072323245333,26,0,better
without instance 0,12,Amargin,Aheur,g_F,145,0,29,0.0,0.0,0.0,1,27,equal
without instance 0,12,Amargin,Aheur,g_off,145,0,29,0.0,0.0,0.0,0,28,equal
without instance 0,16,Amargin,Aheur,final_Q_tau_main_1000,145,0,29,0.03895316944156124,0.029343058009363765,0.06148996498911774,29,0,better
without instance 0,16,Amargin,Aheur,g_F,125,20,29,0.0,-0.005049459302299261,0.0,12,8,equal
without instance 0,16,Amargin,Aheur,g_off,125,20,29,0.004669854657922388,0.0019232256119297894,0.008581525848875568,3,3,worse
without instance 0,20,Amargin,Aheur,final_Q_tau_main_1000,145,0,29,0.08348205291419497,0.06666143132473534,0.11145993733568893,29,0,better
without instance 0,20,Amargin,Aheur,g_F,144,1,29,-0.016161466861612194,-0.036812740171616745,-0.006163593649991753,23,1,better
without instance 0,20,Amargin,Aheur,g_off,144,1,29,0.008379361915520989,0.006365033523875541,0.011147599161195383,1,0,worse
instance 0 only,12,Amargin,Aheur,final_Q_tau_main_1000,5,0,1,0.07413432033616174,nan,nan,1,0,better
instance 0 only,12,Amargin,Aheur,g_F,5,0,1,0.0,nan,nan,0,1,equal
instance 0 only,12,Amargin,Aheur,g_off,5,0,1,0.0,nan,nan,0,1,equal
instance 0 only,16,Amargin,Aheur,final_Q_tau_main_1000,5,0,1,0.04274958660491934,nan,nan,1,0,better
instance 0 only,16,Amargin,Aheur,g_F,4,1,1,-0.002464256928998336,nan,nan,1,0,better
instance 0 only,16,Amargin,Aheur,g_off,4,1,1,-2.0427504702306744e-05,nan,nan,1,0,better
instance 0 only,20,Amargin,Aheur,final_Q_tau_main_1000,5,0,1,0.2305520462680245,nan,nan,1,0,better
instance 0 only,20,Amargin,Aheur,g_F,5,0,1,-0.007319829843176393,nan,nan,1,0,better
instance 0 only,20,Amargin,Aheur,g_off,5,0,1,0.007278844164162346,nan,nan,0,0,worse
A_crit > 0 instances,12,Amargin,Aheur,final_Q_tau_main_1000,105,0,21,0.011078125562434704,0.00035189226523757444,0.02577072323245333,18,0,better
A_crit > 0 instances,12,Amargin,Aheur,g_F,105,0,21,0.0,0.0,0.0,1,19,equal
A_crit > 0 instances,12,Amargin,Aheur,g_off,105,0,21,0.0,0.0,0.0,0,20,equal
A_crit > 0 instances,16,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.039688058641371315,0.02959609706019693,0.06103064927514085,30,0,better
A_crit > 0 instances,16,Amargin,Aheur,g_F,129,21,30,0.0,-0.004277258514835824,0.0,13,8,equal
A_crit > 0 instances,16,Amargin,Aheur,g_off,129,21,30,0.004417460669782417,0.0018570193528837542,0.007483208563073946,4,3,worse
A_crit > 0 instances,20,Amargin,Aheur,final_Q_tau_main_1000,150,0,30,0.08568693118958387,0.07177556678382513,0.1163231000794459,30,0,better
A_crit > 0 instances,20,Amargin,Aheur,g_F,149,1,30,-0.016114138674683885,-0.029633034898655992,-0.006741711746584073,24,1,better
A_crit > 0 instances,20,Amargin,Aheur,g_off,149,1,30,0.008082578202029005,0.006513816245065368,0.011058364367012095,1,0,worse
A_crit = 0 instances,12,Amargin,Aheur,final_Q_tau_main_1000,45,0,9,0.013325439258151883,0.0007093211602469118,0.06304456731686969,9,0,better
A_crit = 0 instances,12,Amargin,Aheur,g_F,45,0,9,0.0,0.0,0.0,0,9,equal
A_crit = 0 instances,12,Amargin,Aheur,g_off,45,0,9,0.0,0.0,0.0,0,9,equal
seed 42 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.067217662167331,-0.052891257748738485,0.07277439513433204,20,0,better
seed 42 only,12,Amargin,Aheur,g_F,30,0,30,0.0,0.0,0.0,3,20,equal
seed 42 only,12,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.0,3,20,equal
seed 42 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.036874975057813175,0.025184755890218548,0.04274958660491934,26,0,better
seed 42 only,16,Amargin,Aheur,g_F,30,0,30,0.0,-0.01418097199406092,0.0,12,11,equal
seed 42 only,16,Amargin,Aheur,g_off,30,0,30,0.0,0.0,0.004167296507764476,6,11,equal
seed 42 only,20,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.08829724341420608,0.08008746812179668,0.1533867437091455,30,0,better
seed 42 only,20,Amargin,Aheur,g_F,30,0,30,-0.04611418598615081,-0.0721846535765483,-0.020846048847662633,25,1,better
seed 42 only,20,Amargin,Aheur,g_off,30,0,30,0.006997388038192244,0.004635880372778503,0.009387006330660322,3,0,worse
seed 43 only,12,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.09525663183985095,0.07353026918875116,0.1725983692670715,30,0,better
seed 43 only,12,Amargin,Aheur,g_F,30,0,30,-0.19832212678426697,-0.281135793737814,-0.10329223753619524,24,0,better
seed 43 only,12,Amargin,Aheur,g_off,30,0,30,0.03879850225840565,-0.002551794982717875,0.07479666166659768,12,0,worse
seed 43 only,16,Amargin,Aheur,final_Q_tau_main_1000,30,0,30,0.0029730600800262352,0.00191339974276028,0.004084347663773469,30,0,better
seed 43 only,16,Amargin,Aheur,g_F,9,21,9,-0.08463884187292214,-0.43659757629521107,0.3448957946317585,5,0,better
seed 43 only,16,Amargin,Aheur,g_off,9,21,9,0.11561933839036738,0.012240459290467144,0.1606448028410549,0,0,worse
