subset,n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
all,12,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.010493059930050286,0.0002976109387203829,0.06074679370687475,9,0,better
all,12,Amargin,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,10,equal
all,12,Amargin,Aheur,g_off,50,0,10,0.0,0.0,0.0,0,10,equal
all,16,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.05691417572749402,0.029258424928456872,0.07419524273938344,10,0,better
all,16,Amargin,Aheur,g_F,42,8,10,-0.002180460154314698,-0.02054857942420057,0.0013163269846922726,5,3,better
all,16,Amargin,Aheur,g_off,42,8,10,0.001932000494209083,-0.00011972315848874382,0.007560799411679964,4,0,worse
all,20,Amargin,Aheur,final_Q_tau_main_1000,50,0,10,0.12199177307861747,0.0618759151218603,0.2194532292167024,10,0,better
all,20,Amargin,Aheur,g_F,50,0,10,-0.01931302074824285,-0.037961332223302516,0.0,7,2,better
all,20,Amargin,Aheur,g_off,50,0,10,0.005217792877469064,0.0019925749766510257,0.008987455261443723,0,0,worse
without instance 0,12,Amargin,Aheur,final_Q_tau_main_1000,45,0,9,0.010179070705119808,1.912481154553447e-07,0.024241416398378686,8,0,better
without instance 0,12,Amargin,Aheur,g_F,45,0,9,0.0,0.0,0.0,0,9,equal
without instance 0,12,Amargin,Aheur,g_off,45,0,9,0.0,0.0,0.0,0,9,equal
without instance 0,16,Amargin,Aheur,final_Q_tau_main_1000,45,0,9,0.06193588757863,0.029258424928456872,0.07157195732436783,9,0,better
without instance 0,16,Amargin,Aheur,g_F,37,8,9,-0.004360920308629396,-0.03369900109040953,0.0026326539693845453,5,2,better
without instance 0,16,Amargin,Aheur,g_off,37,8,9,0.0023027417184384247,-0.0001969141510539237,0.009512865971530202,4,0,worse
without instance 0,20,Amargin,Aheur,final_Q_tau_main_1000,45,0,9,0.09759671821522886,0.031869973454082934,0.2244832782046461,9,0,better
without instance 0,20,Amargin,Aheur,g_F,45,0,9,-0.025289586394557848,-0.037961332223302516,0.0,6,2,better
