n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
12,A0,10,45,0.15437891368185552,0.11454955972876257,0.012904822938958227,0.0122886566888607,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.4444444444444444,21,16
12,A0,100,45,0.8130359790933173,0.7037607618127038,0.12180633577496613,0.11630903593492048,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.4444444444444444,21,16
12,A0,1000,45,0.9999999478108293,0.9999947949390177,0.7271631697335652,0.7095949644877306,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.4,21,16
12,A0,10000,45,1.0,1.0,0.9999977142435502,0.9999957337978923,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,21,16
12,1.1xAcrit,10,105,0.0707875574545016,0.06846209796946245,0.018696942654268356,0.018696942654268356,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.11428571428571428,14,12
12,1.1xAcrit,100,105,0.5201006457710777,0.5079544597282593,0.17199774541305368,0.17199774541305368,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.11428571428571428,14,12
12,1.1xAcrit,1000,105,0.9993521094353298,0.9991681347192709,0.8485339871304571,0.8485339871304571,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.11428571428571428,14,12
12,1.1xAcrit,10000,105,1.0,1.0,0.9999999936444677,0.9999999936444677,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,14,12
12,2xAcrit,10,105,0.06756692165385447,0.06756692165385447,0.021791683252357807,0.021653248907644085,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.09523809523809523,12,11
12,2xAcrit,100,105,0.5032055693541686,0.5032055693541686,0.19774301173451603,0.19660694826224223,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.09523809523809523,12,11
12,2xAcrit,1000,105,0.9990842705423353,0.9990842705423353,0.8895577900795126,0.887983831517727,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.09523809523809523,12,11
12,2xAcrit,10000,105,1.0,1.0,0.999999999730008,0.9999999996889665,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,12,11
12,5xAcrit,10,105,0.04676389715306539,0.040202464512395064,0.021069201352406086,0.020580518289835648,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.05714285714285714,6,5
12,5xAcrit,100,105,0.38055204366341744,0.3365681696342887,0.1917979962226467,0.18775436984386162,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.05714285714285714,6,5
12,5xAcrit,1000,105,0.9916814382513269,0.9834817876774342,0.8810952433145409,0.8750104123214918,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.05714285714285714,6,5
12,5xAcrit,10000,105,1.0,1.0,0.999999999435073,0.9999999990694529,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,6,5
12,10xAcrit,10,105,0.026088293742434487,0.025471353773728,0.01908800140142397,0.018692493797677456,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.02857142857142857,3,3
12,10xAcrit,100,105,0.2322923643669792,0.22741531101799128,0.17529150338673216,0.1719602061593799,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.02857142857142857,3,3
