n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
12,Amargin,10,50,0.04824472942260788,0.04333422219736538,0.023148385150753625,0.021258544331684226,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Amargin,100,50,0.3900983375997701,0.35695337456429443,0.20867998707176716,0.19335955727204224,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Amargin,1000,50,0.9928667256125578,0.9861037571583606,0.9022544487443191,0.8833686098701456,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Amargin,10000,50,1.0,1.0,0.9999999997828526,0.9999999995325826,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
12,Aheur,10,50,0.026788606577223928,0.02632840429626082,0.016797200935880607,0.01678098644797643,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Aheur,100,50,0.23779473853415578,0.23417929715740632,0.15582776542856608,0.15568853766419177,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Aheur,1000,50,0.9338196485748899,0.9305806636707771,0.8162147084414213,0.8159113527480935,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Aheur,10000,50,0.9999999999983846,0.9999999999972751,0.9999999560338053,0.9999999553022743,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
16,Amargin,10,50,0.004579838402124337,0.004505529354447646,0.00417682273065767,0.003268584680865605,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.0,0,1
16,Amargin,100,50,0.04486594767490837,0.04415247341886941,0.040991824113956854,0.0322058865930091,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.0,0,1
16,Amargin,1000,50,0.36810734175091997,0.36335674663211937,0.34200282253942044,0.278924662184646,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.0,0,1
16,Amargin,10000,50,0.9898507187919743,0.9890363813495213,0.9847828379943467,0.960673492606748,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.0,0,1
16,Aheur,10,50,0.0046142095204916855,0.004600042999793386,0.0006378654552431362,0.0006293615486767656,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,Aheur,100,50,0.04519569760587444,0.045059799003117296,0.006360376293139514,0.0062758210003521775,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,Aheur,1000,50,0.3702855300207914,0.3693886529068014,0.06181384042389221,0.061015176640768165,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.0,0,0
16,Aheur,10000,50,0.990195245378364,0.990054667676912,0.4716877127633033,0.4671733397407102,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.0,0,0
20,Amargin,10,50,0.0003359928276874813,0.0001395755616660499,0.0004342187688314292,0.00021261895847796142,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.0,0,0
20,Amargin,100,50,0.003354852188396429,0.0013948718204184751,0.004333712919474042,0.0021241562117294555,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.0,0,0
20,Amargin,1000,50,0.03304649812661242,0.013860751141126448,0.042501672688594894,0.02103964469162206,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.0,0,0
20,Amargin,10000,50,0.2854078613479833,0.1302090282959572,0.35229042022438195,0.19155216940721526,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.0,0,0
20,Aheur,10,50,0.0002528360187461498,9.346350236766332e-05,0.0002088934648897256,0.0001810378324698103,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.0,0,0
20,Aheur,100,50,0.002525465671357141,0.0009342420272679952,0.002086956393298145,0.0018089041750934953,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.0,0,0
20,Aheur,1000,50,0.024967638391020508,0.00930324157695972,0.020673116796700974,0.017942503736669724,0.001905532614865598,0.338259584560454,0.0009532201678953594,0.1865083786494737,0.0,0,0
20,Aheur,10000,50,0.22325864653293942,0.08923271855920728,0.18839424403465044,0.16560988430062212,0.01889275622277957,0.9838981195612596,0.009491417149575684,0.8730797723776871,0.0,0,0
