n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
12,1.1xAcrit,10,2,0.11143462968113138,0.11143462968113138,0.04110878649606842,0.04110878649606842,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.5,1,1
12,1.1xAcrit,100,2,0.6641604587376024,0.6641604587376024,0.31711596462785085,0.31711596462785085,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.5,1,1
12,1.1xAcrit,1000,2,0.9996799213583227,0.9996799213583227,0.8631881885733033,0.8631881885733033,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.5,1,1
12,1.1xAcrit,10000,2,1.0,1.0,0.9999988559634941,0.9999988559634941,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,1,1
12,2xAcrit,10,2,0.11017245381939222,0.11017245381939222,0.02790064639055334,0.02790064639055334,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.5,1,1
12,2xAcrit,100,2,0.6707111462168702,0.6707111462168702,0.2382280341755843,0.2382280341755843,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.5,1,1
12,2xAcrit,1000,2,0.9998560326104617,0.9998560326104617,0.8554693884212317,0.8554693884212317,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.5,1,1
12,2xAcrit,10000,2,1.0,1.0,0.9999986810945248,0.9999986810945248,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,1,1
12,5xAcrit,10,2,0.05525469503446495,0.05525469503446495,0.018379026938122378,0.018379026938122378,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,5xAcrit,100,2,0.35541001547683704,0.35541001547683704,0.16437186439871304,0.16437186439871304,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,5xAcrit,1000,2,0.6409596655461524,0.6409596655461524,0.7301400182541513,0.7301400182541513,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,5xAcrit,10000,2,0.9817765570085413,0.9817765570085413,0.9995972076222949,0.9995972076222949,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
12,10xAcrit,10,2,0.04321234220701753,0.04321234220701753,0.024528405299140965,0.024528405299140965,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,10xAcrit,100,2,0.31822065063953675,0.31822065063953675,0.21634258815827406,0.21634258815827406,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,10xAcrit,1000,2,0.7815930643902772,0.7815930643902772,0.8711371644405688,0.8711371644405688,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,10xAcrit,10000,2,0.9998743877434679,0.9998743877434679,0.9999998150718223,0.9999998150718223,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
12,Amargin,10,2,0.07735268507679693,0.07735268507679693,0.007308447896324011,0.007308447896324011,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Amargin,100,2,0.552642990493161,0.552642990493161,0.06952503332328863,0.06952503332328863,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Amargin,1000,2,0.9996568768030123,0.9996568768030123,0.44989700723370585,0.44989700723370585,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Amargin,10000,2,1.0,1.0,0.9315417692970418,0.9315417692970418,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
12,Aheur,10,2,0.024570790988831637,0.024570790988831637,0.016641836611333227,0.016641836611333227,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Aheur,100,2,0.220235885474369,0.220235885474369,0.1544918259676371,0.1544918259676371,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Aheur,1000,2,0.9167852506013734,0.9167852506013734,0.8132624277513335,0.8132624277513335,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Aheur,10000,2,0.9999999999819706,0.9999999999819706,0.9999999478023871,0.9999999478023871,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
16,1.1xAcrit,10,2,0.033928706932258135,0.017697246485436746,0.002413210291823953,0.0016115106253045686,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.5,1,0
16,1.1xAcrit,100,2,0.2726658766635501,0.16134444854495422,0.023626833948377113,0.01589150295778724,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.5,1,0
16,1.1xAcrit,1000,2,0.8197566534760992,0.782008633529223,0.19287131129989732,0.1387250337162661,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.5,1,0
16,1.1xAcrit,10000,2,0.9999827848058012,0.9999827848015587,0.5238793735400024,0.5070806765410225,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,1,0
16,2xAcrit,10,2,0.026989178213957743,0.013368718365348253,0.002396938021241135,0.002162014455153183,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.0,1,0
16,2xAcrit,100,2,0.22686801552179103,0.12493251811610079,0.0236593867800573,0.021332576795918823,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.0,1,0
16,2xAcrit,1000,2,0.780485717514779,0.7065354731772999,0.20864674631347457,0.18750504532775858,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.0,1,0
16,2xAcrit,10000,2,0.9998929542497919,0.9998929496027398,0.8487729465624985,0.7670226108172082,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,1,0
16,5xAcrit,10,2,0.01963194191919171,0.009875370881447132,0.002184483722921682,0.001514615312590506,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,5xAcrit,100,2,0.17525788392794694,0.0944209113996507,0.021623824283770576,0.014991262887491752,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,5xAcrit,1000,2,0.7688032936570401,0.6267227009116588,0.19574751211252078,0.1356454914022336,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.0,0,0
16,5xAcrit,10000,2,0.999919456124576,0.9999120256241886,0.8780173533165057,0.638412062933037,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,0,0
16,10xAcrit,10,2,0.01689341348039436,0.00888459306435807,0.007132651140900614,0.0032880973873052333,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,10xAcrit,100,2,0.15436429515772931,0.08537079770374412,0.06734159056095551,0.03211344510794478,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,10xAcrit,1000,2,0.7610356080406302,0.5900512314573332,0.40747298361830897,0.257160922314023,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.0,0,0
16,10xAcrit,10000,2,0.9999543893083185,0.9998572788459479,0.7607998018785334,0.7593694619444261,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,0,0
16,Amargin,10,2,0.015495961624371613,0.007897296429184408,0.005612529255153487,0.003549363038140352,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,Amargin,100,2,0.14194267298461638,0.07621137385153698,0.05469932447266529,0.034865267462533434,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.0,0,0
