n_assets,penalty_label,g_off_threshold,tau_name,tau,runs,passes_gap_rule,passes_quality_rule,gap_passes_quality_fails,quality_passes_gap_fails,disagreement_rate
12,A0,0.0001,tau_main,0.01,45,41,44,0,3,0.06666666666666667
12,A0,0.0001,tau_alt,0.05,45,41,44,0,3,0.06666666666666667
12,A0,0.0001,optimum,0.0,45,41,41,0,0,0.0
12,A0,0.0005,tau_main,0.01,45,41,44,0,3,0.06666666666666667
12,A0,0.0005,tau_alt,0.05,45,41,44,0,3,0.06666666666666667
12,A0,0.0005,optimum,0.0,45,41,41,0,0,0.0
12,A0,0.001,tau_main,0.01,45,41,44,0,3,0.06666666666666667
12,A0,0.001,tau_alt,0.05,45,41,44,0,3,0.06666666666666667
12,A0,0.001,optimum,0.0,45,41,41,0,0,0.0
12,A0,0.002,tau_main,0.01,45,41,44,0,3,0.06666666666666667
12,A0,0.002,tau_alt,0.05,45,41,44,0,3,0.06666666666666667
12,A0,0.002,optimum,0.0,45,41,41,0,0,0.0
12,1.1xAcrit,0.0001,tau_main,0.01,105,99,99,0,0,0.0
12,1.1xAcrit,0.0001,tau_alt,0.05,105,99,102,0,3,0.02857142857142857
12,1.1xAcrit,0.0001,optimum,0.0,105,99,99,0,0,0.0
12,1.1xAcrit,0.0005,tau_main,0.01,105,99,99,0,0,0.0
12,1.1xAcrit,0.0005,tau_alt,0.05,105,99,102,0,3,0.02857142857142857
12,1.1xAcrit,0.0005,optimum,0.0,105,99,99,0,0,0.0
12,1.1xAcrit,0.001,tau_main,0.01,105,99,99,0,0,0.0
12,1.1xAcrit,0.001,tau_alt,0.05,105,99,102,0,3,0.02857142857142857
12,1.1xAcrit,0.001,optimum,0.0,105,99,99,0,0,0.0
12,1.1xAcrit,0.002,tau_main,0.01,105,99,99,0,0,0.0
12,1.1xAcrit,0.002,tau_alt,0.05,105,99,102,0,3,0.02857142857142857
12,1.1xAcrit,0.002,optimum,0.0,105,99,99,0,0,0.0
12,2xAcrit,0.0001,tau_main,0.01,105,89,90,0,1,0.009523809523809525
12,2xAcrit,0.0001,tau_alt,0.05,105,89,98,0,9,0.08571428571428572
12,2xAcrit,0.0001,optimum,0.0,105,89,89,0,0,0.0
12,2xAcrit,0.0005,tau_main,0.01,105,89,90,0,1,0.009523809523809525
12,2xAcrit,0.0005,tau_alt,0.05,105,89,98,0,9,0.08571428571428572
12,2xAcrit,0.0005,optimum,0.0,105,89,89,0,0,0.0
12,2xAcrit,0.001,tau_main,0.01,105,89,90,0,1,0.009523809523809525
12,2xAcrit,0.001,tau_alt,0.05,105,89,98,0,9,0.08571428571428572
12,2xAcrit,0.001,optimum,0.0,105,89,89,0,0,0.0
12,2xAcrit,0.002,tau_main,0.01,105,89,90,0,1,0.009523809523809525
12,2xAcrit,0.002,tau_alt,0.05,105,89,98,0,9,0.08571428571428572
12,2xAcrit,0.002,optimum,0.0,105,89,89,0,0,0.0
12,5xAcrit,0.0001,tau_main,0.01,105,76,77,0,1,0.009523809523809525
12,5xAcrit,0.0001,tau_alt,0.05,105,76,85,0,9,0.08571428571428572
12,5xAcrit,0.0001,optimum,0.0,105,76,76,0,0,0.0
12,5xAcrit,0.0005,tau_main,0.01,105,76,77,0,1,0.009523809523809525
12,5xAcrit,0.0005,tau_alt,0.05,105,76,85,0,9,0.08571428571428572
12,5xAcrit,0.0005,optimum,0.0,105,76,76,0,0,0.0
12,5xAcrit,0.001,tau_main,0.01,105,76,77,0,1,0.009523809523809525
12,5xAcrit,0.001,tau_alt,0.05,105,76,85,0,9,0.08571428571428572
12,5xAcrit,0.001,optimum,0.0,105,76,76,0,0,0.0
12,5xAcrit,0.002,tau_main,0.01,105,77,77,0,0,0.0
12,5xAcrit,0.002,tau_alt,0.05,105,77,85,0,8,0.0761904761904762
12,5xAcrit,0.002,optimum,0.0,105,77,76,1,0,0.009523809523809525
12,10xAcrit,0.0001,tau_main,0.01,105,73,73,0,0,0.0
12,10xAcrit,0.0001,tau_alt,0.05,105,73,78,0,5,0.047619047619047616
12,10xAcrit,0.0001,optimum,0.0,105,73,73,0,0,0.0
12,10xAcrit,0.0005,tau_main,0.01,105,73,73,0,0,0.0
12,10xAcrit,0.0005,tau_alt,0.05,105,73,78,0,5,0.047619047619047616
12,10xAcrit,0.0005,optimum,0.0,105,73,73,0,0,0.0
12,10xAcrit,0.001,tau_main,0.01,105,73,73,0,0,0.0
12,10xAcrit,0.001,tau_alt,0.05,105,73,78,0,5,0.047619047619047616
12,10xAcrit,0.001,optimum,0.0,105,73,73,0,0,0.0
12,10xAcrit,0.002,tau_main,0.01,105,73,73,0,0,0.0
12,10xAcrit,0.002,tau_alt,0.05,105,73,78,0,5,0.047619047619047616
12,10xAcrit,0.002,optimum,0.0,105,73,73,0,0,0.0
12,Amargin,0.0001,tau_main,0.01,150,118,120,0,2,0.013333333333333334
12,Amargin,0.0001,tau_alt,0.05,150,118,125,0,7,0.04666666666666667
12,Amargin,0.0001,optimum,0.0,150,118,118,0,0,0.0
12,Amargin,0.0005,tau_main,0.01,150,118,120,0,2,0.013333333333333334
12,Amargin,0.0005,tau_alt,0.05,150,118,125,0,7,0.04666666666666667
12,Amargin,0.0005,optimum,0.0,150,118,118,0,0,0.0
12,Amargin,0.001,tau_main,0.01,150,118,120,0,2,0.013333333333333334
12,Amargin,0.001,tau_alt,0.05,150,118,125,0,7,0.04666666666666667
12,Amargin,0.001,optimum,0.0,150,118,118,0,0,0.0
12,Amargin,0.002,tau_main,0.01,150,119,120,0,1,0.006666666666666667
12,Amargin,0.002,tau_alt,0.05,150,119,125,0,6,0.04
12,Amargin,0.002,optimum,0.0,150,119,118,1,0,0.006666666666666667
12,Aheur,0.0001,tau_main,0.01,150,116,117,0,1,0.006666666666666667
12,Aheur,0.0001,tau_alt,0.05,150,116,120,0,4,0.02666666666666667
12,Aheur,0.0001,optimum,0.0,150,116,115,1,0,0.006666666666666667
12,Aheur,0.0005,tau_main,0.01,150,119,117,2,0,0.013333333333333334
12,Aheur,0.0005,tau_alt,0.05,150,119,120,0,1,0.006666666666666667
12,Aheur,0.0005,optimum,0.0,150,119,115,4,0,0.02666666666666667
12,Aheur,0.001,tau_main,0.01,150,122,117,5,0,0.03333333333333333
12,Aheur,0.001,tau_alt,0.05,150,122,120,2,0,0.013333333333333334
12,Aheur,0.001,optimum,0.0,150,122,115,7,0,0.04666666666666667
12,Aheur,0.002,tau_main,0.01,150,126,117,9,0,0.06
12,Aheur,0.002,tau_alt,0.05,150,126,120,6,0,0.04
12,Aheur,0.002,optimum,0.0,150,126,115,11,0,0.07333333333333333
16,1.1xAcrit,0.0001,tau_main,0.01,150,89,95,0,6,0.04
16,1.1xAcrit,0.0001,tau_alt,0.05,150,89,129,0,40,0.26666666666666666
16,1.1xAcrit,0.0001,optimum,0.0,150,89,89,0,0,0.0
16,1.1xAcrit,0.0005,tau_main,0.01,150,90,95,0,5,0.03333333333333333
16,1.1xAcrit,0.0005,tau_alt,0.05,150,90,129,0,39,0.26
16,1.1xAcrit,0.0005,optimum,0.0,150,90,89,1,0,0.006666666666666667
16,1.1xAcrit,0.001,tau_main,0.01,150,90,95,0,5,0.03333333333333333
