n_assets,penalty_label,g_off_threshold,tau_name,tau,runs,passes_gap_rule,passes_quality_rule,gap_passes_quality_fails,quality_passes_gap_fails,disagreement_rate
12,Amargin,0.0001,tau_main,0.01,50,44,45,0,1,0.02
12,Amargin,0.0001,tau_alt,0.05,50,44,48,0,4,0.08
12,Amargin,0.0001,optimum,0.0,50,44,44,0,0,0.0
12,Amargin,0.0005,tau_main,0.01,50,44,45,0,1,0.02
12,Amargin,0.0005,tau_alt,0.05,50,44,48,0,4,0.08
12,Amargin,0.0005,optimum,0.0,50,44,44,0,0,0.0
12,Amargin,0.001,tau_main,0.01,50,44,45,0,1,0.02
12,Amargin,0.001,tau_alt,0.05,50,44,48,0,4,0.08
12,Amargin,0.001,optimum,0.0,50,44,44,0,0,0.0
12,Amargin,0.002,tau_main,0.01,50,45,45,0,0,0.0
12,Amargin,0.002,tau_alt,0.05,50,45,48,0,3,0.06
12,Amargin,0.002,optimum,0.0,50,45,44,1,0,0.02
12,Aheur,0.0001,tau_main,0.01,50,40,40,0,0,0.0
12,Aheur,0.0001,tau_alt,0.05,50,40,42,0,2,0.04
12,Aheur,0.0001,optimum,0.0,50,40,40,0,0,0.0
12,Aheur,0.0005,tau_main,0.01,50,41,40,1,0,0.02
12,Aheur,0.0005,tau_alt,0.05,50,41,42,0,1,0.02
12,Aheur,0.0005,optimum,0.0,50,41,40,1,0,0.02
12,Aheur,0.001,tau_main,0.01,50,42,40,2,0,0.04
12,Aheur,0.001,tau_alt,0.05,50,42,42,0,0,0.0
12,Aheur,0.001,optimum,0.0,50,42,40,2,0,0.04
12,Aheur,0.002,tau_main,0.01,50,45,40,5,0,0.1
12,Aheur,0.002,tau_alt,0.05,50,45,42,3,0,0.06
12,Aheur,0.002,optimum,0.0,50,45,40,5,0,0.1
16,Amargin,0.0001,tau_main,0.01,46,21,22,0,1,0.021739130434782608
16,Amargin,0.0001,tau_alt,0.05,46,21,31,0,10,0.21739130434782608
16,Amargin,0.0001,optimum,0.0,46,21,21,0,0,0.0
16,Amargin,0.0005,tau_main,0.01,46,21,22,0,1,0.021739130434782608
16,Amargin,0.0005,tau_alt,0.05,46,21,31,0,10,0.21739130434782608
16,Amargin,0.0005,optimum,0.0,46,21,21,0,0,0.0
16,Amargin,0.001,tau_main,0.01,46,21,22,0,1,0.021739130434782608
16,Amargin,0.001,tau_alt,0.05,46,21,31,0,10,0.21739130434782608
16,Amargin,0.001,optimum,0.0,46,21,21,0,0,0.0
16,Amargin,0.002,tau_main,0.01,46,22,22,0,0,0.0
16,Amargin,0.002,tau_alt,0.05,46,22,31,0,9,0.1956521739130435
16,Amargin,0.002,optimum,0.0,46,22,21,1,0,0.021739130434782608
16,Aheur,0.0001,tau_main,0.01,43,15,16,0,1,0.023255813953488372
16,Aheur,0.0001,tau_alt,0.05,43,15,29,0,14,0.32558139534883723
16,Aheur,0.0001,optimum,0.0,43,15,10,5,0,0.11627906976744186
16,Aheur,0.0005,tau_main,0.01,43,29,16,13,0,0.3023255813953488
16,Aheur,0.0005,tau_alt,0.05,43,29,29,0,0,0.0
16,Aheur,0.0005,optimum,0.0,43,29,10,19,0,0.4418604651162791
16,Aheur,0.001,tau_main,0.01,43,37,16,21,0,0.4883720930232558
16,Aheur,0.001,tau_alt,0.05,43,37,29,8,0,0.18604651162790697
16,Aheur,0.001,optimum,0.0,43,37,10,27,0,0.627906976744186
16,Aheur,0.002,tau_main,0.01,43,41,16,25,0,0.5813953488372093
16,Aheur,0.002,tau_alt,0.05,43,41,29,12,0,0.27906976744186046
16,Aheur,0.002,optimum,0.0,43,41,10,31,0,0.7209302325581395
20,Amargin,0.0001,tau_main,0.01,50,5,18,0,13,0.26
20,Amargin,0.0001,tau_alt,0.05,50,5,33,0,28,0.56
20,Amargin,0.0001,optimum,0.0,50,5,4,1,0,0.02
20,Amargin,0.0005,tau_main,0.01,50,9,18,0,9,0.18
20,Amargin,0.0005,tau_alt,0.05,50,9,33,0,24,0.48
20,Amargin,0.0005,optimum,0.0,50,9,4,5,0,0.1
20,Amargin,0.001,tau_main,0.01,50,12,18,0,6,0.12
20,Amargin,0.001,tau_alt,0.05,50,12,33,0,21,0.42
20,Amargin,0.001,optimum,0.0,50,12,4,8,0,0.16
20,Amargin,0.002,tau_main,0.01,50,17,18,0,1,0.02
20,Amargin,0.002,tau_alt,0.05,50,17,33,0,16,0.32
20,Amargin,0.002,optimum,0.0,50,17,4,13,0,0.26
20,Aheur,0.0001,tau_main,0.01,50,7,7,0,0,0.0
20,Aheur,0.0001,tau_alt,0.05,50,7,27,0,20,0.4
20,Aheur,0.0001,optimum,0.0,50,7,2,5,0,0.1
20,Aheur,0.0005,tau_main,0.01,50,28,7,21,0,0.42
20,Aheur,0.0005,tau_alt,0.05,50,28,27,1,0,0.02
20,Aheur,0.0005,optimum,0.0,50,28,2,26,0,0.52
20,Aheur,0.001,tau_main,0.01,50,40,7,33,0,0.66
20,Aheur,0.001,tau_alt,0.05,50,40,27,13,0,0.26
20,Aheur,0.001,optimum,0.0,50,40,2,38,0,0.76
20,Aheur,0.002,tau_main,0.01,50,49,7,42,0,0.84
20,Aheur,0.002,tau_alt,0.05,50,49,27,22,0,0.44
20,Aheur,0.002,optimum,0.0,50,49,2,47,0,0.94
