n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
12,adam_0.03,adam_0.1,Aheur,best_expectation,50,0,10,-0.0023677945137023926,-0.002481400966644287,-0.0022895984351634984,10,0,0,0.0023677945137023926,0.0001793503761291504,0.002679666876792907,0.0028415918350219727,better
12,adam_0.03,adam_0.1,Aheur,best_expectation_by_50,50,0,10,0.050769925117492676,0.04716319441795349,0.06619632244110107,0,10,0,0.050769925117492676,0.008149445056915283,0.07983820438385009,0.08248329162597656,worse
12,adam_0.03,adam_0.1,Aheur,expectation_at_final_angles,50,0,10,-0.0041426122188568115,-0.004188895225524902,-0.004102170467376709,10,0,0,0.0041426122188568115,7.586181163787842e-05,0.004203790426254272,0.004207491874694824,better
12,adam_0.03,adam_0.1,Aheur,final_P_F,50,0,10,-0.004909065166430082,-0.011236555874347687,0.0007037368559394963,5,5,0,0.005614461944787763,0.011812459866632707,0.011776734213344752,0.0117909861728549,worse
12,adam_0.03,adam_0.1,Aheur,final_P_tau_main,50,0,10,-2.4300898076035082e-06,-9.356869850307703e-05,1.0640324035193771e-05,5,5,0,1.3197415682952851e-05,5.63298563065473e-05,0.00026600752025842647,0.00034325011074543,worse
12,adam_0.03,adam_0.1,Aheur,final_Q_tau_main_1000,50,0,10,0.0009712683521400645,-7.499109260222792e-05,0.0035977087060338198,5,5,0,0.0012417433312031934,0.003470340903955621,0.004814257513014778,0.0056108097563722925,better
12,adam_0.03,adam_0.1,Aheur,final_P_opt,50,0,10,-2.4300898076035082e-06,-8.183496538549662e-05,1.064152165781706e-05,5,5,0,1.3197415682952851e-05,5.63298563065473e-05,0.00015809750184416768,0.00017159990966320038,worse
12,adam_0.03,adam_0.1,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,adam_0.03,adam_0.1,Aheur,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,adam_0.03,adam_0.1,Aheur,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
12,adam_0.03,adam_0.1,Aheur,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
12,adam_0.03,adam_0.1,Aheur,optimisation_seconds,50,0,10,9.795431021600962,9.731455435976386,11.178209437057376,0,10,0,9.795431021600962,1.099866112926975,11.437939193286,11.634607971645892,worse
12,adam_0.03,adam_0.1,Amargin,best_expectation,50,0,10,0.0013232231140136719,-0.0001418590545654297,0.09574508666992188,4,6,0,0.0020799636840820312,0.0726403295993805,0.14477390646934502,0.17485332489013672,worse
12,adam_0.03,adam_0.1,Amargin,best_expectation_by_50,50,0,10,0.45759153366088867,0.07542753219604492,0.6251983642578125,0,10,0,0.45759153366088867,0.5429021120071411,0.8220163404941556,0.9426549673080444,worse
12,adam_0.03,adam_0.1,Amargin,expectation_at_final_angles,50,0,10,-0.0010936856269836426,-0.0019170045852661133,0.10862623080610993,7,3,0,0.002147376537322998,0.08289694786071777,0.1576188892126083,0.16975784301757812,better
12,adam_0.03,adam_0.1,Amargin,final_P_F,50,0,10,0.015179932354385528,-0.002660498328623362,0.047715541346178725,6,4,0,0.019325473979733943,0.04416973791774126,0.048430317430756986,0.04875843436457217,better
12,adam_0.03,adam_0.1,Amargin,final_P_tau_main,50,0,10,-3.29299655277282e-06,-0.0002793136809486896,0.000257021703873761,4,6,0,0.00020456683705560863,0.0003350465412950143,0.0013116837624693278,0.0018108391668647528,worse
12,adam_0.03,adam_0.1,Amargin,final_Q_tau_main_1000,50,0,10,-3.825442879690222e-05,-0.0029907143464707464,0.0013738710119431878,4,6,0,0.0020640268803436834,0.0026091056248043476,0.028649610330166865,0.04725114219998605,worse
12,adam_0.03,adam_0.1,Amargin,final_P_opt,50,0,10,-3.29299655277282e-06,-0.0002793136809486896,0.0002547670592321083,4,6,0,0.00016823396435938776,0.00027941990992985666,0.0013116837624693278,0.0018108391668647528,worse
12,adam_0.03,adam_0.1,Amargin,g_F,50,0,10,0.0,0.0,0.0,0,1,9,0.0,0.0,0.007225499705230653,0.013137272191328486,equal
12,adam_0.03,adam_0.1,Amargin,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,1,9,0.0,0.0,0.5499999999999989,1.0,equal
12,adam_0.03,adam_0.1,Amargin,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
12,adam_0.03,adam_0.1,Amargin,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
12,adam_0.03,adam_0.1,Amargin,optimisation_seconds,50,0,10,9.776109974365681,9.731323066167533,9.818028721958399,0,10,0,9.776109974365681,0.06599567085504532,10.535317978123201,11.114388805814087,worse
12,lbfgs_100grad,adam_0.1,Aheur,best_expectation,50,0,10,-0.0029823780059814453,-0.0031189918518066406,-0.002438277006149292,10,0,0,0.0029823780059814453,0.000529944896697998,0.003155636787414551,0.0031614303588867188,better
12,lbfgs_100grad,adam_0.1,Aheur,best_expectation_by_50,50,0,10,-0.002981901168823242,-0.003101348876953125,-0.002438277006149292,10,0,0,0.002981901168823242,0.0005294680595397949,0.0031548500061035155,0.0031599998474121094,better
12,lbfgs_100grad,adam_0.1,Aheur,expectation_at_final_angles,50,0,10,-0.006878376007080078,-0.007297515869140625,-0.004271209239959717,10,0,0,0.006878376007080078,0.0029492825269699097,0.007442092895507812,0.007485866546630859,better
12,lbfgs_100grad,adam_0.1,Aheur,final_P_F,50,0,10,0.024227124638855457,0.012488720822148025,0.025305972900241613,10,0,0,0.024227124638855457,0.011441795446444303,0.051056349294958586,0.07201756176073104,better
12,lbfgs_100grad,adam_0.1,Aheur,final_P_tau_main,50,0,10,0.0003799262922257185,0.00011516983067849651,0.0003939471207559109,10,0,0,0.0003799262922257185,0.00018014630768448114,0.0007439211243763559,0.0010235495865345001,better
12,lbfgs_100grad,adam_0.1,Aheur,final_Q_tau_main_1000,50,0,10,0.008692611389897215,0.004378170923390157,0.009353813977564128,10,0,0,0.008692611389897215,0.0004923357427879735,0.010937138814301998,0.011656343086147603,better
12,lbfgs_100grad,adam_0.1,Aheur,final_P_opt,50,0,10,0.0003799262922257185,0.00019423621415626258,0.0003893892280757427,10,0,0,0.0003799262922257185,0.00018014630768448114,0.0007439211243763559,0.0010235495865345001,better
12,lbfgs_100grad,adam_0.1,Aheur,g_F,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,lbfgs_100grad,adam_0.1,Aheur,rank_best_feasible,50,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,equal
12,lbfgs_100grad,adam_0.1,Aheur,objective_evaluations,50,0,10,2.0,-2.5,12.5,4,6,0,4.5,12.0,24.199999999999996,26.0,worse
12,lbfgs_100grad,adam_0.1,Aheur,gradient_evaluations,50,0,10,2.0,-2.0,13.5,4,6,0,4.5,12.0,24.199999999999996,26.0,worse
12,lbfgs_100grad,adam_0.1,Aheur,optimisation_seconds,50,0,10,2.8779228134080768,2.11550302663818,6.311800698749721,0,10,0,2.8779228134080768,2.916140278801322,9.117478286242111,9.610989321023226,worse
