n_assets,instance,penalty_label,penalty,qaoa_seed,precision,gradient_evaluations,objective_evaluations,scipy_status,scipy_message,scipy_iterations,scipy_final_grad_norm,scipy_version,scipy_ftol,scipy_gtol,best_expectation,seconds,final_P_F,final_P_tau_main,final_P_opt,final_Q_tau_main_1000,final_expected_violation,final_D_cond,shots_feasible,g_F,within_tau_main,is_optimal
12,0,Aheur,12.999999999979208,42,single,54,54,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.005640108511642261,1.17.1,2.220446049250313e-09,1e-05,-1.5170698165893555,14.48547794856131,0.18352160463109612,0.002608327893540263,0.002608327893540263,0.9265929653091874,12.92659559301319,0.01276904671971925,204,0.0,True,True
12,0,Aheur,12.999999999979208,42,double,15,15,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,1.2374261408348852e-05,1.17.1,2.220446049250313e-09,1e-05,-1.5170629913452904,3.2760462826117873,0.1836755448366281,0.002611287819329505,0.002611287819329505,0.9268104902945598,12.926608765913514,0.012710676830646812,184,0.08246008551089888,False,False
12,0,Aheur,12.999999999979208,43,single,100,100,-1,stopped at the gradient budget,-1,nan,1.17.1,2.220446049250313e-09,1e-05,-0.8526636362075806,20.86622842308134,0.010601179834338836,0.00015987988444976509,0.00015987988444976509,0.1477647426356905,15.57774869329296,0.0012470114635290434,11,0.2844681815004132,False,False
12,0,Aheur,12.999999999979208,43,double,21,21,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,8.671411438399002e-06,1.17.1,2.220446049250313e-09,1e-05,-0.8526642080763068,4.668878460302949,0.01060548553775367,0.00015994507027025437,0.00015994507027025437,0.14782030336413993,15.577734176910111,0.0012466344582754488,12,0.20878139766299897,False,False
12,0,Amargin,0.19822334062316602,42,single,62,62,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,0.0009607560932636261,1.17.1,2.220446049250313e-09,1e-05,-4.3168463706970215,13.358853504993021,0.4429330830462277,0.006969231180846691,0.006969231180846691,0.9990822905289981,0.7968226831149092,0.033514882215986586,441,0.0,True,True
12,0,Amargin,0.19822334062316602,42,double,53,53,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,8.780886069410451e-05,1.17.1,2.220446049250313e-09,1e-05,-4.2641131946470505,11.348710112273693,0.37736568695295913,0.003125974138727326,0.003125974138727326,0.956320229507805,1.0358721840775322,0.12329575155709316,367,0.0,True,True
12,0,Amargin,0.19822334062316602,43,single,33,33,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.00047737453132867813,1.17.1,2.220446049250313e-09,1e-05,-0.9112809896469116,7.098301506601274,0.012867909201304428,0.0002306660608155653,0.0002306660608155653,0.2060165551943432,15.085850228489562,0.08004992626878384,11,0.0,True,True
12,0,Amargin,0.19822334062316602,43,double,22,22,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,3.803295871157575e-06,1.17.1,2.220446049250313e-09,1e-05,-0.9112814792099047,5.061296527273953,0.012863859665283998,0.00023057618945529845,0.00023057618945529845,0.20594517915402358,15.08586165534724,0.08004852925628285,12,0.3371216569317675,False,False
12,1,Aheur,12.999999999983347,42,single,31,31,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.0002936354114947415,1.17.1,2.220446049250313e-09,1e-05,-1.5349805355072021,6.7911758832633495,0.17851334111765027,0.002499843016266823,0.002499843016266823,0.918158664656242,12.872779346354946,0.013796953871811114,179,0.0,True,True
12,1,Aheur,12.999999999983347,42,double,18,18,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.00033600571494935005,1.17.1,2.220446049250313e-09,1e-05,-1.5349774514680499,3.934321545995772,0.1785100265422635,0.0024997419351400615,0.0024997419351400615,0.9181503708899907,12.872800761507039,0.01380060314805948,173,0.0,True,True
12,1,Aheur,12.999999999983347,43,single,48,48,2,ABNORMAL: ,9,0.00037777272518724203,1.17.1,2.220446049250313e-09,1e-05,-0.8597674369812012,10.255548566579819,0.01068909750028979,0.00016139230865519494,0.00016139230865519494,0.14905291641666382,15.547830681214691,0.001475134397946414,11,0.1661940677295735,False,False
12,1,Aheur,12.999999999983347,43,double,22,22,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,1.657676323395512e-05,1.17.1,2.220446049250313e-09,1e-05,-0.8597673654607753,4.828755491413176,0.010694325384139508,0.000161470504033957,0.000161470504033957,0.14911946468723447,15.547844775148564,0.0014759730368938762,12,0.0616136650977683,False,False
12,1,Amargin,0.3539176455668778,42,single,27,27,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,0.010954414028674364,1.17.1,2.220446049250313e-09,1e-05,-1.8909127712249756,5.596181755885482,0.19205939671519445,0.0008886721916496754,0.0008886721916496754,0.5889610478451499,12.013692468244798,0.3671138309673247,191,0.0616136650977683,False,False
