n_assets,instance,penalty_label,penalty,qaoa_seed,precision,gradient_evaluations,objective_evaluations,scipy_status,scipy_message,scipy_iterations,scipy_final_grad_norm,scipy_version,scipy_ftol,scipy_gtol,best_expectation,seconds
12,0,Aheur,12.999999999979208,42,single,47,47,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,0.0127996408846229,1.17.1,2.220446049250313e-09,1e-05,-1.517066240310669,2.749106082999788
12,0,Aheur,12.999999999979208,42,double,15,15,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,1.2374261407016585e-05,1.17.1,2.220446049250313e-09,1e-05,-1.5170629913452918,0.6816277920006542
12,0,Aheur,12.999999999979208,43,single,45,45,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,0.0003509030211716,1.17.1,2.220446049250313e-09,1e-05,-0.8526613116264343,2.010877792001338
12,0,Aheur,12.999999999979208,43,double,21,21,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,8.671411437982668e-06,1.17.1,2.220446049250313e-09,1e-05,-0.8526642080763056,0.9673440829992614
12,0,Amargin,0.1982233406231659,42,single,100,100,-1,stopped at the gradient budget,-1,,1.17.1,2.220446049250313e-09,1e-05,-4.316845893859863,4.515851792000831
12,0,Amargin,0.1982233406231659,42,double,53,53,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,8.780705759123958e-05,1.17.1,2.220446049250313e-09,1e-05,-4.2641131946470106,2.470076166000581
12,0,Amargin,0.1982233406231659,43,single,29,29,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.000478645786643,1.17.1,2.220446049250313e-09,1e-05,-0.9112817645072936,1.3184830000009242
12,0,Amargin,0.1982233406231659,43,double,22,22,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,3.803295855975275e-06,1.17.1,2.220446049250313e-09,1e-05,-0.9112814792099068,1.0505464170000778
12,1,Aheur,12.999999999983348,42,single,69,69,2,ABNORMAL: ,13,0.0002892372531284,1.17.1,2.220446049250313e-09,1e-05,-1.5349807739257812,3.1162154159992497
12,1,Aheur,12.999999999983348,42,double,18,18,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,0.0003360057149582,1.17.1,2.220446049250313e-09,1e-05,-1.5349774514680488,0.8425532090004708
12,1,Aheur,12.999999999983348,43,single,64,64,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,0.000345139647834,1.17.1,2.220446049250313e-09,1e-05,-0.8597674369812012,2.923719792001066
12,1,Aheur,12.999999999983348,43,double,22,22,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,1.65767632528545e-05,1.17.1,2.220446049250313e-09,1e-05,-0.8597673654607736,1.0312151670004823
