spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,batch,task_arn,execution_ms,shots,feasible_shots,distinct_shots,best_all_index,best_all_cardinality,best_all_feasible,best_all_E,best_all_f,energy_no_offset_solver,best_shot_scorer_agrees,feasible_shot_fraction,best_feasible_index,f_best_feasible,g_F,g_off,rank_best_feasible,rank_ties,is_optimal,within_tau_main,within_tau_alt,sharpe_best_feasible,return_best_feasible,volatility_best_feasible,shots_within_tau_main,shots_optimal
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,0,arn:aws:braket:us-east-1:000000000000:quantum-task/5a9fafc5-9641-4709-aacd-b4601f908934,18.0,1000,177,630,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.177,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,2,2
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,1,arn:aws:braket:us-east-1:000000000000:quantum-task/7bb272db-ebad-4f27-9e4c-c2cd734878be,19.0,1000,175,632,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.175,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,2,arn:aws:braket:us-east-1:000000000000:quantum-task/938cce60-b43a-4b58-889a-cbd46f3c0250,15.0,1000,168,622,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.168,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,3,arn:aws:braket:us-east-1:000000000000:quantum-task/0778c96a-03fd-4e77-8310-d02959f2ffbe,203.0,1000,188,636,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.188,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,3,3
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,4,arn:aws:braket:us-east-1:000000000000:quantum-task/7b16a435-375b-48ee-971e-16a388bb39ac,16.0,1000,160,632,6,2,True,-52.19909386988679,-0.19909386996995387,,,0.16,6,-0.19909386996995387,0.08246008551089888,0.0010242131281288315,2,1,False,False,False,1.1763543666609393,0.2522455012773938,0.21357977527685781,0,0
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,5,arn:aws:braket:us-east-1:000000000000:quantum-task/6374814c-524d-462f-b602-bca666be69b5,16.0,1000,168,638,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.168,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,2,2
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,6,arn:aws:braket:us-east-1:000000000000:quantum-task/46978263-7398-43f3-82f1-8479f2747e3b,15.0,1000,147,639,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.147,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,1,1
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,7,arn:aws:braket:us-east-1:000000000000:quantum-task/824d5d1a-47f4-4472-bfa8-b22dc0d56125,16.0,1000,154,628,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.154,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,5,5
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,8,arn:aws:braket:us-east-1:000000000000:quantum-task/d1856514-1cde-4db2-9d17-345b2579da5d,31.0,1000,175,599,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.175,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,3,3
e4a-v1,sv1,braket_sv1,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,9,arn:aws:braket:us-east-1:000000000000:quantum-task/ffb166b2-6225-4187-b1e2-e86ecccc477e,171.0,1000,177,642,1028,2,True,-52.252611680749226,-0.25261168083239516,,,0.177,1028,-0.25261168083239516,0.0,0.0,1,1,True,True,True,1.3218756853432454,0.3043831643149789,0.229509603420991,2,2
