arm,n_assets,instance,qaoa_seed,batches,shots,P_F_exact,feasible_fraction_mean,feasible_fraction_min,feasible_fraction_max,feasible_count_z_max_abs,batches_within_2sd,no_feasible_shot_batches,min_energy_shot_infeasible_batches,g_F_best_feasible_min,g_F_best_feasible_median,g_F_best_feasible_max,batches_best_feasible_optimal,batches_best_feasible_within_tau,distinct_best_feasible,distinct_min_energy_shot,shots_within_tau_total,expected_shots_within_tau,mc_distinct_best_median,mc_distinct_best_p025,mc_distinct_best_p975,mc_no_feasible_batches_mean
gpu_double,12,0,42,10,1000,0.17169155625673563,0.17219999999999996,0.145,0.188,2.2382231496222627,9,0,0,0.0,0.0,0.08246008551089888,7,7,2,2,18,24.309051485081643,2.0,1.0,3.0,0.0
gpu_double,12,0,43,10,1000,0.009917302807928737,0.009699999999999999,0.007,0.012,0.930998513781225,10,0,0,0.0,0.1569195145444973,0.2653674541724457,2,2,5,5,2,1.4961508464320885,7.0,5.0,9.0,0.0
gpu_double,12,1,42,10,1000,0.17893955171833176,0.1799,0.156,0.206,2.232514294519123,9,0,0,0.0,0.0,0.0,10,10,1,1,35,25.384735742830447,2.0,1.0,3.0,0.0
gpu_double,12,1,43,10,1000,0.009937611959532204,0.0116,0.009,0.015,1.6139241979183017,10,0,0,0.0,0.11390386641367091,0.2775682587037388,3,3,6,6,3,1.5015908573988486,7.0,5.0,9.0,0.0
gpu_double,16,0,42,10,1000,0.3768272625237655,0.37360000000000004,0.346,0.389,2.01168315986468,9,0,0,0.0,0.0,0.03256126185899558,6,8,4,4,18,20.078862078412367,4.0,2.0,6.0,0.0
gpu_double,16,0,43,10,1000,0.0005677007167147403,0.0001,0.0,0.001,0.7536731280093125,10,9,9,0.3001787255605046,0.3001787255605046,0.3001787255605046,0,0,1,10,0,0.03040029232432376,4.0,1.0,7.0,5.752
gpu_double,16,1,42,10,1000,0.37734296358494335,0.379,0.362,0.396,1.2171667530107424,10,0,0,0.0,0.01712852807806896,0.04188215627858191,5,5,3,3,7,6.705271372746575,4.0,2.0,6.0,0.0
gpu_double,16,1,43,10,1000,0.0005366142610524808,0.0008,0.0,0.003,3.3637047872867583,9,5,5,0.19341110950401377,0.4971517797063406,0.7690305773128279,0,0,5,10,0,0.009502901506805774,4.0,1.0,7.0,5.79
gpu_double,20,0,42,10,1000,0.04699973801602958,0.048299999999999996,0.036,0.062,2.2413238661797594,9,0,0,0.029113227409852616,0.10101477981999539,0.17763101295890896,0,0,10,10,0,0.3929108396830233,10.0,9.0,10.0,0.0
gpu_double,20,0,43,10,1000,0.004240391517824389,0.005299999999999999,0.002,0.008,1.8296262784861994,10,0,0,0.11057395332552328,0.2074945851750373,0.36380667116907506,0,0,10,10,0,0.03485958053249443,10.0,9.0,10.0,0.138
