arm,kind,n_assets,instance,qaoa_seed,batch,task_arn,execution_ms,billable_seconds,usd
sv1,analytic,12,0,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/183b320e-1e25-4331-9c83-3aed463a9ade,13.0,3.0,0.00375
sv1,analytic,12,0,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/eeb7e5bc-d1bc-4f7e-bc4f-a4955ba26e44,12.0,3.0,0.00375
sv1,analytic,12,1,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/168e4a7a-7617-4a4c-870a-a56bb8f55d4c,13.0,3.0,0.00375
sv1,analytic,12,1,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/f803c35d-860b-4d0e-9e6f-ae33b2a7d866,25.0,3.0,0.00375
sv1,analytic,16,0,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/edd6ca7f-4fdb-4e4f-b7cc-e16ba9a9f9d3,24.0,3.0,0.00375
sv1,analytic,16,0,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/82894e64-0b65-4832-bd55-3dc8e29b1d8b,25.0,3.0,0.00375
sv1,analytic,16,1,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/81f3b8ae-d353-4587-8f10-d15f23aaae27,24.0,3.0,0.00375
sv1,analytic,16,1,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/58c5c869-17ee-43ec-a7c9-ff7dfc633528,24.0,3.0,0.00375
sv1,analytic,20,0,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/23b46a81-1323-410b-b693-48510a470f31,108.0,3.0,0.00375
sv1,analytic,20,0,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/ede0adbf-4df0-450d-95fb-09e0c2bc91e8,110.0,3.0,0.00375
sv1,analytic,20,1,42,,arn:aws:braket:us-east-1:000000000000:quantum-task/41c33c36-6e89-4f03-a614-f5b64e833db6,110.0,3.0,0.00375
sv1,analytic,20,1,43,,arn:aws:braket:us-east-1:000000000000:quantum-task/dddf2ec0-c5a6-4940-bc91-a85d0209888b,108.0,3.0,0.00375
sv1,shots,12,0,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/5a9fafc5-9641-4709-aacd-b4601f908934,18.0,3.0,0.00375
sv1,shots,12,0,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/7bb272db-ebad-4f27-9e4c-c2cd734878be,19.0,3.0,0.00375
sv1,shots,12,0,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/938cce60-b43a-4b58-889a-cbd46f3c0250,15.0,3.0,0.00375
sv1,shots,12,0,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/0778c96a-03fd-4e77-8310-d02959f2ffbe,203.0,3.0,0.00375
sv1,shots,12,0,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/7b16a435-375b-48ee-971e-16a388bb39ac,16.0,3.0,0.00375
sv1,shots,12,0,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/6374814c-524d-462f-b602-bca666be69b5,16.0,3.0,0.00375
sv1,shots,12,0,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/46978263-7398-43f3-82f1-8479f2747e3b,15.0,3.0,0.00375
sv1,shots,12,0,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/824d5d1a-47f4-4472-bfa8-b22dc0d56125,16.0,3.0,0.00375
sv1,shots,12,0,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/d1856514-1cde-4db2-9d17-345b2579da5d,31.0,3.0,0.00375
sv1,shots,12,0,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/ffb166b2-6225-4187-b1e2-e86ecccc477e,171.0,3.0,0.00375
sv1,shots,12,0,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/c7bcdf3a-3b2c-491d-9355-b692c48ab990,27.0,3.0,0.00375
sv1,shots,12,0,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/5a966218-6267-4174-9154-88c0bfd94079,32.0,3.0,0.00375
sv1,shots,12,0,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/793b386b-1eee-4d04-b145-56d4ac7ac17c,18.0,3.0,0.00375
sv1,shots,12,0,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/74caad7e-e6a2-4b2c-9767-e5c768c3807c,17.0,3.0,0.00375
sv1,shots,12,0,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/4bb4eaaf-46fb-4876-9b9a-37143ef4b216,15.0,3.0,0.00375
sv1,shots,12,0,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/24b6efa8-55df-4613-a9d2-cfff32725aae,15.0,3.0,0.00375
sv1,shots,12,0,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/03fca0cf-640e-42e4-a613-7a45978c16de,15.0,3.0,0.00375
sv1,shots,12,0,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/e4d26b2a-db94-4b39-a2e0-92987abbcd88,16.0,3.0,0.00375
sv1,shots,12,0,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/9148cd24-7fc6-4b09-8fc1-8f7c19f142e7,16.0,3.0,0.00375
sv1,shots,12,0,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/d68504c5-aeb6-4e8f-8c22-b9705c2ae505,15.0,3.0,0.00375
sv1,shots,12,1,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/ae33427d-099e-4cd2-9aa6-e92fb423597f,15.0,3.0,0.00375
sv1,shots,12,1,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/06afc157-40f4-462d-9a32-134f44997159,16.0,3.0,0.00375
sv1,shots,12,1,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/d2713532-b160-4467-99cb-0e7c22811ead,15.0,3.0,0.00375
sv1,shots,12,1,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/950c30c5-0bf2-4d17-a46a-380d28412d00,16.0,3.0,0.00375
sv1,shots,12,1,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/cd0c389d-a6c1-4a4a-baf7-f3e3ade9cabf,15.0,3.0,0.00375
sv1,shots,12,1,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/5598197f-a764-41cf-97fc-cf85ed454312,15.0,3.0,0.00375
sv1,shots,12,1,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/ad45b8f3-ecfd-4bd5-9d61-3b903d56c21b,16.0,3.0,0.00375
sv1,shots,12,1,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/43795d26-d43d-4e43-94b3-bb0ff0ee0c1e,27.0,3.0,0.00375
sv1,shots,12,1,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/fefb8fac-669a-4bea-84d6-13f75f747dcf,16.0,3.0,0.00375
sv1,shots,12,1,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/21fcf0af-482c-4acf-9282-399d8c0b67ad,15.0,3.0,0.00375
sv1,shots,12,1,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/d25a1a10-9918-4247-a064-809c82d5f8cc,16.0,3.0,0.00375
sv1,shots,12,1,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/d91c0f6b-f873-4e17-b136-317177348245,16.0,3.0,0.00375
sv1,shots,12,1,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/5e1b4890-ca14-4773-9678-00eed75173e3,16.0,3.0,0.00375
sv1,shots,12,1,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/b8c6b0ed-8ea8-4b94-93c9-8ea392381e46,16.0,3.0,0.00375
sv1,shots,12,1,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/33ed15da-2bfa-4d3d-b93d-0e062a9c93d9,15.0,3.0,0.00375
sv1,shots,12,1,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/6c975ad7-c264-4cf1-b72d-eeb14184202c,16.0,3.0,0.00375
sv1,shots,12,1,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/05bf5dcb-fe30-4db0-b2e8-fd525e435eb5,37.0,3.0,0.00375
sv1,shots,12,1,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/4354e934-49fa-488c-b3b7-5f7c52101d0b,15.0,3.0,0.00375
sv1,shots,12,1,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/1163db7a-b951-40ce-bb8b-2373c2acc610,15.0,3.0,0.00375
sv1,shots,12,1,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/7247dba0-a0dd-4623-94ce-37033fc28d05,15.0,3.0,0.00375
sv1,shots,16,0,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/bc1633c2-4182-4093-9edb-2c73f0964978,27.0,3.0,0.00375
sv1,shots,16,0,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/6f1937cd-02e1-4a68-9d17-f505028539ea,27.0,3.0,0.00375
sv1,shots,16,0,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/580d87ff-c185-45ea-b0e6-a604d6f1113f,26.0,3.0,0.00375
sv1,shots,16,0,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/593e2836-ae3f-4041-a37f-6a32aa0383a1,26.0,3.0,0.00375
sv1,shots,16,0,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/dd09e63e-195b-4d1c-b781-933e47ab87d7,27.0,3.0,0.00375
sv1,shots,16,0,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/d0392596-e091-46ca-8be7-6f478c8003a1,27.0,3.0,0.00375
sv1,shots,16,0,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/ce189eda-c6f5-44a4-b4be-afcf798d5297,29.0,3.0,0.00375
sv1,shots,16,0,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/457172bd-f4de-476e-8a10-cc31d0686af2,27.0,3.0,0.00375
sv1,shots,16,0,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/021dcc12-5c84-4e8e-b770-375096a60a11,38.0,3.0,0.00375
sv1,shots,16,0,42,9,arn:aws:braket:us-east-1:000000000000:quantum-task/06c8b268-1125-4556-85f0-dce7aae28189,27.0,3.0,0.00375
sv1,shots,16,0,43,0,arn:aws:braket:us-east-1:000000000000:quantum-task/a43600fd-da58-4f60-a7ac-cced27f07193,27.0,3.0,0.00375
sv1,shots,16,0,43,1,arn:aws:braket:us-east-1:000000000000:quantum-task/6b69161d-832f-4d7a-bf17-a7f93dc174fb,27.0,3.0,0.00375
sv1,shots,16,0,43,2,arn:aws:braket:us-east-1:000000000000:quantum-task/e65cb949-f289-45ec-ac85-bda49b258b83,26.0,3.0,0.00375
sv1,shots,16,0,43,3,arn:aws:braket:us-east-1:000000000000:quantum-task/4194576c-8283-4ff1-8c88-2495b0bc6c54,26.0,3.0,0.00375
sv1,shots,16,0,43,4,arn:aws:braket:us-east-1:000000000000:quantum-task/b06e4cce-686e-4a6d-85d1-8694771e95e9,25.0,3.0,0.00375
sv1,shots,16,0,43,5,arn:aws:braket:us-east-1:000000000000:quantum-task/5aa5199d-40a3-4f74-83c1-872b93143b14,27.0,3.0,0.00375
sv1,shots,16,0,43,6,arn:aws:braket:us-east-1:000000000000:quantum-task/46b28061-d731-488e-a11e-e1c36839487a,26.0,3.0,0.00375
sv1,shots,16,0,43,7,arn:aws:braket:us-east-1:000000000000:quantum-task/afc462b6-4d66-4a93-ac70-048ad8356aba,26.0,3.0,0.00375
sv1,shots,16,0,43,8,arn:aws:braket:us-east-1:000000000000:quantum-task/e67405f6-0b9e-40f3-9e84-51419a9b1970,27.0,3.0,0.00375
sv1,shots,16,0,43,9,arn:aws:braket:us-east-1:000000000000:quantum-task/5caf5843-2800-428a-acd5-b3475ac03a4f,34.0,3.0,0.00375
sv1,shots,16,1,42,0,arn:aws:braket:us-east-1:000000000000:quantum-task/5b1d4805-6083-4c1d-aae3-44e59e32e372,27.0,3.0,0.00375
sv1,shots,16,1,42,1,arn:aws:braket:us-east-1:000000000000:quantum-task/06f72cf5-4cd4-43f6-9ab3-9b8ac0548723,26.0,3.0,0.00375
sv1,shots,16,1,42,2,arn:aws:braket:us-east-1:000000000000:quantum-task/1429c61b-8e09-4be7-bcc7-4d1ddce6d060,27.0,3.0,0.00375
sv1,shots,16,1,42,3,arn:aws:braket:us-east-1:000000000000:quantum-task/6a382f6b-5150-4004-a1bf-e8d02450fb87,25.0,3.0,0.00375
sv1,shots,16,1,42,4,arn:aws:braket:us-east-1:000000000000:quantum-task/698bcb3c-c85f-4fa6-8000-7c0f92de7269,28.0,3.0,0.00375
sv1,shots,16,1,42,5,arn:aws:braket:us-east-1:000000000000:quantum-task/484fe43b-6f2f-4adc-95ed-103c961316ee,26.0,3.0,0.00375
sv1,shots,16,1,42,6,arn:aws:braket:us-east-1:000000000000:quantum-task/dc2690b0-020c-4afe-927c-3570db1d250b,27.0,3.0,0.00375
sv1,shots,16,1,42,7,arn:aws:braket:us-east-1:000000000000:quantum-task/ef454232-99a1-4cad-87c5-c3a62931c789,27.0,3.0,0.00375
sv1,shots,16,1,42,8,arn:aws:braket:us-east-1:000000000000:quantum-task/db8450fa-eb3d-45c2-a534-7d2be997a1fe,27.0,3.0,0.00375
