arm,backend,precision,n_assets,instance,qaoa_seed,e1_run_id,P_F,P_tau_main,P_opt,Q_tau_main_1000,probs_sum,max_abs_dp_F,tv_F,tv_F_perp,dP_F,dP_tau_main,rel_dP_tau_main,max_abs_dp_all,tv_all
gpu_double,lightning_gpu,double,12,0,42,N12_i00_Aheur_s42,0.17169155625673563,0.0024309051485081642,0.0024309051485081642,0.9123027375906038,0.9999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,12,0,43,N12_i00_Aheur_s43,0.009917302807928737,0.00014961508464320886,0.00014961508464320886,0.1389702980373847,0.9999999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,12,1,42,N12_i01_Aheur_s42,0.17893955171833176,0.0025384735742830446,0.0025384735742830446,0.9212676348724125,0.9999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,12,1,43,N12_i01_Aheur_s43,0.009937611959532204,0.00015015908573988486,0.00015015908573988486,0.1394386419369179,0.9999999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,16,0,42,N16_i00_Aheur_s42,0.3768272625237655,0.002007886207841237,0.000668523522948621,0.8659985574457665,0.9999999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,16,0,43,N16_i00_Aheur_s43,0.0005677007167147403,3.0400292324323763e-06,1.02013336322659e-06,0.003035417629453363,0.9999999999999957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,16,1,42,N16_i01_Aheur_s42,0.37734296358494335,0.0006705271372746574,0.0006705271372746574,0.48867610344807244,0.9999999999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,16,1,43,N16_i01_Aheur_s43,0.0005366142610524808,9.502901506805773e-07,9.502901506805773e-07,0.0009498392190855354,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,20,0,42,N20_i00_Aheur_s42,0.04699973801602958,3.929108396830233e-05,9.79635978031847e-06,0.038529942499295866,0.9999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,20,0,43,N20_i00_Aheur_s43,0.004240391517824389,3.485958053249443e-06,8.714642327765512e-07,0.003479895210287798,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,20,1,42,N20_i01_Aheur_s42,0.04747662860134115,9.881778840315026e-06,9.881778840315026e-06,0.009833162837473375,0.9999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_double,lightning_gpu,double,20,1,43,N20_i01_Aheur_s43,0.00421126633595344,8.64491533550334e-07,8.64491533550334e-07,0.0008641183417809062,0.9999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu_double,lightning_cpu,double,12,0,42,N12_i00_Aheur_s42,0.17169155625673407,0.0024309051485081443,0.0024309051485081443,0.9123027375906038,0.9999999999999892,2.7321894746634712e-17,7.723856276786734e-16,1.549541744916283e-15,-1.5543122344752192e-15,-1.9949319973733282e-17,-8.206539850382929e-15,1.8735013540549517e-16,4.204962082471255e-15
cpu_double,lightning_cpu,double,12,0,43,N12_i00_Aheur_s43,0.009917302807928649,0.0001496150846432076,0.0001496150846432076,0.1389702980373847,0.9999999999999885,1.734723475976807e-18,4.267690801446067e-17,8.691235665186925e-17,-8.847089727481716e-17,-1.2739375526704677e-18,-8.51476678109337e-15,5.4643789493269423e-17,4.237826113791775e-15
cpu_double,lightning_cpu,double,12,1,42,N12_i01_Aheur_s42,0.17893955171833026,0.0025384735742830233,0.0025384735742830233,0.9212676348724125,0.9999999999999893,2.688821387764051e-17,7.400764029386053e-16,1.489476944560586e-15,-1.4988010832439613e-15,-2.1250362580715887e-17,-8.371315264417416e-15,2.0816681711721685e-16,4.2778484205495404e-15
cpu_double,lightning_cpu,double,12,1,43,N12_i01_Aheur_s43,0.009937611959532125,0.00015015908573988345,0.00015015908573988345,0.1394386419369179,0.9999999999999905,1.7076184216646695e-18,3.980377225737408e-17,7.970241220484064e-17,-7.979727989493313e-17,-1.4094628242311558e-18,-9.386463811272247e-15,5.0306980803327406e-17,4.230409493305616e-15
cpu_double,lightning_cpu,double,16,0,42,N16_i00_Aheur_s42,0.37682726252376125,0.0020078862078412147,0.0006685235229486131,0.8659985574457665,0.9999999999999851,1.0625181290357943e-17,2.1223799627489992e-15,4.2595592851524255e-15,-4.274358644806853e-15,-2.211772431870429e-17,-1.1015427185230775e-14,1.734723475976807e-16,5.657510243416126e-15
cpu_double,lightning_cpu,double,16,0,43,N16_i00_Aheur_s43,0.0005677007167147338,3.0400292324323246e-06,1.020133363226568e-06,0.003035417629453363,0.9999999999999842,2.7316812548951186e-20,3.2674295940334636e-18,6.520036111489977e-18,-6.5052130349130266e-18,-5.166900978251232e-20,-1.6996221362375228e-14,2.1467203015212988e-17,5.7340135709978645e-15
cpu_double,lightning_cpu,double,16,1,42,N16_i01_Aheur_s42,0.37734296358493913,0.0006705271372746511,0.0006705271372746511,0.48867610344807244,0.9999999999999853,1.0625181290357943e-17,2.1224883829662478e-15,4.231912129754045e-15,-4.218847493575595e-15,-6.288372600415926e-18,-9.3782522001643e-15,1.734723475976807e-16,5.605776753250504e-15
cpu_double,lightning_cpu,double,16,1,43,N16_i01_Aheur_s43,0.0005366142610524745,9.502901506805575e-07,9.502901506805575e-07,0.0009498392190855354,0.9999999999999887,2.625802136488331e-20,3.102099350641265e-18,6.246285650849228e-18,-6.288372600415926e-18,-1.979939514206927e-20,-2.0835105075949036e-14,2.190088388420719e-17,5.7027150153825484e-15
cpu_double,lightning_cpu,double,20,0,42,N20_i00_Aheur_s42,0.04699973801602891,3.929108396830181e-05,9.796359780318333e-06,0.038529942499295866,0.9999999999999822,2.0328790734103208e-19,3.3881656703350915e-16,6.753529213730097e-16,-6.730727086790012e-16,-5.21772295508649e-19,-1.3279661511237088e-14,1.6132928326584306e-16,7.130182457967325e-15
cpu_double,lightning_cpu,double,20,0,43,N20_i00_Aheur_s43,0.004240391517824328,3.4859580532493974e-06,8.714642327765401e-07,0.003479895210287798,0.9999999999999863,1.852884572118782e-20,3.019026594339299e-17,6.054792677298712e-17,-6.071532165918825e-17,-4.573977915173222e-20,-1.3121150183977626e-14,8.890457814381136e-18,7.159150978145977e-15
cpu_double,lightning_cpu,double,20,1,42,N20_i01_Aheur_s42,0.04747662860134047,9.881778840314875e-06,9.881778840314875e-06,0.009833162837473375,0.9999999999999802,1.9481757786848908e-19,3.389046584600236e-16,6.789104597514778e-16,-6.800116025829084e-16,-1.5077186461126546e-19,-1.5257563141987797e-14,1.700029006457271e-16,7.129144607687645e-15
