n_assets,quantity,E1,E5
12,window,2023-08-06 – 2026-08-05,2020-08-05 – 2023-08-05
12,instances with A_crit = 0,4,3
12,"A_heur / A_crit, median",92.05088917144266,199.05708987546817
12,"Δ_F, median",0.7054789000550504,0.9424930576965225
12,"P_τ under uniform-over-F, median",0.015151515151515152,0.015151515151515152
12,Amargin: P_F median,0.3288067898247391,0.32117287686560303
12,Amargin: P_τ median,0.006489765364676714,0.007408779812976718
12,Amargin: Q_τ(1000) median,0.9984295377869723,0.9994077904224966
12,Amargin: g_off median (%),0.0,0.0
12,Amargin: g_F median (%),0.0,0.0
12,Amargin: optimal rate,0.76,0.88
12,Amargin: runs with no feasible shot,0,0
12,Amargin: pass g_off ≤ 0.1 % but fail g_F ≤ τ,0.0,0.0
12,Amargin: deflation D median,1.2683974120854093,1.11388288412555
12,Aheur: P_F median,0.17766213964205235,0.1804417158709839
12,Aheur: P_τ median,0.002604695619083941,0.002699006930924952
12,Aheur: Q_τ(1000) median,0.9263227770368632,0.9327148035071122
12,Aheur: g_off median (%),0.0,0.0
12,Aheur: g_F median (%),0.0,0.0
12,Aheur: optimal rate,0.76,0.8
12,Aheur: runs with no feasible shot,0,0
12,Aheur: pass g_off ≤ 0.1 % but fail g_F ≤ τ,0.04,0.04
12,Aheur: deflation D median,73.90344372329619,55.38331551445825
12,Amargin − Aheur: final_P_F median diff,0.009780778669664869,0.046403128289966844
12,Amargin − Aheur: final_P_F CI low,0.004436258343048394,0.008784396341070533
12,Amargin − Aheur: final_P_F CI high,0.0421388472605031,0.08625803743598226
12,Amargin − Aheur: final_P_F instances better / tied / of,9 / 0 / 10,10 / 0 / 10
12,Amargin − Aheur: final_P_tau_main median diff,0.0020603772718459368,0.003768317328649573
12,Amargin − Aheur: final_P_tau_main CI low,0.0001779336016625166,0.0001629740436328575
12,Amargin − Aheur: final_P_tau_main CI high,0.003986200783401728,0.006968208748730831
12,Amargin − Aheur: final_P_tau_main instances better / tied / of,8 / 0 / 10,9 / 0 / 10
12,Amargin − Aheur: final_Q_tau_main_1000 median diff,0.019548081245302606,0.010493059930050286
12,Amargin − Aheur: final_Q_tau_main_1000 CI low,6.71109888095156e-05,0.0002976109387203829
12,Amargin − Aheur: final_Q_tau_main_1000 CI high,0.06685220332114528,0.06074679370687475
12,Amargin − Aheur: final_Q_tau_main_1000 instances better / tied / of,8 / 0 / 10,9 / 0 / 10
