n_assets,n_select,normalization,penalty,feasible_set_size,objective_spread,abs_energy_optimum,deflation_factor,n_within_band,frac_within_band,sharpe_min,sharpe_max,sharpe_spread_pct,data_start,data_end
16,3,per-instance,16.999999999972275,560,1.2705106296258748,153.26711059662722,120.63426076313863,30,0.05357142857142857,1.14881356392947,1.510671395866353,31.49839480473775,2023-08-06,2026-08-05
16,3,global,15.901849271745908,560,1.3109358851033335,143.18959689285947,109.22700226607395,19,0.033928571428571426,0.7156979525285636,1.510671395866353,111.07666866017223,2023-08-06,2026-08-05
20,4,per-instance,20.999999999965347,4845,1.9296468975433072,336.15232144200877,174.20405871663598,368,0.07595459236326109,0.6342504955361136,1.539044658265469,142.65564932110289,2023-08-06,2026-08-05
20,4,global,19.627311589682385,4845,1.937538637930345,313.9718977780094,162.04678019396317,346,0.07141382868937049,0.274030504588593,1.539044658265469,461.63260385045993,2023-08-06,2026-08-05
24,4,per-instance,24.999999999958415,10626,1.929646897543364,400.15232144189787,207.3707484780414,998,0.09392057218144174,0.5387211899067439,1.539044658265469,185.68481936489033,2023-08-06,2026-08-05
24,4,global,23.35277390761886,10626,1.937538637930345,373.5792948649931,192.81127485748925,979,0.09213250517598344,0.274030504588593,1.539044658265469,461.63260385045993,2023-08-06,2026-08-05
28,5,per-instance,28.999999999951484,98280,3.023463850461667,725.1676098057205,239.8466281298489,13737,0.13977411477411478,0.4278127041337695,1.7066841187185204,298.9325474039384,2023-08-06,2026-08-05
28,5,global,27.07823622555534,98280,3.046144343942842,676.8382931891772,222.19508229642759,15272,0.1553927553927554,0.1483330680773413,1.7066841187185204,1050.5756206894137,2023-08-06,2026-08-05
30,6,per-instance,30.999999999948017,593775,3.9999257156455315,1115.9576980794068,278.99460575339884,146484,0.24669950738916255,0.17160055271088737,1.695433411052373,888.0116259933262,2023-08-06,2026-08-05
30,6,global,28.940967384523578,593775,3.9713201087015477,1041.5101724543792,262.2579253111149,160916,0.2710050103153551,0.06969441431689778,1.695433411052373,2332.6675640651824,2023-08-06,2026-08-05
