n_assets,n_select,penalty_label,penalty,a_min,a_over_amin,energy_quantum,energy_optimum,reported_gap_pct,feasible,feasible_shot_fraction,final_expectation,sharpe_ratio,runtime_s,backend,precision,p_layers,steps,shots,qaoa_seed,data_start,data_end
16,3,1.1xA_min,0.04852299130632842,0.04411181027848038,1.1,-0.703817518633703,-0.703817518633703,0.0,True,0.215,-4.9067888259887695,1.3851408274006345,22.354825663380325,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
16,3,2.0xA_min,0.08822362055696076,0.04411181027848038,2.0,-1.061123181889394,-1.061123181889394,0.0,True,0.301,-4.942457675933838,1.3851408274006345,16.534767569042742,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
16,3,5.0xA_min,0.2205590513924019,0.04411181027848038,5.0,-2.252142059408364,-2.252142059408364,0.0,True,0.34,-5.1411590576171875,1.3851408274006345,16.40471346769482,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
16,3,10.0xA_min,0.4411181027848038,0.04411181027848038,10.0,-4.2271884248078075,-4.237173521939981,0.23565466650046735,True,0.357,-5.290427207946777,1.510671395866353,16.389189482666552,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
16,3,A_used,16.999999999972275,0.04411181027848038,385.38431981481386,-153.26711059662722,-153.26711059662722,0.0,True,0.391,-4.995856761932373,1.3851408274006345,16.492116046138108,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
20,4,1.1xA_min,0.1262680697448886,0.11478915431353509,1.1,-2.1611316430500764,-2.1726105584814297,0.5283466651002828,False,0.223,-5.907124042510986,1.3851408274006345,30.349290685728192,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
20,4,2.0xA_min,0.22957830862707018,0.11478915431353509,2.0,-3.8137178349782026,-3.8255743805963354,0.3099285084684342,True,0.293,-6.222230434417725,1.4360383792399112,29.514082482084632,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
20,4,5.0xA_min,0.5739457715676755,0.11478915431353509,5.0,-9.318977322775346,-9.335453787646017,0.17649345436720765,True,0.565,-6.049163818359375,1.4638807071588888,29.47671928908676,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
20,4,10.0xA_min,1.147891543135351,0.11478915431353509,10.0,-18.50913178157895,-18.518586132728824,0.05105330980513856,True,0.269,-6.069572925567627,1.4675160119077235,29.731867778114974,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
20,4,A_used,20.999999999965347,0.11478915431353509,182.94411284367465,-335.9747295240489,-336.15232144200877,0.05283078730441684,True,0.044,-0.9088724851608276,1.5323130382754206,29.605361332185566,lightning_gpu,single,2,50,1000,42,2023-08-06,2026-08-05
