n_assets,n_select,solver,energy_no_offset,runtime_s,feasible,expected_return,volatility,sharpe_ratio,method_detail,data_start,data_end
8,2,classical_auto,-36.252611680776944,0.00031786784529685974,True,0.3043831643149789,0.229509603420991,1.3218756853432454,exact,2023-08-06,2026-08-05
8,2,lightning_gpu,-36.252611680776944,5.290261005051434,True,0.3043831643149789,0.229509603420991,1.3218756853432454,p=2,2023-08-06,2026-08-05
12,2,classical_auto,-52.25261168074922,0.0006427252665162086,True,0.3043831643149789,0.229509603420991,1.3218756853432454,exact,2023-08-06,2026-08-05
12,2,lightning_gpu,-52.25261168074922,9.98784673307091,True,0.3043831643149789,0.229509603420991,1.3218756853432454,p=2,2023-08-06,2026-08-05
16,3,classical_auto,-153.26711059662722,0.004930431023240089,True,0.2568156466299874,0.1846856590820826,1.3851408274006345,exact,2023-08-06,2026-08-05
16,3,lightning_gpu,-153.26711059662722,16.300653201527894,True,0.2568156466299874,0.1846856590820826,1.3851408274006345,p=2,2023-08-06,2026-08-05
20,4,classical_auto,-336.15232144200877,0.04190353490412235,True,0.3115649335542625,0.21080901909538674,1.4732051545372367,exact,2023-08-06,2026-08-05
20,4,lightning_gpu,-335.9747295240489,29.428233820013702,True,0.39903609045504906,0.25976160256590164,1.5323130382754206,p=2,2023-08-06,2026-08-05
24,4,classical_auto,-400.1523214418979,0.09369815420359373,True,0.3115649335542625,0.21080901909538674,1.4732051545372367,exact,2023-08-06,2026-08-05
24,4,lightning_gpu,-400.02749210342733,149.81417323555797,True,0.23329226261926914,0.1934524729312245,1.200771740466987,p=2,2023-08-06,2026-08-05
28,5,classical_auto,-725.1676098057208,0.888595525175333,True,0.3270290365544999,0.19571854026798624,1.6658055803404568,exact,2023-08-06,2026-08-05
28,5,lightning_gpu,-724.9941841425967,2514.256993325427,True,0.25006279921995067,0.18275481420112197,1.3628248334178308,p=2,2023-08-06,2026-08-05
30,6,classical_auto,-1115.9576980794068,5.6618719063699245,True,0.2767184512017892,0.17758393923151236,1.5526091627145457,exact,2023-08-06,2026-08-05
30,6,lightning_gpu,-1115.6388476652116,11315.996935107745,True,0.2434422404203595,0.18612539691799784,1.302574739583623,p=2,2023-08-06,2026-08-05
50,10,classical_auto,-5098.079602016977,3.758338913321495,True,0.20829717168082384,0.16041096539806549,1.2922880375815242,simulated_annealing,2023-08-06,2026-08-05
