n_assets,n_select,sa_seed,steps,energy_sa,energy_optimum,reported_gap_pct,cardinality,feasible,rank_in_feasible,feasible_set_size,sharpe_sa,sharpe_optimum,sharpe_delta_pct,data_start,data_end
12,2,42,50000,-51.941829350531954,-52.25261168074922,0.5947689889953623,2,True,24,66,0.4733718937695975,1.3218756853432454,-64.18937884868659,2023-08-06,2026-08-05
12,2,43,50000,-52.03381475661891,-52.25261168074922,0.41872916413653255,2,True,13,66,1.0580675479084825,1.3218756853432454,-19.957106432914006,2023-08-06,2026-08-05
12,2,44,50000,-52.080384291783304,-52.25261168074922,0.3296053219658809,2,True,7,66,1.0725490001906428,1.3218756853432454,-18.861583424001104,2023-08-06,2026-08-05
12,2,45,50000,-52.25261168074922,-52.25261168074922,0.0,2,True,1,66,1.3218756853432454,1.3218756853432454,0.0,2023-08-06,2026-08-05
12,2,46,50000,-51.94427048711486,-52.25261168074922,0.5900971907743963,2,True,23,66,0.5548425684986256,1.3218756853432454,-58.026115870755866,2023-08-06,2026-08-05
16,3,42,50000,-153.00145531480496,-153.26711059662722,0.1733283029791182,3,True,79,560,1.3337086216867775,1.3851408274006345,-3.713139104445794,2023-08-06,2026-08-05
16,3,43,50000,-153.05396146423556,-153.26711059662722,0.13907036647453702,3,True,53,560,1.0410851649329056,1.3851408274006345,-24.83903843289251,2023-08-06,2026-08-05
16,3,44,50000,-152.77578197587144,-153.26711059662722,0.3205701594054794,3,True,263,560,0.9539604315218818,1.3851408274006345,-31.128993337660045,2023-08-06,2026-08-05
16,3,45,50000,-152.85226741530357,-153.26711059662722,0.2706667984466956,3,True,190,560,1.1847598778256085,1.3851408274006345,-14.466467640771393,2023-08-06,2026-08-05
16,3,46,50000,-152.47157259812138,-153.26711059662722,0.5190533020483146,3,True,466,560,0.8827929616865515,1.3851408274006345,-36.26691638689133,2023-08-06,2026-08-05
20,4,42,50000,-335.46439406564207,-336.15232144200877,0.2046475161663815,4,True,2148,4845,1.1085499042733304,1.4732051545372367,-24.7525098008805,2023-08-06,2026-08-05
20,4,43,50000,-335.82993057032365,-336.15232144200877,0.09590618630927193,4,True,330,4845,1.0323756378473596,1.4732051545372367,-29.923158721797332,2023-08-06,2026-08-05
20,4,44,50000,-335.379607931941,-336.15232144200877,0.22987005020611725,4,True,2699,4845,0.7381407489061732,1.4732051545372367,-49.895590126547035,2023-08-06,2026-08-05
20,4,45,50000,-335.3942407520591,-336.15232144200877,0.22551701761204684,4,True,2597,4845,1.1273242935548682,1.4732051545372367,-23.478119114443135,2023-08-06,2026-08-05
20,4,46,50000,-335.0289039591248,-336.15232144200877,0.3341989363824035,4,True,4307,4845,0.9939866405275241,1.4732051545372367,-32.528973478934425,2023-08-06,2026-08-05
