sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
seeds,8,2,42,2,-36.252611680776944,-36.252611680776944,0.0,5.451036940328777,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,8,2,43,2,-36.252611680776944,-36.252611680776944,0.0,5.110944585874677,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,8,2,44,2,-36.252611680776944,-36.252611680776944,0.0,5.108008939772844,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,8,2,45,2,-36.252611680776944,-36.252611680776944,0.0,5.177857509814203,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,8,2,46,2,-36.252611680776944,-36.252611680776944,0.0,5.169151980429888,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,12,2,42,2,-52.25261168074922,-52.25261168074922,0.0,10.030481094494462,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,12,2,43,2,-52.15076860299848,-52.25261168074922,0.19490523913517033,10.024234130047262,True,1.337964475552203,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,12,2,44,2,-52.25261168074922,-52.25261168074922,0.0,10.035983647219837,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,12,2,45,2,-52.25261168074922,-52.25261168074922,0.0,9.976428958587348,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,12,2,46,2,-52.25261168074922,-52.25261168074922,0.0,10.029608086682856,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,42,2,-335.9747295240489,-336.15232144200877,0.05283078730441684,29.499371867626905,True,1.5323130382754206,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,43,2,-335.82332290065153,-336.15232144200877,0.09787186354861864,29.57994455099106,True,1.0252409721525555,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,44,2,-336.1222593946752,-336.15232144200877,0.008942983705898515,29.541538447141647,True,1.4638129909258697,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,45,2,-336.1358449771381,-336.15232144200877,0.004901487754118071,29.516672338359058,True,1.4638807071588888,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,20,4,46,2,-336.07853556721267,-336.15232144200877,0.021950130964313593,29.3560592783615,True,1.1836913736499022,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,17.336919805034995,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,43,2,-136.0634329689806,-153.26711059662722,11.224637536831855,17.418981788679957,False,1.3695992059528768,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,44,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,17.707793939858675,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,45,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,17.496789790689945,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
seeds,16,3,46,2,-153.23187921152646,-153.26711059662722,0.022986918043676658,16.00705777015537,True,1.4578597337788786,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
