sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
grid,12,2,42,1,-52.15076860299848,-52.25261168074922,0.19490523913517033,5.491294423118234,True,1.337964475552203,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,43,1,-52.15076860299848,-52.25261168074922,0.19490523913517033,5.628255357034504,True,1.337964475552203,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,44,1,-52.25261168074922,-52.25261168074922,0.0,5.637971802614629,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,45,1,-52.07953997417389,-52.25261168074922,0.33122116006900165,5.55390156339854,True,1.1172922135622942,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,46,1,-52.19909386988678,-52.25261168074922,0.10242131281287668,5.6166790602728724,True,1.1763543666609393,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,42,2,-52.25261168074922,-52.25261168074922,0.0,9.956860733218491,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,43,2,-52.15076860299848,-52.25261168074922,0.19490523913517033,10.047442555427551,True,1.337964475552203,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,44,2,-52.25261168074922,-52.25261168074922,0.0,10.009175290353596,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,45,2,-52.25261168074922,-52.25261168074922,0.0,10.041516238823533,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,46,2,-52.25261168074922,-52.25261168074922,0.0,10.094199523329735,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,42,3,-52.25261168074922,-52.25261168074922,0.0,14.189940148964524,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,43,3,-52.25261168074922,-52.25261168074922,0.0,14.3141760667786,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,44,3,-52.25261168074922,-52.25261168074922,0.0,14.37743948213756,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,45,3,-52.19909386988678,-52.25261168074922,0.10242131281287668,14.377904295921326,True,1.1763543666609393,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,46,3,-52.25261168074922,-52.25261168074922,0.0,14.388407172635198,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,42,4,-52.25261168074922,-52.25261168074922,0.0,18.44420029129833,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,43,4,-52.25261168074922,-52.25261168074922,0.0,18.46934596914798,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,44,4,-52.25261168074922,-52.25261168074922,0.0,18.402241211384535,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,45,4,-52.25261168074922,-52.25261168074922,0.0,18.496342579834163,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,12,2,46,4,-52.25261168074922,-52.25261168074922,0.0,18.380973605439067,True,1.3218756853432454,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
