n_assets,n_select,feasible_set_size,run,backend,energy,sharpe
8,2,28,sv1_a,braket_sv1,-36.252611680776944,1.321875685343245
8,2,28,sv1_b,braket_sv1,-36.252611680776944,1.3218756853432454
8,2,28,sv1_c,braket_sv1,-36.252611680776944,1.3218756853432454
8,2,28,gpu,lightning_gpu,-36.252611680776944,1.3218756853432454
12,2,66,sv1_a,braket_sv1,-52.252611680749219,1.321875685343245
12,2,66,sv1_b,braket_sv1,-52.252611680749219,1.3218756853432454
12,2,66,sv1_c,braket_sv1,-52.252611680749219,1.3218756853432454
12,2,66,gpu,lightning_gpu,-52.252611680749219,1.3218756853432454
16,3,560,sv1_a,braket_sv1,-153.24068946238307,1.4919848850262931
16,3,560,sv1_b,braket_sv1,-153.26084886738241,1.3767808907629731
16,3,560,sv1_d,braket_sv1,-153.26711059662722,1.3851408274006345
16,3,560,gpu,lightning_gpu,-153.26711059662722,1.3851408274006345
20,4,4845,sv1_a,braket_sv1,-335.80849740785482,1.2222393739110808
20,4,4845,sv1_b,braket_sv1,-335.81343648240312,1.2607977401252777
20,4,4845,sv1_d,braket_sv1,-335.86309868912048,1.0255832694764191
20,4,4845,gpu,lightning_gpu,-335.97472952404888,1.5323130382754206
