sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,8,42,2,0,1.609327793121338
seeds,8,42,2,1,0.06594341993331909
seeds,8,42,2,2,-1.1925946474075317
seeds,8,42,2,3,-0.9304555058479309
seeds,8,42,2,4,-0.7905516624450684
seeds,8,42,2,5,-0.9541875720024109
seeds,8,42,2,6,-1.1759936809539795
seeds,8,42,2,7,-1.3814010620117188
seeds,8,42,2,8,-1.4565621614456177
seeds,8,42,2,9,-1.39515221118927
seeds,8,42,2,10,-1.328439712524414
seeds,8,42,2,11,-1.3773438930511475
seeds,8,42,2,12,-1.6112490892410278
seeds,8,42,2,13,-1.8988327980041504
seeds,8,42,2,14,-1.9200559854507446
seeds,8,42,2,15,-1.7467775344848633
seeds,8,42,2,16,-1.700118899345398
seeds,8,42,2,17,-1.7488855123519897
seeds,8,42,2,18,-1.8374875783920288
seeds,8,42,2,19,-1.9522932767868042
seeds,8,42,2,20,-1.9771043062210083
seeds,8,42,2,21,-1.9072144031524658
seeds,8,42,2,22,-1.8343641757965088
seeds,8,42,2,23,-1.8472061157226562
seeds,8,42,2,24,-1.9361685514450073
seeds,8,42,2,25,-1.9866979122161865
seeds,8,42,2,26,-1.9598255157470703
seeds,8,42,2,27,-1.9192229509353638
seeds,8,42,2,28,-1.9151867628097534
seeds,8,42,2,29,-1.9504687786102295
seeds,8,42,2,30,-2.001919984817505
seeds,8,42,2,31,-2.016428232192993
seeds,8,42,2,32,-1.9814486503601074
seeds,8,42,2,33,-1.9595484733581543
seeds,8,42,2,34,-1.9771630764007568
seeds,8,42,2,35,-2.0031886100769043
seeds,8,42,2,36,-2.0143401622772217
seeds,8,42,2,37,-2.0062246322631836
seeds,8,42,2,38,-1.9879837036132812
seeds,8,42,2,39,-1.9845013618469238
seeds,8,42,2,40,-2.000858783721924
seeds,8,42,2,41,-2.013396978378296
seeds,8,42,2,42,-2.010040760040283
seeds,8,42,2,43,-2.0037448406219482
seeds,8,42,2,44,-2.005542278289795
seeds,8,42,2,45,-2.0139782428741455
seeds,8,42,2,46,-2.02082896232605
seeds,8,42,2,47,-2.018324613571167
seeds,8,42,2,48,-2.010986566543579
seeds,8,42,2,49,-2.0110907554626465
seeds,8,43,2,0,2.032735586166382
seeds,8,43,2,1,0.6135104894638062
seeds,8,43,2,2,-0.04579797014594078
seeds,8,43,2,3,0.46329307556152344
seeds,8,43,2,4,0.6745790243148804
seeds,8,43,2,5,0.48175257444381714
seeds,8,43,2,6,0.20809148252010345
seeds,8,43,2,7,0.06554732471704483
seeds,8,43,2,8,0.06623049080371857
seeds,8,43,2,9,0.15398858487606049
seeds,8,43,2,10,0.22388702630996704
seeds,8,43,2,11,0.1978725790977478
seeds,8,43,2,12,0.09275809675455093
seeds,8,43,2,13,0.0010092997690662742
seeds,8,43,2,14,-0.008733583614230156
seeds,8,43,2,15,0.02652163989841938
seeds,8,43,2,16,0.035414502024650574
seeds,8,43,2,17,-0.0005866098217666149
seeds,8,43,2,18,-0.05323921889066696
seeds,8,43,2,19,-0.08629069477319717
seeds,8,43,2,20,-0.08648575842380524
seeds,8,43,2,21,-0.0691814124584198
seeds,8,43,2,22,-0.05870537832379341
seeds,8,43,2,23,-0.06721201539039612
seeds,8,43,2,24,-0.08762703835964203
seeds,8,43,2,25,-0.10252366960048676
seeds,8,43,2,26,-0.10290795564651489
seeds,8,43,2,27,-0.09659041464328766
seeds,8,43,2,28,-0.09351275116205215
seeds,8,43,2,29,-0.09460808336734772
seeds,8,43,2,30,-0.09816823899745941
seeds,8,43,2,31,-0.10423623770475388
seeds,8,43,2,32,-0.11154317855834961
seeds,8,43,2,33,-0.11638753116130829
seeds,8,43,2,34,-0.11608517169952393
seeds,8,43,2,35,-0.11200877279043198
seeds,8,43,2,36,-0.10872560739517212
seeds,8,43,2,37,-0.110330730676651
seeds,8,43,2,38,-0.11710819602012634
seeds,8,43,2,39,-0.12499656528234482
seeds,8,43,2,40,-0.1288605034351349
seeds,8,43,2,41,-0.127568781375885
seeds,8,43,2,42,-0.12561559677124023
seeds,8,43,2,43,-0.12884971499443054
seeds,8,43,2,44,-0.13904432952404022
seeds,8,43,2,45,-0.1536308377981186
seeds,8,43,2,46,-0.17113840579986572
seeds,8,43,2,47,-0.1969316005706787
seeds,8,43,2,48,-0.24478967487812042
seeds,8,43,2,49,-0.33869442343711853
seeds,8,44,2,0,-0.36052262783050537
seeds,8,44,2,1,-0.9622282981872559
seeds,8,44,2,2,-1.1079013347625732
seeds,8,44,2,3,-1.1944693326950073
seeds,8,44,2,4,-1.1319024562835693
seeds,8,44,2,5,-1.1341958045959473
seeds,8,44,2,6,-1.3425567150115967
seeds,8,44,2,7,-1.5178862810134888
seeds,8,44,2,8,-1.660709261894226
seeds,8,44,2,9,-1.7891511917114258
seeds,8,44,2,10,-1.9064326286315918
seeds,8,44,2,11,-1.9814479351043701
seeds,8,44,2,12,-1.9671883583068848
seeds,8,44,2,13,-1.889680027961731
seeds,8,44,2,14,-1.8532097339630127
seeds,8,44,2,15,-1.9034148454666138
seeds,8,44,2,16,-1.993664264678955
seeds,8,44,2,17,-2.0649282932281494
seeds,8,44,2,18,-2.0940635204315186
seeds,8,44,2,19,-2.086071729660034
seeds,8,44,2,20,-2.059715747833252
seeds,8,44,2,21,-2.041001319885254
seeds,8,44,2,22,-2.044194459915161
seeds,8,44,2,23,-2.066354990005493
seeds,8,44,2,24,-2.1069018840789795
seeds,8,44,2,25,-2.1756715774536133
seeds,8,44,2,26,-2.2818331718444824
seeds,8,44,2,27,-2.4191272258758545
seeds,8,44,2,28,-2.553553581237793
seeds,8,44,2,29,-2.6407108306884766
seeds,8,44,2,30,-2.677980422973633
seeds,8,44,2,31,-2.6800873279571533
seeds,8,44,2,32,-2.5973832607269287
seeds,8,44,2,33,-2.4830048084259033
seeds,8,44,2,34,-2.531531810760498
seeds,8,44,2,35,-2.637632369995117
seeds,8,44,2,36,-2.678356885910034
seeds,8,44,2,37,-2.6642253398895264
seeds,8,44,2,38,-2.6342804431915283
seeds,8,44,2,39,-2.609539031982422
seeds,8,44,2,40,-2.598792314529419
seeds,8,44,2,41,-2.6041924953460693
seeds,8,44,2,42,-2.6228535175323486
seeds,8,44,2,43,-2.648249387741089
seeds,8,44,2,44,-2.6722428798675537
seeds,8,44,2,45,-2.6874873638153076
seeds,8,44,2,46,-2.689793825149536
seeds,8,44,2,47,-2.680121898651123
seeds,8,44,2,48,-2.6650688648223877
seeds,8,44,2,49,-2.6540539264678955
seeds,8,45,2,0,-0.08189812302589417
seeds,8,45,2,1,1.528059482574463
seeds,8,45,2,2,-0.40619176626205444
seeds,8,45,2,3,-0.7777284979820251
seeds,8,45,2,4,-0.23358145356178284
seeds,8,45,2,5,0.12301239371299744
seeds,8,45,2,6,0.1692679524421692
seeds,8,45,2,7,0.0048870667815208435
seeds,8,45,2,8,-0.2307261824607849
seeds,8,45,2,9,-0.3628620505332947
seeds,8,45,2,10,-0.3463667333126068
seeds,8,45,2,11,-0.32490816712379456
seeds,8,45,2,12,-0.3921666741371155
seeds,8,45,2,13,-0.4755133092403412
seeds,8,45,2,14,-0.46235454082489014
seeds,8,45,2,15,-0.38049933314323425
seeds,8,45,2,16,-0.35826268792152405
seeds,8,45,2,17,-0.41724902391433716
seeds,8,45,2,18,-0.48088666796684265
seeds,8,45,2,19,-0.511656641960144
seeds,8,45,2,20,-0.5225194096565247
seeds,8,45,2,21,-0.5196074843406677
seeds,8,45,2,22,-0.5001295208930969
seeds,8,45,2,23,-0.47593992948532104
seeds,8,45,2,24,-0.4729533791542053
seeds,8,45,2,25,-0.5001037120819092
seeds,8,45,2,26,-0.53718501329422
seeds,8,45,2,27,-0.560373842716217
seeds,8,45,2,28,-0.5626961588859558
seeds,8,45,2,29,-0.5510980486869812
seeds,8,45,2,30,-0.5380786657333374
seeds,8,45,2,31,-0.5342568755149841
seeds,8,45,2,32,-0.5406349301338196
seeds,8,45,2,33,-0.5502115488052368
seeds,8,45,2,34,-0.5581197738647461
seeds,8,45,2,35,-0.5651129484176636
seeds,8,45,2,36,-0.5711575150489807
seeds,8,45,2,37,-0.572296142578125
