sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,16,42,2,0,1.1592191457748413
seeds,16,42,2,1,-0.44298747181892395
seeds,16,42,2,2,-1.0113286972045898
seeds,16,42,2,3,-1.3650732040405273
seeds,16,42,2,4,-1.7025312185287476
seeds,16,42,2,5,-1.5973533391952515
seeds,16,42,2,6,-1.449031949043274
seeds,16,42,2,7,-1.6222494840621948
seeds,16,42,2,8,-1.989121913909912
seeds,16,42,2,9,-2.4535892009735107
seeds,16,42,2,10,-2.8929123878479004
seeds,16,42,2,11,-3.157904624938965
seeds,16,42,2,12,-3.3793442249298096
seeds,16,42,2,13,-3.6705331802368164
seeds,16,42,2,14,-3.9820985794067383
seeds,16,42,2,15,-4.2279767990112305
seeds,16,42,2,16,-4.402182579040527
seeds,16,42,2,17,-4.531406402587891
seeds,16,42,2,18,-4.585792064666748
seeds,16,42,2,19,-4.575982570648193
seeds,16,42,2,20,-4.56532621383667
seeds,16,42,2,21,-4.580962181091309
seeds,16,42,2,22,-4.6078572273254395
seeds,16,42,2,23,-4.625648498535156
seeds,16,42,2,24,-4.62710428237915
seeds,16,42,2,25,-4.6159987449646
seeds,16,42,2,26,-4.599231243133545
seeds,16,42,2,27,-4.582343101501465
seeds,16,42,2,28,-4.568666458129883
seeds,16,42,2,29,-4.559751033782959
seeds,16,42,2,30,-4.5561933517456055
seeds,16,42,2,31,-4.558330059051514
seeds,16,42,2,32,-4.566802024841309
seeds,16,42,2,33,-4.582642078399658
seeds,16,42,2,34,-4.607055187225342
seeds,16,42,2,35,-4.640895366668701
seeds,16,42,2,36,-4.684164047241211
seeds,16,42,2,37,-4.735693454742432
seeds,16,42,2,38,-4.793132781982422
seeds,16,42,2,39,-4.853265762329102
seeds,16,42,2,40,-4.912355422973633
seeds,16,42,2,41,-4.966334819793701
seeds,16,42,2,42,-5.011030673980713
seeds,16,42,2,43,-5.0426788330078125
seeds,16,42,2,44,-5.058858871459961
seeds,16,42,2,45,-5.059632778167725
seeds,16,42,2,46,-5.048057556152344
seeds,16,42,2,47,-5.0295729637146
seeds,16,42,2,48,-5.010432720184326
seeds,16,42,2,49,-4.995856761932373
seeds,16,43,2,0,0.6561496257781982
seeds,16,43,2,1,-1.1145427227020264
seeds,16,43,2,2,-0.6075392365455627
seeds,16,43,2,3,-0.5019035935401917
seeds,16,43,2,4,-0.9400689005851746
seeds,16,43,2,5,-1.1226475238800049
seeds,16,43,2,6,-1.0517208576202393
seeds,16,43,2,7,-0.9849096536636353
seeds,16,43,2,8,-0.9855126142501831
seeds,16,43,2,9,-1.0305050611495972
seeds,16,43,2,10,-1.0719434022903442
seeds,16,43,2,11,-1.0994161367416382
seeds,16,43,2,12,-1.1441895961761475
seeds,16,43,2,13,-1.1984403133392334
seeds,16,43,2,14,-1.2064400911331177
seeds,16,43,2,15,-1.1552815437316895
seeds,16,43,2,16,-1.1127828359603882
seeds,16,43,2,17,-1.1379683017730713
seeds,16,43,2,18,-1.2057573795318604
seeds,16,43,2,19,-1.2509708404541016
seeds,16,43,2,20,-1.2463722229003906
seeds,16,43,2,21,-1.2181316614151
seeds,16,43,2,22,-1.2009742259979248
seeds,16,43,2,23,-1.2023977041244507
seeds,16,43,2,24,-1.2104641199111938
seeds,16,43,2,25,-1.217330813407898
seeds,16,43,2,26,-1.226075291633606
seeds,16,43,2,27,-1.2397305965423584
seeds,16,43,2,28,-1.2520889043807983
seeds,16,43,2,29,-1.2530360221862793
seeds,16,43,2,30,-1.241693139076233
seeds,16,43,2,31,-1.2300424575805664
seeds,16,43,2,32,-1.2295349836349487
seeds,16,43,2,33,-1.238530158996582
seeds,16,43,2,34,-1.247269868850708
seeds,16,43,2,35,-1.2507888078689575
seeds,16,43,2,36,-1.251555323600769
seeds,16,43,2,37,-1.2520900964736938
seeds,16,43,2,38,-1.251164197921753
seeds,16,43,2,39,-1.2478076219558716
seeds,16,43,2,40,-1.2450186014175415
seeds,16,43,2,41,-1.2466940879821777
seeds,16,43,2,42,-1.2519503831863403
seeds,16,43,2,43,-1.2560254335403442
seeds,16,43,2,44,-1.2563426494598389
seeds,16,43,2,45,-1.2550628185272217
seeds,16,43,2,46,-1.25475013256073
seeds,16,43,2,47,-1.254894495010376
seeds,16,43,2,48,-1.2545591592788696
seeds,16,43,2,49,-1.2550773620605469
seeds,16,44,2,0,-2.4505608081817627
seeds,16,44,2,1,-4.270718574523926
seeds,16,44,2,2,-4.8904709815979
seeds,16,44,2,3,-5.0877485275268555
seeds,16,44,2,4,-5.101108074188232
seeds,16,44,2,5,-4.958956241607666
seeds,16,44,2,6,-4.743276119232178
seeds,16,44,2,7,-4.685886383056641
seeds,16,44,2,8,-4.794349670410156
seeds,16,44,2,9,-4.915528774261475
seeds,16,44,2,10,-4.960467338562012
seeds,16,44,2,11,-4.931682109832764
seeds,16,44,2,12,-4.874058723449707
seeds,16,44,2,13,-4.828945636749268
seeds,16,44,2,14,-4.814723491668701
seeds,16,44,2,15,-4.8312249183654785
seeds,16,44,2,16,-4.868628978729248
seeds,16,44,2,17,-4.913132190704346
seeds,16,44,2,18,-4.952091693878174
seeds,16,44,2,19,-4.9789652824401855
seeds,16,44,2,20,-4.993991374969482
seeds,16,44,2,21,-5.00059175491333
seeds,16,44,2,22,-5.004299640655518
seeds,16,44,2,23,-5.013730049133301
seeds,16,44,2,24,-5.036088466644287
seeds,16,44,2,25,-5.070014953613281
seeds,16,44,2,26,-5.106708526611328
seeds,16,44,2,27,-5.136948108673096
seeds,16,44,2,28,-5.15590238571167
seeds,16,44,2,29,-5.163769245147705
seeds,16,44,2,30,-5.16409969329834
seeds,16,44,2,31,-5.161259651184082
seeds,16,44,2,32,-5.158282279968262
seeds,16,44,2,33,-5.15671968460083
seeds,16,44,2,34,-5.157179355621338
seeds,16,44,2,35,-5.1588850021362305
seeds,16,44,2,36,-5.159481525421143
seeds,16,44,2,37,-5.156862258911133
seeds,16,44,2,38,-5.1522674560546875
seeds,16,44,2,39,-5.150487422943115
seeds,16,44,2,40,-5.155246734619141
seeds,16,44,2,41,-5.164844512939453
seeds,16,44,2,42,-5.1740827560424805
seeds,16,44,2,43,-5.179174423217773
seeds,16,44,2,44,-5.179817199707031
seeds,16,44,2,45,-5.177921295166016
seeds,16,44,2,46,-5.1755805015563965
seeds,16,44,2,47,-5.174346923828125
seeds,16,44,2,48,-5.174792766571045
