sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,16,42,2,0,1.1592213715564013
seeds,16,42,2,1,-0.4429890890812227
seeds,16,42,2,2,-1.0113315435610417
seeds,16,42,2,3,-1.365076247072216
seeds,16,42,2,4,-1.702532271202526
seeds,16,42,2,5,-1.5973582980271894
seeds,16,42,2,6,-1.4490387573396435
seeds,16,42,2,7,-1.6222564292137283
seeds,16,42,2,8,-1.9891288770556312
seeds,16,42,2,9,-2.4535977370755697
seeds,16,42,2,10,-2.892922074217363
seeds,16,42,2,11,-3.1579163135125006
seeds,16,42,2,12,-3.3793508911979573
seeds,16,42,2,13,-3.6705420541387324
seeds,16,42,2,14,-3.9821089074860425
seeds,16,42,2,15,-4.227978257032845
seeds,16,42,2,16,-4.402190232447052
seeds,16,42,2,17,-4.531427175610032
seeds,16,42,2,18,-4.585811374310994
seeds,16,42,2,19,-4.575987502765175
seeds,16,42,2,20,-4.565337450120464
seeds,16,42,2,21,-4.580971951071589
seeds,16,42,2,22,-4.6078648614185855
seeds,16,42,2,23,-4.625659785037426
seeds,16,42,2,24,-4.62711235045903
seeds,16,42,2,25,-4.616011863214999
seeds,16,42,2,26,-4.599250994084052
seeds,16,42,2,27,-4.58236204953888
seeds,16,42,2,28,-4.5686717116638365
seeds,16,42,2,29,-4.55976015238534
seeds,16,42,2,30,-4.5562051795376695
seeds,16,42,2,31,-4.558344631206793
seeds,16,42,2,32,-4.566810227165829
seeds,16,42,2,33,-4.582650865606901
seeds,16,42,2,34,-4.607065257721053
seeds,16,42,2,35,-4.640908399001653
seeds,16,42,2,36,-4.684180153390977
seeds,16,42,2,37,-4.735704202469116
seeds,16,42,2,38,-4.793138730102256
seeds,16,42,2,39,-4.853271367472934
seeds,16,42,2,40,-4.912361074721647
seeds,16,42,2,41,-4.966346920668994
seeds,16,42,2,42,-5.0110493147395845
seeds,16,42,2,43,-5.0426901065018335
seeds,16,42,2,44,-5.05886597928862
seeds,16,42,2,45,-5.059640696786208
seeds,16,42,2,46,-5.048066969481744
seeds,16,42,2,47,-5.02958721815342
seeds,16,42,2,48,-5.010440594280532
seeds,16,42,2,49,-4.995870762562475
seeds,16,43,2,0,0.6561521921138636
seeds,16,43,2,1,-1.1145428710819278
seeds,16,43,2,2,-0.6075407140639593
seeds,16,43,2,3,-0.5019040074138138
seeds,16,43,2,4,-0.9400719409746542
seeds,16,43,2,5,-1.122650408032675
seeds,16,43,2,6,-1.0517228659910416
seeds,16,43,2,7,-0.9849133012108865
seeds,16,43,2,8,-0.9855160004683784
seeds,16,43,2,9,-1.0305108490107346
seeds,16,43,2,10,-1.0719480596192115
seeds,16,43,2,11,-1.0994188573855952
seeds,16,43,2,12,-1.1441953245715846
seeds,16,43,2,13,-1.198442832347047
seeds,16,43,2,14,-1.2064365517978466
seeds,16,43,2,15,-1.1552828506934578
seeds,16,43,2,16,-1.1127845370883451
seeds,16,43,2,17,-1.1379742560388175
seeds,16,43,2,18,-1.2057588360288176
seeds,16,43,2,19,-1.2509706835795154
seeds,16,43,2,20,-1.2463736869734592
seeds,16,43,2,21,-1.2181312399599364
seeds,16,43,2,22,-1.2009780913146009
seeds,16,43,2,23,-1.2023997860505857
seeds,16,43,2,24,-1.2104635776996184
seeds,16,43,2,25,-1.2173323358936698
seeds,16,43,2,26,-1.2260754426182527
seeds,16,43,2,27,-1.2397242812698448
seeds,16,43,2,28,-1.2520889992998514
seeds,16,43,2,29,-1.2530292232710318
seeds,16,43,2,30,-1.241697699604273
seeds,16,43,2,31,-1.2300435796645135
seeds,16,43,2,32,-1.229535312180576
seeds,16,43,2,33,-1.2385338997419155
seeds,16,43,2,34,-1.2472712660037137
seeds,16,43,2,35,-1.2507932611345
seeds,16,43,2,36,-1.251558774029276
seeds,16,43,2,37,-1.2520908856186181
seeds,16,43,2,38,-1.251170391241673
seeds,16,43,2,39,-1.2478103145524022
seeds,16,43,2,40,-1.245019059719693
seeds,16,43,2,41,-1.2466852691399712
seeds,16,43,2,42,-1.2519597913847686
seeds,16,43,2,43,-1.2560232911976705
seeds,16,43,2,44,-1.2563422128952557
seeds,16,43,2,45,-1.2550731336891647
seeds,16,43,2,46,-1.2547571895396596
seeds,16,43,2,47,-1.2549087520239492
seeds,16,43,2,48,-1.2545580871195623
seeds,16,43,2,49,-1.2550807134460678
seeds,16,44,2,0,-2.4505651483426267
seeds,16,44,2,1,-4.270720653722253
seeds,16,44,2,2,-4.890490507895785
seeds,16,44,2,3,-5.087764871848076
seeds,16,44,2,4,-5.101120294054023
seeds,16,44,2,5,-4.958968049669684
seeds,16,44,2,6,-4.743291748359717
seeds,16,44,2,7,-4.685899413866128
seeds,16,44,2,8,-4.794351862969255
seeds,16,44,2,9,-4.91554380801911
seeds,16,44,2,10,-4.960483663936186
seeds,16,44,2,11,-4.931692205447699
seeds,16,44,2,12,-4.874072513847162
seeds,16,44,2,13,-4.828962216602309
seeds,16,44,2,14,-4.814729599611342
seeds,16,44,2,15,-4.831241121426038
seeds,16,44,2,16,-4.868651102144326
seeds,16,44,2,17,-4.913144496198055
seeds,16,44,2,18,-4.952103631035786
seeds,16,44,2,19,-4.978986889117791
seeds,16,44,2,20,-4.994000581256013
seeds,16,44,2,21,-5.000599655772494
seeds,16,44,2,22,-5.004300582976598
seeds,16,44,2,23,-5.0137354793811015
seeds,16,44,2,24,-5.0360925920392585
seeds,16,44,2,25,-5.070038039639443
seeds,16,44,2,26,-5.106726181859283
seeds,16,44,2,27,-5.13695437578536
seeds,16,44,2,28,-5.155920713149288
seeds,16,44,2,29,-5.163784317088335
seeds,16,44,2,30,-5.164113617529667
seeds,16,44,2,31,-5.161272008393447
seeds,16,44,2,32,-5.15829118360748
seeds,16,44,2,33,-5.156726278417706
seeds,16,44,2,34,-5.157184926976426
seeds,16,44,2,35,-5.158898250691309
seeds,16,44,2,36,-5.159492396883179
seeds,16,44,2,37,-5.156868058220232
seeds,16,44,2,38,-5.1522723185937584
seeds,16,44,2,39,-5.150498621655625
seeds,16,44,2,40,-5.155249782377746
seeds,16,44,2,41,-5.164862635194248
seeds,16,44,2,42,-5.174106508794781
seeds,16,44,2,43,-5.179184894334996
